nome_simplificado;nome_clube;estado;uf;cidade;latitude;longitude;inception;codigo_ibge
SÃO CAETANO;Associação Desportiva São Caetano;São Paulo;SP;São Caetano do Sul;-23.6229;-46.5548;1989-01-01T00:00:00Z;3548807
AMÉRICA;América Futebol Clube;Minas Gerais;MG;Belo Horizonte;-19.9102;-43.9266;1912-04-30T00:00:00Z;3106200
BACABAL;Bacabal Esporte Clube;Maranhão;MA;Bacabal;-4.22447;-44.7832;1974-01-01T00:00:00Z;2101202
AMERICA;America Football Club;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1904-09-18T00:00:00Z;3304557
CORITIBA;Coritiba Foot Ball Club;Paraná;PR;Curitiba;-25.4195;-49.2646;1909-01-01T00:00:00Z;4106902
AMÉRICA GOIÁS;América Futebol Clube (Goiás);Goiás;GO;Morrinhos;-17.7334;-49.1059;1937-01-01T00:00:00Z;5213806
AMÉRICA RIO GRANDE DO NORTE;América Futebol Clube (Rio Grande do Norte);Rio Grande do Norte;RN;Natal;-5.79357;-35.1986;1915-01-01T00:00:00Z;2408102
BRASILIS;Brasilis Futebol Clube;São Paulo;SP;Águas de Lindóia;-22.4733;-46.6314;2007-01-01T00:00:00Z;3500501
SÃO BERNARDO;São Bernardo Futebol Clube;São Paulo;SP;São Bernardo do Campo;-23.6914;-46.5646;2004-12-20T00:00:00Z;3548708
CRICIÚMA;Criciúma Esporte Clube;Santa Catarina;SC;Criciúma;-28.6723;-49.3729;1947-01-01T00:00:00Z;4204608
CEILÂNDIA;Ceilândia Esporte Clube;Minas Gerais;MG;Dom Bosco;-16.652;-46.2597;1979-01-01T00:00:00Z;3122470
CIANORTE;Cianorte Futebol Clube;Paraná;PR;Cianorte;-23.6599;-52.6054;2002-02-13T00:00:00Z;4105508
TOMBENSE;Tombense Futebol Clube;Minas Gerais;MG;Tombos;-20.9086;-42.0228;1914-01-01T00:00:00Z;3169208
AUDAX RIO DE JANEIRO;Audax Rio de Janeiro Esporte Clube;Rio de Janeiro;RJ;São João de Meriti;-22.8058;-43.3729;2005-01-01T00:00:00Z;3305109
DESPORTIVO BRASIL;Desportivo Brasil;São Paulo;SP;Porto Feliz;-23.2093;-47.5251;2005-01-01T00:00:00Z;3540606
ATLÉTICO HERMANN AICHINGER;Clube Atlético Hermann Aichinger;Santa Catarina;SC;Ibirama;-27.0547;-49.5193;1951-09-20T00:00:00Z;4206900
BRASIL;Clube de Regatas Brasil;Alagoas;AL;Maceió;-9.66599;-35.735;1912-01-01T00:00:00Z;2704302
MACAÉ;Macaé Esporte Futebol Clube;Rio de Janeiro;RJ;Macaé;-22.3768;-41.7848;1990-07-17T00:00:00Z;3302403
ICASA;Associação Desportiva Recreativa Cultural Icasa;Ceará;CE;Juazeiro do Norte;-7.19621;-39.3076;1963-05-01T00:00:00Z;2307304
LUVERDENSE;Luverdense Esporte Clube;Mato Grosso;MT;Lucas do Rio Verde;-13.0588;-55.9042;2004-01-01T00:00:00Z;5105259
TUPI;Tupi Football Club;Minas Gerais;MG;Juiz de Fora;-21.7595;-43.3398;1912-01-01T00:00:00Z;3136702
DUQUE DE CAXIAS;Duque de Caxias Futebol Clube;Rio de Janeiro;RJ;Duque de Caxias;-22.7858;-43.3049;1989-01-01T00:00:00Z;3301702
CAMPINENSE;Campinense Clube;Paraíba;PB;Campina Grande;-7.22196;-35.8731;1915-01-01T00:00:00Z;2504009
CEARÁ;Ceará Sporting Club;Ceará;CE;Fortaleza;-3.71664;-38.5423;1914-01-01T00:00:00Z;2304400
CEARÁ B;Ceará Sporting Club;Ceará;CE;Fortaleza;-3.71664;-38.5423;1914-01-01T00:00:00Z;2304400
GUARANI;Guarani Futebol Clube;São Paulo;SP;Campinas;-22.9053;-47.0659;1911-04-02T00:00:00Z;3509502
SOBRADINHO;Sobradinho Esporte Clube;Bahia;BA;Sobradinho;-9.45024;-40.8145;1975-01-01T00:00:00Z;2930774
ATLÉTICO JUVENTUS;Clube Atlético Juventus;São Paulo;SP;São Paulo;-23.5329;-46.6395;1924-04-20T00:00:00Z;3550308
SINOP;Sinop Futebol Clube;Mato Grosso;MT;Sinop;-11.8604;-55.5091;1977-01-01T00:00:00Z;5107909
OPERÁRIO;Operário Futebol Clube;Alagoas;AL;Campo Grande;-9.95542;-36.7926;1938-08-28T00:00:00Z;2701506
YPIRANGA;Ypiranga Futebol Clube;Rio Grande do Sul;RS;Erechim;-27.6364;-52.2697;1924-01-01T00:00:00Z;4307005
TUPAN;Sociedade Esportiva Tupan;Maranhão;MA;São Luís;-2.53874;-44.2825;1926-12-23T00:00:00Z;2111300
ATLÉTICO VILA RICA;Clube Atlético Vila Rica;Pará;PA;Belém;-1.4554;-48.4898;1987-01-01T00:00:00Z;1501402
CALDENSE;Associação Atlética Caldense;Minas Gerais;MG;Poços de Caldas;-21.78;-46.5692;1925-01-01T00:00:00Z;3151800
RIO PRETO;Rio Preto Esporte Clube;São Paulo;SP;São José do Rio Preto;-20.8113;-49.3758;1919-01-01T00:00:00Z;3549805
VILLA NOVA ATLÉTICO;Villa Nova Atlético Clube;Minas Gerais;MG;Nova Lima;-19.9758;-43.8509;1908-01-01T00:00:00Z;3144805
CONFIANÇA;Associação Desportiva Confiança;Sergipe;SE;Aracaju;-10.9091;-37.0677;1936-01-01T00:00:00Z;2800308
REPÚBLICA;Sport Club República;Bahia;BA;Salvador;-12.9718;-38.5011;;2927408
SÃO JOSÉ;São José Esporte Clube;São Paulo;SP;São José dos Campos;-23.1896;-45.8841;1933-01-01T00:00:00Z;3549904
