nome_simplificado;nome_clube;estado;uf;cidade;latitude;longitude;inception;codigo_ibge
CORI-SABBÁ;Associação Atlética Cori-Sabbá;Piauí;PI;Floriano;-6.77182;-43.0241;1973-01-01T00:00:00Z;2203909
FERROVIÁRIA BOTUCATU;Associação Atlética Ferroviária (Botucatu);São Paulo;SP;Botucatu;-22.8837;-48.4437;1939-05-03T00:00:00Z;3507506
FLAMENGO;Associação Atlética Flamengo;São Paulo;SP;Guarulhos;-23.4538;-46.5333;1954-01-01T00:00:00Z;3518800
GUARANY;Associação Atlética Guarany;Sergipe;SE;Porto da Folha;-9.91626;-37.2842;1940-01-01T00:00:00Z;2805604
INTER DE BEBEDOURO;Associação Atlética Internacional (Bebedouro);São Paulo;SP;Bebedouro;-20.9491;-48.4791;1906-01-01T00:00:00Z;3506102
NOVA VENÉCIA;Associação Atlética Nova Venécia;Espírito Santo;ES;Nova Venécia;-18.715;-40.4053;1983-01-01T00:00:00Z;3203908
SANTA RITA;Associação Atlética Santa Rita;Alagoas;AL;Boca da Mata;-9.64308;-36.2125;1974-01-03T00:00:00Z;2701001
SÃO BENTO;Associação Atlética São Bento;São Paulo;SP;São Paulo;-23.5329;-46.6395;1914-01-01T00:00:00Z;3550308
BOQUINHENSE;Associação Boquinhense de Desporto;Sergipe;SE;Boquim;-11.1397;-37.6195;1965-10-11T00:00:00Z;2800670
POTYGUAR SERIDOENSE;Associação Cultural e Desportiva Potyguar Seridoense;Rio Grande do Norte;RN;Currais Novos;-6.25484;-36.5146;1989-01-01T00:00:00Z;2403103
CABENSE;Associação Desportiva Cabense;Pernambuco;PE;Cabo de Santo Agostinho;-8.28218;-35.0253;1995-01-01T00:00:00Z;2602902
GUARABIRA;Associação Desportiva Guarabira;Paraíba;PB;Guarabira;-6.85064;-35.485;2005-01-01T00:00:00Z;2506301
GUARUJÁ;Associação Desportiva Guarujá;São Paulo;SP;Guarujá;-23.9888;-46.258;1992-01-01T00:00:00Z;3518701
PERILIMA;Associação Desportiva Perilima;Paraíba;PB;Campina Grande;-7.22196;-35.8731;1992-01-01T00:00:00Z;2504009
SOCORRENSE;Associação Desportiva Socorrense;Sergipe;SE;Nossa Senhora do Socorro;-10.8468;-37.1231;2005-01-01T00:00:00Z;2804805
ARAÇATUBA;Associação Esportiva Araçatuba;São Paulo;SP;Araçatuba;-21.2076;-50.4401;1972-01-01T00:00:00Z;3502804
COLORADO;Associação Esportiva Colorado;Mato Grosso do Sul;MS;Caarapó;-22.6368;-54.8209;1978-01-01T00:00:00Z;5002407
REAL;Associação Esportiva Real;Roraima;RR;São Luiz;1.01019;-60.0419;2006-01-01T00:00:00Z;1400605
ENGENHEIRO BELTRÃO;Associação Esportiva Recreativa Engenheiro Beltrão;Paraná;PR;Engenheiro Beltrão;-23.797;-52.2659;2003-01-01T00:00:00Z;4107504
SANTACRUZENSE;Associação Esportiva Santacruzense;São Paulo;SP;Santa Cruz do Rio Pardo;-22.8988;-49.6354;1931-01-01T00:00:00Z;3546405
SOCIAL RIOPARDENSE;Associação Esportiva Social e Recreativa Riopardense;Rio Grande do Sul;RS;Rio Grande;-32.0349;-52.1071;2009-01-01T00:00:00Z;4315602
VELO RIOCLARENSE;Associação Esportiva Velo Clube Rioclarense;Rio de Janeiro;RJ;Rio Claro;-22.72;-44.1419;1910-01-01T00:00:00Z;3304409
SANTO ÂNGELO;Associação Esportiva e Recreativa Santo Ângelo;Rio Grande do Sul;RS;Santo Ângelo;-28.3001;-54.2668;1989-01-01T00:00:00Z;4317509
FERROVIÁRIA DE ESPORTES;Associação Ferroviária de Esportes;São Paulo;SP;Araraquara;-21.7845;-48.178;1950-01-01T00:00:00Z;3503208
MAGA;Associação Maga Esporte Clube;Ceará;CE;Catarina;-6.12291;-39.8736;1993-01-01T00:00:00Z;2303600
NOVA PRATA DE ESPORTES CULTURA E LAZER;Associação Nova Prata de Esportes Cultura e Lazer;Rio Grande do Sul;RS;Nova Prata;-28.7799;-51.6113;2003-01-01T00:00:00Z;4313300
PORTUGUESA LONDRINENSE;Associação Portuguesa Londrinense;Paraná;PR;Londrina;-23.304;-51.1691;1950-01-01T00:00:00Z;4113700
XANXERENSE;Associação Xanxerense de Futebol;Santa Catarina;SC;Xanxerê;-26.8747;-52.4036;1978-01-01T00:00:00Z;4219507
TRAIRIENSE;Associação Trairiense de Futebol;Ceará;CE;Trairi;-3.26932;-39.2681;1999-01-01T00:00:00Z;2313500
SPORTIVA SÃO DOMINGOS;Associação Sportiva São Domingos;Minas Gerais;MG;Alagoa;-22.171;-44.6413;1970-01-01T00:00:00Z;3101300
ATLÉTICO DE CAJAZEIRAS;Atlético Cajazeirense de Desportos;Paraíba;PB;Cajazeiras;-6.88004;-38.5577;1948-01-01T00:00:00Z;2503704
ATLÉTICO LAGARTENSE;Atlético Clube Lagartense;Sergipe;SE;Lagarto;-10.9136;-37.6689;1992-01-01T00:00:00Z;2803500
ATLÉTICO PARANAVAÍ;Atlético Clube Paranavaí;Paraná;PR;Paranavaí;-23.0816;-52.4617;1946-03-14T00:00:00Z;4118402
ATLÉTICO PROGRESSO;Atlético Progresso Clube;Roraima;RR;Mucajaí;2.43998;-60.9096;1959-07-21T00:00:00Z;1400308
ATLÉTICO RIO NEGRO;Atlético Rio Negro Clube;Roraima;RR;Boa Vista;2.82384;-60.6753;1971-04-26T00:00:00Z;1400100
BRAGANTINO PARÁ;Bragantino Clube do Pará;Pará;PA;Bragança;-1.06126;-46.7826;1975-01-01T00:00:00Z;1501709
ATLÉTICO MONTE ALEGRE;Clube Atlético Monte Alegre;Espírito Santo;ES;Alegre;-20.758;-41.5382;1946-05-01T00:00:00Z;3200201
ATLÉTICO PAULISTINHA;Clube Atlético Paulistinha;Bahia;BA;Central;-11.1376;-42.1116;1958-01-01T00:00:00Z;2907608
ATLÉTICO PATROCINENSE;Clube Atlético Patrocinense;Minas Gerais;MG;Patrocínio;-18.9379;-46.9934;1954-03-19T00:00:00Z;3148103
ATLÉTICO PAULISTA;Clube Atlético Paulista;Paraíba;PB;Paulista;-6.59138;-37.6185;1933-01-01T00:00:00Z;2510907
ATLÉTICO PENAPOLENSE;Clube Atlético Penapolense;São Paulo;SP;Penápolis;-21.4148;-50.0769;1944-01-01T00:00:00Z;3537305
ATLÉTICO PIMENTENSE;Clube Atlético Pimentense;Rondônia;RO;Pimenta Bueno;-11.672;-61.198;1987-01-01T00:00:00Z;1100189
ATLÉTICO PIRASSUNUNGUENSE;Clube Atlético Pirassununguense;São Paulo;SP;Pirassununga;-21.996;-47.4257;1907-01-01T00:00:00Z;3539301
ATLÉTICO PORTAL;Clube Atlético Portal;Minas Gerais;MG;Uberlândia;-18.9141;-48.2749;2010-01-01T00:00:00Z;3170206
ATLÉTICO TAQUARITINGA;Clube Atlético Taquaritinga;São Paulo;SP;Taquaritinga;-21.4049;-48.5103;1942-03-17T00:00:00Z;3553708
ATLÉTICO TABOÃO DA SERRA;Clube Atlético Taboão da Serra;São Paulo;SP;Taboão da Serra;-23.6019;-46.7526;1985-01-01T00:00:00Z;3552809
ATLÉTICO VOTUPORANGUENSE;Clube Atlético Votuporanguense;Paraíba;PB;Paulista;-6.59138;-37.6185;2009-01-01T00:00:00Z;2510907
AIMORÉ;Clube Esportivo Aimoré;Rio Grande do Sul;RS;São Leopoldo;-29.7545;-51.1498;1936-01-01T00:00:00Z;4318705
LAJEADENSE;Clube Esportivo Lajeadense;Tocantins;TO;Lajeado;-9.74996;-48.3565;1911-01-01T00:00:00Z;1712009
PAYSANDU;Clube Esportivo Paysandu;Santa Catarina;SC;Brusque;-27.0977;-48.9107;1918-01-01T00:00:00Z;4202909
CLUBE ESPORTIVO DE FUTEBOL;Clube Esportivo de Futebol;Minas Gerais;MG;Passos;-20.7193;-46.609;1929-08-30T00:00:00Z;3147907
PASSENSE CULTURA;Clube Esportivo Passense de Futebol e Cultura;Minas Gerais;MG;Passos;-20.7193;-46.609;2001-01-01T00:00:00Z;3147907
FERROVIÁRIO DO RECIFE;Clube Ferroviário do Recife;Pernambuco;PE;Recife;-8.04666;-34.8771;1928-03-17T00:00:00Z;2611606
ATLÉTICO CAMPOVERDENSE;Clube Atlético Campoverdense;Mato Grosso;MT;Campo Verde;-15.545;-55.1626;2005-01-01T00:00:00Z;5102678
CENTRO AMAZÔNIA;Centro de Futebol Amazônia;Rondônia;RO;Porto Velho;-8.76077;-63.8999;2001-01-01T00:00:00Z;1100205
FLAMENGO RO;Clube de Regatas Flamengo (RO);Rondônia;RO;Porto Velho;-8.76077;-63.8999;1955-11-15T00:00:00Z;1100205
COIMBRA;Coimbra Esporte Clube;Minas Gerais;MG;Belo Horizonte;-19.9102;-43.9266;2006-01-01T00:00:00Z;3106200
ASA;Agremiação Sportiva Arapiraquense;Alagoas;AL;Arapiraca;-9.75487;-36.6615;1952-01-01T00:00:00Z;2700300
UNIÃO SÃO JOÃO;União São João Esporte Clube;São Paulo;SP;Araras;-22.3572;-47.3842;1981-01-01T00:00:00Z;3503307
BOTAFOGO;Botafogo Futebol Clube;São Paulo;SP;Ribeirão Preto;-21.1699;-47.8099;1918-01-01T00:00:00Z;3543402
APARECIDENSE;Associação Atlética Aparecidense;Goiás;GO;Aparecida de Goiânia;-16.8198;-49.2469;1985-01-01T00:00:00Z;5201405
BARAÚNAS;Associação Cultural Esporte Clube Baraúnas;Rio Grande do Norte;RN;Mossoró;-5.18374;-37.3474;1960-01-01T00:00:00Z;2408003
BAURU ATLÉTICO;Bauru Atlético Clube;São Paulo;SP;Bauru;-22.3246;-49.0871;1919-05-01T00:00:00Z;3506003
PORTUGUESA;Associação Atlética Portuguesa;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1924-01-01T00:00:00Z;3304557
AMERICANO MARANHÃO;Americano Futebol Clube (Maranhão);Maranhão;MA;Bacabal;-4.22447;-44.7832;1978-01-01T00:00:00Z;2101202
AMÉRICA;América Futebol Clube;Santa Catarina;SC;Joinville;-26.3045;-48.8487;1914-01-01T00:00:00Z;4209102
AMÉRICA;América Futebol Clube (Acre);Acre;AC;Rio Branco;-9.974;-67.8076;1944-01-01T00:00:00Z;5107206
AMÉRICA CEARÁ;América Football Club (Ceará);Ceará;CE;Fortaleza;-3.71664;-38.5423;1920-01-01T00:00:00Z;2304400
AMÉRICA VITÓRIA;América Futebol Clube (Vitória);Espírito Santo;ES;Vila Velha;-20.3417;-40.2875;1917-01-01T00:00:00Z;3205200
AMÉRICA SÃO PAULO;América Futebol Clube (São Paulo);São Paulo;SP;São José do Rio Preto;-20.8113;-49.3758;1946-01-28T00:00:00Z;3549805
ANDIRÁ;Andirá Esporte Clube;Acre;AC;Rio Branco;-9.974;-67.8076;1964-01-01T00:00:00Z;5107206
ANÁPOLIS;Anápolis Futebol Clube;Goiás;GO;Anápolis;-16.3281;-48.953;1946-05-01T00:00:00Z;5201108
COLATINA;Associação Atlética Colatina;Espírito Santo;ES;Colatina;-19.5493;-40.6269;1978-01-01T00:00:00Z;3201506
FRANCANA;Associação Atlética Francana;São Paulo;SP;Franca;-20.5352;-47.4039;1912-01-01T00:00:00Z;3516200
CORURIPE;Associação Atlética Coruripe;Alagoas;AL;Coruripe;-10.1276;-36.1717;2003-01-01T00:00:00Z;2702306
IGUAÇU;Associação Atlética Iguaçu;Paraná;PR;União da Vitória;-26.2273;-51.0873;1971-08-15T00:00:00Z;4128203
LUZIÂNIA;Associação Atlética Luziânia;Goiás;GO;Luziânia;-16.253;-47.95;1995-01-01T00:00:00Z;5212501
TIRADENTES;Associação Atlética Tiradentes;Pará;PA;Belém;-1.4554;-48.4898;1973-01-01T00:00:00Z;1501402
RIOVERDENSE;Associação Atlética Rioverdense;Goiás;GO;Rio Verde;-17.7923;-50.9192;1985-01-01T00:00:00Z;5218805
BAHIA;Associação Atlética da Bahia;Bahia;BA;Salvador;-12.9718;-38.5011;1914-01-01T00:00:00Z;2927408
GUARANY;Associação Desportiva Guarany;Bahia;BA;Salvador;-12.9718;-38.5011;1920-01-12T00:00:00Z;2927408
CHAPADINHA;Chapadinha Futebol Clube;Maranhão;MA;Chapadinha;-3.73875;-43.3538;1999-01-01T00:00:00Z;2103208
ATLÉTICO ALIANÇA;Clube Atlético Aliança;Bahia;BA;Santana;-12.9792;-44.0506;1973-01-01T00:00:00Z;2928208
ATLÉTICO CARLOS RENAUX;Clube Atlético Carlos Renaux;Santa Catarina;SC;Brusque;-27.0977;-48.9107;1913-01-01T00:00:00Z;4202909
ATLÉTICO COLATINENSE;Clube Atlético Colatinense;Espírito Santo;ES;Colatina;-19.5493;-40.6269;2005-01-01T00:00:00Z;3201506
UNIÃO SOCIAL OLÍMPICO;União Recreativo Social Olímpico;Bahia;BA;Mundo Novo;-11.8541;-40.4714;2000-01-01T00:00:00Z;2922102
ATLÉTICO PARANAIBENSE;Clube Atlético Paranaibense;Paraíba;PB;Mato Grosso;-6.54018;-37.7279;1986-09-07T00:00:00Z;2509370
ATLÉTICO TUBARÃO;Clube Atlético Tubarão;Santa Catarina;SC;Tubarão;-28.4713;-49.0144;2005-01-01T00:00:00Z;4218707
RIO BRANCO;Clube Esportivo Rio Branco;Rio de Janeiro;RJ;Campos dos Goytacazes;-21.7622;-41.3181;1912-01-01T00:00:00Z;3301009
DOM BOSCO;Clube Esportivo Dom Bosco;Mato Grosso;MT;Cuiabá;-15.601;-56.0974;1925-01-01T00:00:00Z;5103403
INTERNACIONAL DE CRICKET;Clube Internacional de Cricket;Bahia;BA;Salvador;-12.9718;-38.5011;1899-11-15T00:00:00Z;2927408
MUNICIPAL ANANINDEUA;Clube Municipal Ananindeua;Pará;PA;Ananindeua;-1.36391;-48.3743;1978-01-01T00:00:00Z;1500800
SÃO SALVADOR;Clube de Natação e Regatas São Salvador;Bahia;BA;Salvador;-12.9718;-38.5011;1902-01-01T00:00:00Z;2927408
NÁUTICO MARCÍLIO DIAS;Clube Náutico Marcílio Dias;Santa Catarina;SC;Itajaí;-26.9101;-48.6705;1919-01-01T00:00:00Z;4208203
COLO COLO;Colo Colo de Futebol e Regatas;Bahia;BA;Ilhéus;-14.793;-39.046;1948-01-01T00:00:00Z;2913606
COMERCIÁRIO;Comerciário Futebol Clube;Maranhão;MA;São Luís;-2.53874;-44.2825;2003-01-01T00:00:00Z;2111300
MACAPÁ;Esporte Clube Macapá;Amapá;AP;Macapá;0.034934;-51.0694;1944-01-01T00:00:00Z;1600303
METROPOL;Esporte Clube Metropol;Santa Catarina;SC;Criciúma;-28.6723;-49.3729;1945-11-15T00:00:00Z;4204608
POÇÕES;Esporte Clube Poções;Bahia;BA;Poções;-14.5234;-40.3634;1985-01-01T00:00:00Z;2925105
PRIMEIRO PASSO VITÓRIA DA CONQUISTA;Esporte Clube Primeiro Passo Vitória da Conquista;Bahia;BA;Vitória da Conquista;-14.8615;-40.8442;2005-01-01T00:00:00Z;2933307
PRÓSPERA;Esporte Clube Próspera;Santa Catarina;SC;Criciúma;-28.6723;-49.3729;1946-01-01T00:00:00Z;4204608
SIDERÚRGICA;Esporte Clube Siderúrgica;Minas Gerais;MG;Sabará;-19.884;-43.8263;1930-05-31T00:00:00Z;3156700
ÁGUIA NEGRA;Esporte Clube Águia Negra;Mato Grosso do Sul;MS;Rio Brilhante;-21.8033;-54.5427;1971-01-01T00:00:00Z;5007208
YPIRANGA;Esporte Clube Ypiranga;Bahia;BA;Salvador;-12.9718;-38.5011;1906-09-07T00:00:00Z;2927408
ESTRELA DO NORTE;Estrela do Norte Futebol Clube;Espírito Santo;ES;Cachoeiro de Itapemirim;-20.8462;-41.1198;1916-01-01T00:00:00Z;3201209
FEIRENSE;Feirense Futebol Clube;Bahia;BA;Santo Antônio de Jesus;-12.9614;-39.2584;2007-01-01T00:00:00Z;2928703
FERROVIÁRIO ATLÉTICO MACEIÓ;Ferroviário Atlético Clube (Maceió);Alagoas;AL;Maceió;-9.66599;-35.735;1937-05-01T00:00:00Z;2704302
FERROVIÁRIO;Ferroviário Esporte Clube;Maranhão;MA;São Luís;-2.53874;-44.2825;1941-01-01T00:00:00Z;2111300
MATSUBARA;Sociedade Esportiva Matsubara;Paraná;PR;Cambará;-23.0423;-50.0753;1974-01-01T00:00:00Z;4103602
AND ATHLETIC;Football and Athletic Club;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1904-06-27T00:00:00Z;3304557
UNIÃO AGRÍCOLA BARBARENSE;União Agrícola Barbarense Futebol Clube;São Paulo;SP;Santa Bárbara d'Oeste;-22.7553;-47.4143;1914-01-01T00:00:00Z;3545803
RIO BRANCO;Rio Branco Sport Club;Paraná;PR;Paranaguá;-25.5161;-48.5225;1913-01-01T00:00:00Z;4118204
JUVENTUDE;Sociedade Esportiva e Recreativa Juventude;Mato Grosso;MT;Primavera do Leste;-15.544;-54.2811;1982-01-01T00:00:00Z;5107040
GOIATUBA;Goiatuba Esporte Clube;Goiás;GO;Goiatuba;-18.0105;-49.3658;1970-01-01T00:00:00Z;5209101
GRÊMIO ATLÉTICO SAMPAIO;Grêmio Atlético Sampaio (Acre);Acre;AC;Rio Branco;-9.974;-67.8076;;5107206
LIBERMORRO;Libermorro Futebol Clube;Amazonas;AM;Manaus;-3.11866;-60.0212;1947-12-07T00:00:00Z;1302603
LINHARES;Linhares Esporte Clube;Espírito Santo;ES;Linhares;-19.3946;-40.0643;1991-01-01T00:00:00Z;3203205
LINHARES;Linhares Futebol Clube;Espírito Santo;ES;Linhares;-19.3946;-40.0643;2001-01-01T00:00:00Z;3203205
MAGUARI;Sport Club Maguari;Ceará;CE;Fortaleza;-3.71664;-38.5423;1924-06-24T00:00:00Z;2304400
XV DE JAÚ;Esporte Clube XV de Novembro;São Paulo;SP;Jaú;-22.2936;-48.5592;1924-01-01T00:00:00Z;3525300
BAHIA DE FEIRA;Associação Desportiva Bahia de Feira;Bahia;BA;Feira de Santana;-12.2664;-38.9663;1937-01-01T00:00:00Z;2910800
AUDAX SÃO PAULO;Audax São Paulo Esporte Clube;São Paulo;SP;Osasco;-23.5324;-46.7916;1985-01-01T00:00:00Z;3534401
MANAOS ATHLETIC;Manaos Athletic Club;Amazonas;AM;Manaus;-3.11866;-60.0212;1913-01-01T00:00:00Z;1302603
MARACAJU ATLÉTICO;Maracaju Atlético Clube;Mato Grosso do Sul;MS;Maracaju;-21.6105;-55.1678;1986-10-12T00:00:00Z;5005400
MARANGUAPE;Maranguape Futebol Clube;Ceará;CE;Maranguape;-3.89143;-38.6829;1997-01-01T00:00:00Z;2307700
MARANHÃO ATLÉTICO;Maranhão Atlético Clube;Maranhão;MA;São Luís;-2.53874;-44.2825;1932-09-24T00:00:00Z;2111300
UNIÃO PORTUGUESA;União Esportiva Portuguesa;Amazonas;AM;Manaus;-3.11866;-60.0212;;1302603
UNIÃO SPORTIVA;União Sportiva;Pará;PA;Belém;-1.4554;-48.4898;1906-01-01T00:00:00Z;1501402
UNIÃO MARAMBAIA E JUVENTUDE;União Marambaia e Juventude Esporte Clube;Pernambuco;PE;Bonito;-8.47163;-35.7292;2005-01-01T00:00:00Z;2602308
UNIÃO;União Esporte Clube;Mato Grosso;MT;Rondonópolis;-16.4673;-54.6372;1973-01-01T00:00:00Z;5107602
VILAVELHENSE;Vilavelhense Futebol Clube;Espírito Santo;ES;Vila Velha;-20.3417;-40.2875;2003-01-01T00:00:00Z;3205200
VÊNUS ATLÉTICO;Vênus Atlético Clube;Pará;PA;Abaetetuba;-1.72183;-48.8788;1949-01-01T00:00:00Z;1500107
YPIRANGA;Ypiranga Clube;Amapá;AP;Macapá;0.034934;-51.0694;1963-01-01T00:00:00Z;1600303
ATLÉTICO MONTE AZUL;Atlético Monte Azul;São Paulo;SP;Monte Azul Paulista;-20.9065;-48.6387;1920-01-01T00:00:00Z;3531506
AVENIDA;Esporte Clube Avenida;Rio Grande do Sul;RS;Santa Cruz do Sul;-29.722;-52.4343;1944-01-06T00:00:00Z;4316808
CAMPO GRANDE;Esporte Clube Campo Grande;Alagoas;AL;Campo Grande;-9.95542;-36.7926;1993-01-01T00:00:00Z;2701506
COMERCIAL PARANÁ;Esporte Clube Comercial (Paraná);Paraná;PR;Cornélio Procópio;-23.1829;-50.6498;1943-03-14T00:00:00Z;4106407
CORINTHIANS;Esporte Clube Corinthians;São Paulo;SP;Presidente Prudente;-22.1207;-51.3925;1945-02-08T00:00:00Z;3541406
IGREJINHA;Esporte Clube Igrejinha;Rio Grande do Sul;RS;Igrejinha;-29.5693;-50.7919;1930-04-26T00:00:00Z;4310108
ITAÚNA;Esporte Clube Itaúna;Rio Grande do Norte;RN;Itaú;-5.8363;-37.9912;1929-09-29T00:00:00Z;2404903
JACUIPENSE;Esporte Clube Jacuipense;Bahia;BA;Riachão do Jacuípe;-11.8067;-39.3818;1965-04-21T00:00:00Z;2926301
GUARANI;Esporte Clube Guarani;Minas Gerais;MG;Guarani;-21.3563;-43.0328;1929-09-02T00:00:00Z;3128402
MAMORÉ;Esporte Clube Mamoré;Minas Gerais;MG;Patos de Minas;-18.5699;-46.5013;1949-06-13T00:00:00Z;3148004
NACIONAL;Esporte Clube Nacional;Ceará;CE;Cruz;-2.91813;-40.176;1941-03-17T00:00:00Z;2304251
MILAN;Esporte Clube Milan;São Paulo;SP;Castilho;-20.8689;-51.4884;1989-01-01T00:00:00Z;3511003
NOVA CIDADE;Esporte Clube Nova Cidade;Rio de Janeiro;RJ;Nilópolis;-22.8057;-43.4233;1939-11-10T00:00:00Z;3303203
OSASCO;Esporte Clube Osasco;São Paulo;SP;Osasco;-23.5324;-46.7916;1984-01-01T00:00:00Z;3534401
PARAGUAÇUENSE;Esporte Clube Paraguaçuense;São Paulo;SP;Paraguaçu Paulista;-22.4114;-50.5732;1965-11-28T00:00:00Z;3535507
PROPRIÁ;Esporte Clube Propriá;Sergipe;SE;Propriá;-10.2138;-36.8442;1913-01-01T00:00:00Z;2805703
RIO VERDE;Esporte Clube Rio Verde;Goiás;GO;Rio Verde;-17.7923;-50.9192;1963-08-22T00:00:00Z;5218805
PRIMAVERA;Esporte Clube Primavera;São Paulo;SP;Indaiatuba;-23.0816;-47.2101;1927-01-27T00:00:00Z;3520509
SÃO JOÃO DA BARRA;Esporte Clube São João da Barra;Bahia;BA;Barra;-11.0859;-43.1459;2009-01-01T00:00:00Z;2902708
SÃO LUIZ;Esporte Clube São Luiz;Rio Grande do Sul;RS;Ijuí;-28.388;-53.92;1938-01-01T00:00:00Z;4310207
TAUBATÉ;Esporte Clube Taubaté;São Paulo;SP;Taubaté;-23.0104;-45.5593;1914-01-01T00:00:00Z;3554102
TUPY;Esporte Clube Tupy;Espírito Santo;ES;Vila Velha;-20.3417;-40.2875;1938-01-01T00:00:00Z;3205200
CANOAS;Canoas Futebol Clube;Rio Grande do Sul;RS;Canoas;-29.9128;-51.1857;1957-04-04T00:00:00Z;4304606
CAPIVARIANO;Capivariano Futebol Clube;São Paulo;SP;Capivari;-22.9951;-47.5071;1918-01-01T00:00:00Z;3510401
CARDOSO MOREIRA;Cardoso Moreira Futebol Clube;São Paulo;SP;Cardoso;-20.08;-49.9183;1935-01-01T00:00:00Z;3510708
CASCAVEL;Cascavel Clube Recreativo;Paraná;PR;Cascavel;-24.9573;-53.459;2001-01-01T00:00:00Z;4104808
CASCAVEL;Cascavel Esporte Clube;Paraná;PR;Cascavel;-24.9573;-53.459;1979-12-19T00:00:00Z;4104808
CASIMIRO DE ABREU;Casimiro de Abreu Esporte Clube;Rio de Janeiro;RJ;Casimiro de Abreu;-22.4812;-42.2066;1975-01-01T00:00:00Z;3301306
CASTANHAL;Castanhal Esporte Clube;Pará;PA;Castanhal;-1.29797;-47.9167;1924-01-01T00:00:00Z;1502400
CASTELO;Castelo Futebol Clube;Espírito Santo;ES;Castelo;-20.6033;-41.2031;1939-01-01T00:00:00Z;3201407
CAUCAIA;Caucaia Esporte Clube;Ceará;CE;Caucaia;-3.72797;-38.6619;2001-01-01T00:00:00Z;2303709
CEO;Centro Esportivo Olhodagüense;Alagoas;AL;Olho d'Água das Flores;-9.53686;-37.2971;1953-12-02T00:00:00Z;2705705
CENTRO LIMOEIRENSE;Centro Limoeirense de Futebol;Pernambuco;PE;Limoeiro;-7.8726;-35.4402;1913-01-01T00:00:00Z;2608909
CENTRO SPORTIVO MARUINENSE;Centro Sportivo Maruinense;Sergipe;SE;Maruim;-10.7308;-37.0856;1917-01-01T00:00:00Z;2804003
CENTRO SPORTIVO PARAIBANO;Centro Sportivo Paraibano;Paraíba;PB;João Pessoa;-7.11509;-34.8641;1996-01-01T00:00:00Z;2507507
CENTRO DE DESENVOLVIMENTO COMUNITÁRIO MANICORÉ;Centro de Desenvolvimento Comunitário Manicoré;Amazonas;AM;Manaus;-3.11866;-60.0212;2007-05-30T00:00:00Z;1302603
ROMA APUCARANA;Roma Esporte Apucarana;Paraná;PR;Apucarana;-23.55;-51.4635;2000-01-01T00:00:00Z;4101408
ELOSPORT CAPÃO BONITO;Elosport Capão Bonito;São Paulo;SP;Capão Bonito;-24.004;-48.3393;1993-01-01T00:00:00Z;3510203
FABRIL;Fabril Esporte Clube;Minas Gerais;MG;Lavras;-21.248;-45.0009;1932-09-02T00:00:00Z;3138203
PORTO ALEGRE;Porto Alegre Futebol Clube;Espírito Santo;ES;Alegre;-20.758;-41.5382;2003-01-01T00:00:00Z;3200201
INDEPENDENTE;Independente Futebol Clube;São Paulo;SP;Limeira;-22.566;-47.397;1944-01-19T00:00:00Z;3526902
COMPENSÃO;Compensão Esporte Clube;Amazonas;AM;Manaus;-3.11866;-60.0212;2009-01-01T00:00:00Z;1302603
MARACANÃ;Maracanã Esporte Clube;Ceará;CE;Maracanaú;-3.86699;-38.6259;2005-01-01T00:00:00Z;2307650
MARÍLIA;Marília Futebol Clube;Maranhão;MA;Imperatriz;-5.51847;-47.4777;1984-01-01T00:00:00Z;2105302
MESQUITA;Mesquita Futebol Clube;Rio de Janeiro;RJ;Mesquita;-22.8028;-43.4601;1920-01-01T00:00:00Z;3302858
URUGUAIANA;Esporte Clube Uruguaiana;Rio Grande do Sul;RS;Rio Grande;-32.0349;-52.1071;1912-01-01T00:00:00Z;4315602
VIANA;Esporte Clube Viana;Espírito Santo;ES;Viana;-20.3825;-40.4933;1995-01-01T00:00:00Z;3205101
XV DE NOVEMBRO CARAGUATATUBA;Esporte Clube XV de Novembro (Caraguatatuba);São Paulo;SP;Caraguatatuba;-23.6125;-45.4125;1934-02-18T00:00:00Z;3510500
PATOS;Esporte Clube de Patos;Paraíba;PB;Patos;-7.01743;-37.2747;1953-07-07T00:00:00Z;2510808
ESPÍRITO SANTO;Espírito Santo Futebol Clube;Espírito Santo;ES;Vitória;-20.3155;-40.3128;2007-01-01T00:00:00Z;3205309
ESTANCIANO;Estanciano Esporte Clube;Sergipe;SE;Estância;-11.2659;-37.4484;1956-06-14T00:00:00Z;2802106
FERNANDÓPOLIS;Fernandópolis Futebol Clube;São Paulo;SP;Fernandópolis;-20.2806;-50.2471;1961-11-15T00:00:00Z;3515509
FERROVIÁRIO ATLÉTICO;Ferroviário Atlético Clube;Rondônia;RO;Porto Velho;-8.76077;-63.8999;1943-07-10T00:00:00Z;1100205
FERROVIÁRIO SERRA TALHADA;Ferroviário Esporte Clube (Serra Talhada);Pernambuco;PE;Serra Talhada;-7.98178;-38.289;1979-09-15T00:00:00Z;2613909
FLAMENGO ARCOVERDE;Flamengo Esporte Clube de Arcoverde;Pernambuco;PE;Arcoverde;-8.41519;-37.0577;1959-05-01T00:00:00Z;2601201
FONSECA ATLÉTICO;Fonseca Atlético Clube;Rio de Janeiro;RJ;Niterói;-22.8832;-43.1034;1917-01-01T00:00:00Z;3303302
