ICAO Aeródromo Origem;ICAO Aeródromo Destino;flights
SBBR;SBSG;942
SBSG;SBBR;938
SBNF;SBGL;930
SBSP;SBJV;929
SBJV;SBSP;928
SBCT;SBCF;926
SBSP;SBUL;926
SBUL;SBSP;924
SBGL;SBNF;924
SBMO;SBGL;920
SBGL;SBMO;912
SBCF;SBCT;909
SBCF;SBMO;907
SBMO;SBCF;902
SBGR;SBCA;884
SBCA;SBGR;883
SBPA;SBCF;881
SBCF;SBPA;876
SBJV;SBKP;875
SBKP;SBJV;874
SBFZ;SBKP;870
SBKP;SBFZ;867
SBLO;SBKP;864
SBKP;SBLO;861
SBMO;SBRF;850
SBRF;SBMO;844
SBSP;SBCG;835
SBCG;SBSP;834
SBGV;SBCF;828
SBCF;SBGV;825
SBBR;SBFL;814
SBFL;SBBR;810
SBBE;SBRF;810
SBFI;SBKP;807
SBKP;SBFI;803
SBCF;SBFZ;801
SBMO;SBKP;798
SBSG;SBGL;791
SBKP;SBMO;789
SBJP;SBGL;789
SBRF;SBAR;789
SBPS;SBKP;785
SBGL;SBJP;785
SBGL;SBSG;784
SBKP;SBPS;781
SBBV;SBBR;781
SBAR;SBRF;780
SBBR;SBBV;776
SBGR;SBJE;770
SBRF;SBBE;767
SBCT;SBMG;765
SBRB;SBBR;763
SBMG;SBCT;761
SBJE;SBGR;761
SBBR;SBRB;760
SBLO;SBSP;746
SBBR;SBPV;742
SBBR;SBPJ;736
SBSP;SBLO;736
SBMG;SBSP;735
SBPJ;SBBR;734
SBPV;SBBR;733
SBBR;SBCG;723
SBSP;SBMG;723
SBCG;SBBR;721
SBCJ;SBCF;716
SBCF;SBCJ;710
SBEG;SBSN;704
SBFZ;SBCF;702
SBGR;SBSR;700
SBSR;SBGR;698
SBGR;SBJV;694
SBJV;SBGR;693
SBKP;SBJR;692
SBKP;SBDN;679
SBVT;SBBR;676
SBCA;SBKP;675
SBBR;SBVT;673
SBAR;SBSV;672
SBJR;SBKP;670
SBDN;SBKP;668
SBKP;SBCA;666
SBCY;SBCF;659
SBFZ;SBEG;657
SBCF;SBCY;656
SBSV;SBAR;656
SBBR;SBMA;653
SBSN;SBEG;650
SBSG;SBCF;647
SBMA;SBBR;647
SBEG;SBFZ;642
SBCF;SBSG;638
SBRF;SBSL;629
SBMA;SBBE;628
SBSL;SBRF;626
SBCH;SBKP;625
SBBE;SBMA;625
SBKP;SBCH;622
SBGO;SBGL;619
SBFL;SBCF;611
SBGL;SBGO;609
SBCF;SBFL;608
SBCF;SBRP;601
SBRP;SBCF;598
SBSP;SBJP;589
SBJP;SBSP;583
SBRF;SBEG;574
SBSR;SBCF;574
SBCF;SBSR;572
SNCL;SBSV;543
SBSV;SNCL;537
SBVT;SBSV;530
SBKG;SBRF;528
SBRF;SBKG;527
SBPS;SBGL;522
SBPA;SBRF;519
SBRF;SBPA;516
SBGL;SBPS;513
SBGR;SBGR;511
SBCT;SBLO;505
SBLO;SBCT;505
SBCA;SBCT;503
SBGR;SBPF;501
SBKP;SBKP;500
SBPF;SBGR;500
SBCT;SBCA;499
SBTT;SBEG;496
SBIL;SBCF;495
SBCF;SBIL;491
SBBE;SBCJ;477
