clube_uf;pagerank_score
REAL BRASÍLIA/DF;0.0011967216348334252
PADUANO/RJ;0.0011912865217484857
MARACANÃ/CE;0.0011911822273729849
INTERPORTO/TO;0.001190459852193572
GLOBO/RN;0.001189087997772345
CALDENSE/MG;0.0011882525174380823
TAQUARITINGA/SP;0.0011861537676627362
OPERÁRIO FERROVIÁRIO/PR;0.0011799028575306117
PÉROLAS NEGRAS/RJ;0.0011637597394170448
SERRA/ES;0.0011626333510918038
ICASA/CE;0.001161029904057182
IMPERATRIZ/MA;0.0011455345378183607
AQUIDAUANENSE/MS;0.001143043300865348
LUVERDENSE/MT;0.0011399807636545565
RESENDE/RJ;0.0011376663714244397
CEOV OPERÁRIO/MT;0.0011341521097148755
SERRANO/RJ;0.0011329558435203065
CAUCAIA/CE;0.0011289356702119376
BOAVISTA/RJ;0.0011284655710021667
CABOFRIENSE/RJ;0.001119345512121776
BELA VISTA/TO;0.0011168790345027413
NACIONAL/AM;0.00111311495545284
HUMAITÁ/AC;0.001111433173262165
ANAPOLINA/GO;0.0011087873193086526
RIO BRANCO/AC;0.0011019663869445955
ALECRIM/RN;0.001089710019817305
PORTO VITÓRIA/ES;0.0010820288218840646
CATANDUVA/SP;0.0010784144023067476
UNIVASSOURAS ARTSUL/RJ;0.001077519926750983
UNIÃO RONDONÓPOLIS/MT;0.0010726017185683557
GRÊMIO ANÁPOLIS/GO;0.0010695210628224666
FALCON/SE;0.0010683781552617247
BANGU/RJ;0.0010667908887513303
VOCEM/SP;0.0010587080611896942
BARRA/SE;0.0010573629897203925
GOIANÉSIA/GO;0.0010544316632332476
IPATINGA/MG;0.0010509819436571952
CRUZEIRO/RS;0.001050255288221418
SÃO BORJA/RS;0.0010470955451529105
PETROLINA/PE;0.0010445633516399698
CRAC/GO;0.001043956898511701
IPORÁ/GO;0.0010378113285831026
NOROESTE/SP;0.0010324290221075264
AMÉRICA MINEIRO/MG;0.0010317727240462856
FRANCANA/SP;0.001031707513598964
CSE/AL;0.00103044727539923
RIO BRANCO DE VENDA NOVA/ES;0.001023962538873088
PACAJUS/CE;0.0010230110024269817
POTIGUAR/RN;0.0010222754690551237
MARÍLIA/SP;0.0010210898523138692
CAMETÁ/PA;0.0010151879884100826
MONTE AZUL/SP;0.0010091657460711409
COMERCIAL/MS;0.0010031451141035092
MAMORÉ/MG;0.0010017627432484478
AYMORÉS/MG;0.0010006035803268407
VELO CLUBE/SP;0.0009989864351268554
OLÍMPICO/SE;0.000997450153923968
FLAMENGO/SP;0.0009965319983902938
PAULISTA/SP;0.0009946936010846198
BOA ESPORTE/MG;0.000992268109732595
CENTRO OESTE/GO;0.0009912218933058492
MACAPÁ/AP;0.0009832272854425504
PARAGOMINAS/PA;0.0009817192192680144
CA VOTUPORANGUENSE/SP;0.0009796599547789526
PALMAS/TO;0.0009773061321395546
MONSOON/RS;0.0009762946073854628
BRAGANTINO/PA;0.00097509383270082
BONSUCESSO/RJ;0.0009735992559449872
CAPIVARIANO/SP;0.0009702452079976625
UNIÃO BARBARENSE/SP;0.0009618857324850017
VILLA NOVA/MG;0.0009596848899611073
AGUIA DE MARABA/PA;0.0009547740494924641
NACIONAL/SP;0.0009529020914160859
PENAPOLENSE/SP;0.0009512128114633754
ITAPIRENSE/SP;0.0009480908435746601
INDEPENDENTE DE LIMEIRA/SP;0.0009461850501996174
JI-PARANÁ/RO;0.0009454922206245039
GUARANI V. AIRES/RS;0.0009443210143459087
REAL ARIQUEMES/RO;0.0009408734241119223
MURICI/AL;0.000940568590126993
TUPYNAMBÁS/MG;0.0009396640959649776
GOYTACAZ/RJ;0.0009383361606430318
DESPORTIVA FERROVIÁRIA/ES;0.0009379777936994488
SÃO RAIMUNDO/PA;0.0009339012736443758
GOIÂNIA/GO;0.0009328059000941808
SANTOS/AP;0.0009304977718588706
CANAÃ/PA;0.0009295127004150146
MAUÁ/SP;0.0009293563828048501
INHUMAS/GO;0.000929067395326368
SANTA CRUZ DE NATAL/RN;0.0009262746857082885
GALVEZ/AC;0.0009194635306202636
AZURIZ FUTEBOL/PR;0.0009180726565342829
JUVENTUS/SP;0.0009163109694907279
RIO CLARO/SP;0.0009159463096304473
ÁGUIA/PA;0.0009152469848661814
GAZIN PORTO VELHO/RO;0.00091401741669392
ITABUNA/BA;0.0009121457719475625
GOIATUBA/GO;0.0009116129713722854
PRIMAVERA/SP;0.0009110650196795919
UNI SOUZA/RJ;0.0009087792582259474
GONÇALENSE/RJ;0.000905918380127638
AFOGADOS DA INGAZEIRA/PE;0.0009043688754645576
DESPORTIVO BRASIL/SP;0.0009040779112083099
NORTH ESPORTE CLUBE/MG;0.0009040490837031504
NACIONAL ATL. MURIAÉ/MG;0.0009011519996905695
TRINDADE/GO;0.0008963998784595928
CRUZEIRO/AL;0.0008932919995802568
GUARANY/SE;0.0008908527449567372
INDEPENDENTE/AP;0.0008887168487979804
TAUBATÉ/SP;0.0008822169149805039
GURUPI/TO;0.0008817724572262201
VARGINHA/MG;0.000879908447411544
PRINCESA/AM;0.0008796761370526882
UNIÃO ATLÉTICO/TO;0.000878251920603732
VASCO/RJ;0.0008754781746909153
FRIBURGUENSE/RJ;0.0008740970737364476
SÃO RAIMUNDO/AM;0.0008735278117282375
ITABIRITO/MG;0.0008718543691424535
CAMPO GRANDE/RJ;0.000871844521779113
SALGUEIRO/PE;0.000868707031476285
UNIÃO SUZANO/SP;0.0008675955524547193
UBERABA/MG;0.0008674336356140785
INTER DE BEBEDOURO/SP;0.0008654130264520181
SÃO GONÇALO/RJ;0.0008644690129370767
