nome_clube;estado;uf;cidade;latitude;longitude;inception;codigo_ibge
Associação Esportiva Jataiense;Goiás;GO;Jataí;-17.8784;-51.7204;1952-01-01T00:00:00Z;5211909
Associação Desportiva Atlética do Paraná;Paraná;PR;Campo Mourão;-24.0463;-52.378;1999-01-01T00:00:00Z;4104303
Clube Atlético Mineiro;Minas Gerais;MG;Belo Horizonte;-19.9102;-43.9266;1908-03-25T00:00:00Z;3106200
Esporte Clube Vitória;Bahia;BA;Salvador;-12.9718;-38.5011;1899-01-01T00:00:00Z;2927408
Sociedade Esportiva Palmeiras;São Paulo;SP;São Paulo;-23.5329;-46.6395;1914-01-01T00:00:00Z;3550308
Fluminense Football Club;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1902-07-21T00:00:00Z;3304557
Ipatinga Futebol Clube;Minas Gerais;MG;Ipatinga;-19.4703;-42.5476;1998-01-01T00:00:00Z;3131307
Clube Atlético Ypiranga;Paraíba;PB;Paulista;-6.59138;-37.6185;1906-01-01T00:00:00Z;2510907
Manchete Futebol Clube do Recife;Pernambuco;PE;Recife;-8.04666;-34.8771;1950-01-01T00:00:00Z;2611606
Avaí Futebol Clube;Santa Catarina;SC;Florianópolis;-27.5945;-48.5477;1923-09-01T00:00:00Z;4205407
Canto do Rio Foot-Ball Club;Rio de Janeiro;RJ;Niterói;-22.8832;-43.1034;1913-01-01T00:00:00Z;3303302
Calouros do Ar Futebol Clube;Ceará;CE;Fortaleza;-3.71664;-38.5423;1952-01-01T00:00:00Z;2304400
Barra do Garças Futebol Clube;Mato Grosso;MT;Barra do Garças;-15.8804;-52.264;1978-01-01T00:00:00Z;5101803
Associação Atlética das Palmeiras;Paraná;PR;Palmeira;-25.4257;-50.007;1902-01-01T00:00:00Z;4117701
Associação Atlética Internacional (Limeira);São Paulo;SP;Limeira;-22.566;-47.397;1913-01-01T00:00:00Z;3526902
Associação Desportiva São Caetano;São Paulo;SP;São Caetano do Sul;-23.6229;-46.5548;1989-01-01T00:00:00Z;3548807
América Futebol Clube;Minas Gerais;MG;Belo Horizonte;-19.9102;-43.9266;1912-04-30T00:00:00Z;3106200
Bacabal Esporte Clube;Maranhão;MA;Bacabal;-4.22447;-44.7832;1974-01-01T00:00:00Z;2101202
America Football Club;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1904-09-18T00:00:00Z;3304557
Coritiba Foot Ball Club;Paraná;PR;Curitiba;-25.4195;-49.2646;1909-01-01T00:00:00Z;4106902
América Futebol Clube (Goiás);Goiás;GO;Morrinhos;-17.7334;-49.1059;1937-01-01T00:00:00Z;5213806
América Futebol Clube (Rio Grande do Norte);Rio Grande do Norte;RN;Natal;-5.79357;-35.1986;1915-01-01T00:00:00Z;2408102
Brasilis Futebol Clube;São Paulo;SP;Águas de Lindóia;-22.4733;-46.6314;2007-01-01T00:00:00Z;3500501
São Bernardo Futebol Clube;São Paulo;SP;São Bernardo do Campo;-23.6914;-46.5646;2004-12-20T00:00:00Z;3548708
Criciúma Esporte Clube;Santa Catarina;SC;Criciúma;-28.6723;-49.3729;1947-01-01T00:00:00Z;4204608
Ceilândia Esporte Clube;Minas Gerais;MG;Dom Bosco;-16.652;-46.2597;1979-01-01T00:00:00Z;3122470
Cianorte Futebol Clube;Paraná;PR;Cianorte;-23.6599;-52.6054;2002-02-13T00:00:00Z;4105508
Tombense Futebol Clube;Minas Gerais;MG;Tombos;-20.9086;-42.0228;1914-01-01T00:00:00Z;3169208
Audax Rio de Janeiro Esporte Clube;Rio de Janeiro;RJ;São João de Meriti;-22.8058;-43.3729;2005-01-01T00:00:00Z;3305109
Desportivo Brasil;São Paulo;SP;Porto Feliz;-23.2093;-47.5251;2005-01-01T00:00:00Z;3540606
Clube Atlético Hermann Aichinger;Santa Catarina;SC;Ibirama;-27.0547;-49.5193;1951-09-20T00:00:00Z;4206900
Clube de Regatas Brasil;Alagoas;AL;Maceió;-9.66599;-35.735;1912-01-01T00:00:00Z;2704302
Macaé Esporte Futebol Clube;Rio de Janeiro;RJ;Macaé;-22.3768;-41.7848;1990-07-17T00:00:00Z;3302403
Associação Desportiva Recreativa Cultural Icasa;Ceará;CE;Juazeiro do Norte;-7.19621;-39.3076;1963-05-01T00:00:00Z;2307304
Luverdense Esporte Clube;Mato Grosso;MT;Lucas do Rio Verde;-13.0588;-55.9042;2004-01-01T00:00:00Z;5105259
Tupi Football Club;Minas Gerais;MG;Juiz de Fora;-21.7595;-43.3398;1912-01-01T00:00:00Z;3136702
Duque de Caxias Futebol Clube;Rio de Janeiro;RJ;Duque de Caxias;-22.7858;-43.3049;1989-01-01T00:00:00Z;3301702
Campinense Clube;Paraíba;PB;Campina Grande;-7.22196;-35.8731;1915-01-01T00:00:00Z;2504009
Ceará Sporting Club;Ceará;CE;Fortaleza;-3.71664;-38.5423;1914-01-01T00:00:00Z;2304400
Guarani Futebol Clube;São Paulo;SP;Campinas;-22.9053;-47.0659;1911-04-02T00:00:00Z;3509502
Red Bull Futebol e Entretenimento Ltda.;São Paulo;SP;Campinas;-22.9053;-47.0659;2007-01-01T00:00:00Z;3509502
Sobradinho Esporte Clube;Bahia;BA;Sobradinho;-9.45024;-40.8145;1975-01-01T00:00:00Z;2930774
Clube Atlético Juventus;São Paulo;SP;São Paulo;-23.5329;-46.6395;1924-04-20T00:00:00Z;3550308
Sinop Futebol Clube;Mato Grosso;MT;Sinop;-11.8604;-55.5091;1977-01-01T00:00:00Z;5107909
Operário Futebol Clube;Alagoas;AL;Campo Grande;-9.95542;-36.7926;1938-08-28T00:00:00Z;2701506
Ypiranga Futebol Clube;Rio Grande do Sul;RS;Erechim;-27.6364;-52.2697;1924-01-01T00:00:00Z;4307005
Sociedade Esportiva Tupan;Maranhão;MA;São Luís;-2.53874;-44.2825;1926-12-23T00:00:00Z;2111300
Clube Atlético Vila Rica;Pará;PA;Belém;-1.4554;-48.4898;1987-01-01T00:00:00Z;1501402
Associação Atlética Caldense;Minas Gerais;MG;Poços de Caldas;-21.78;-46.5692;1925-01-01T00:00:00Z;3151800
Rio Preto Esporte Clube;São Paulo;SP;São José do Rio Preto;-20.8113;-49.3758;1919-01-01T00:00:00Z;3549805
Villa Nova Atlético Clube;Minas Gerais;MG;Nova Lima;-19.9758;-43.8509;1908-01-01T00:00:00Z;3144805
Associação Desportiva Confiança;Sergipe;SE;Aracaju;-10.9091;-37.0677;1936-01-01T00:00:00Z;2800308
Sport Club República;Bahia;BA;Salvador;-12.9718;-38.5011;;2927408
São José Esporte Clube;São Paulo;SP;São José dos Campos;-23.1896;-45.8841;1933-01-01T00:00:00Z;3549904
Esporte Clube Novo Hamburgo;Rio Grande do Sul;RS;Novo Hamburgo;-29.6875;-51.1328;1911-01-01T00:00:00Z;4313409
Sociedade Esportiva, Recreativa e Cultural Guarani;Santa Catarina;SC;Palhoça;-27.6455;-48.6697;1928-01-01T00:00:00Z;4211900
Clube Atlético do Porto;Pernambuco;PE;Caruaru;-8.28455;-35.9699;1983-01-01T00:00:00Z;2604106
Esporte Clube Juventude;Rio Grande do Sul;RS;Caxias do Sul;-29.1629;-51.1792;1913-06-29T00:00:00Z;4305108
Boa Esporte Clube;Minas Gerais;MG;Varginha;-21.5556;-45.4364;1947-01-01T00:00:00Z;3170701
Britânia Sport Club;Goiás;GO;Britânia;-15.2428;-51.1602;1914-01-01T00:00:00Z;5203807
Esporte Clube Tigres do Brasil;Rio de Janeiro;RJ;Duque de Caxias;-22.7858;-43.3049;2004-01-01T00:00:00Z;3301702
Centro Sportivo Alagoano;Alagoas;AL;Maceió;-9.66599;-35.735;1913-01-01T00:00:00Z;2704302
Associação Atlética Rodoviária;Amazonas;AM;Manaus;-3.11866;-60.0212;1960-01-20T00:00:00Z;1302603
Clube Desportivo Sete de Setembro;Mato Grosso do Sul;MS;Dourados;-22.2231;-54.812;1994-01-01T00:00:00Z;5003702
Clube de Regatas Guará;São Paulo;SP;Guará;-20.4302;-47.8236;1967-01-09T00:00:00Z;3517703
Quixadá Futebol Clube;Ceará;CE;Quixadá;-4.9663;-39.0155;1965-10-27T00:00:00Z;2311306
Bangu Atlético Clube;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1904-01-01T00:00:00Z;3304557
Goiás Esporte Clube;Goiás;GO;Goiânia;-16.6864;-49.2643;1943-04-06T00:00:00Z;5208707
Paraná Clube;Paraná;PR;Curitiba;-25.4195;-49.2646;1989-01-01T00:00:00Z;4106902
Comercial Atlético Clube;Piauí;PI;Campo Maior;-4.8217;-42.1641;1945-04-21T00:00:00Z;2202208
Central Sport Club;Pernambuco;PE;Caruaru;-8.28455;-35.9699;1919-06-15T00:00:00Z;2604106
Esporte Clube São José;Rio Grande do Sul;RS;Porto Alegre;-30.0318;-51.2065;1913-01-01T00:00:00Z;4314902
Rio Branco Atlético Clube;Espírito Santo;ES;Vitória;-20.3155;-40.3128;1913-01-01T00:00:00Z;3205309
Sport Club Corinthians Paranaense;Paraná;PR;Curitiba;-25.4195;-49.2646;1994-01-01T00:00:00Z;4106902
Associação Chapecoense de Futebol;Santa Catarina;SC;Chapecó;-27.103888888;-52.606666666;1973-01-01T00:00:00Z;4204202
Mixto Esporte Clube;Mato Grosso;MT;Cuiabá;-15.601;-56.0974;1934-05-20T00:00:00Z;5103403
Clube do Remo;Pará;PA;Belém;-1.4554;-48.4898;1905-01-01T00:00:00Z;1501402
Volta Redonda Futebol Clube;Rio de Janeiro;RJ;Volta Redonda;-22.5202;-44.0996;1976-01-01T00:00:00Z;3306305
Céres Futebol Clube;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1933-07-10T00:00:00Z;3304557
Guarany Sporting Club;Ceará;CE;Sobral;-3.68913;-40.3482;1938-07-02T00:00:00Z;2312908
Camaçari Futebol Clube;Bahia;BA;Camaçari;-12.6996;-38.3263;1968-11-08T00:00:00Z;2905701
Clube Atlético Metropolitano;Santa Catarina;SC;Blumenau;-26.9155;-49.0709;2002-01-01T00:00:00Z;4202404
Associação Cultural e Desportiva Potiguar;Rio Grande do Norte;RN;Mossoró;-5.18374;-37.3474;1945-02-11T00:00:00Z;2408003
Sociedade Esportiva Vila Aurora;Mato Grosso;MT;Rondonópolis;-16.4673;-54.6372;1964-05-05T00:00:00Z;5107602
Operário Ferroviário Esporte Clube;Paraná;PR;Ponta Grossa;-25.0916;-50.1668;1912-01-01T00:00:00Z;4119905
Associação Atlética Portuguesa;São Paulo;SP;Santos;-23.9535;-46.335;1917-01-01T00:00:00Z;3548500
Rio Branco Football Club;Mato Grosso;MT;Rio Branco;-15.2483;-58.1259;1919-01-01T00:00:00Z;5107206
Trem Desportivo Clube;Amapá;AP;Macapá;0.034934;-51.0694;1947-01-01T00:00:00Z;1600303
Guaratinguetá Futebol Ltda.;São Paulo;SP;Guaratinguetá;-22.8075;-45.1938;1998-01-01T00:00:00Z;3518404
São Cristóvão de Futebol e Regatas;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1909-07-05T00:00:00Z;3304557
Club Sportivo Sergipe;Sergipe;SE;Aracaju;-10.9091;-37.0677;1909-01-01T00:00:00Z;2800308
Associação Desportiva Limoeiro Futebol Clube;Ceará;CE;Limoeiro do Norte;-5.14392;-38.0847;2001-01-01T00:00:00Z;2307601
Associação Desportiva Cabofriense;Rio de Janeiro;RJ;Cabo Frio;-22.8894;-42.0286;1997-01-01T00:00:00Z;3300704
Associação Desportiva Leônico;Bahia;BA;Salvador;-12.9718;-38.5011;1940-04-03T00:00:00Z;2927408
Associação Desportiva Senador Guiomard;Acre;AC;Senador Guiomard;-10.1497;-67.7362;1982-01-01T00:00:00Z;1200450
Associação Desportiva Vasco da Gama;Mato Grosso;MT;Rio Branco;-15.2483;-58.1259;1952-06-28T00:00:00Z;5107206
Associação Esportiva Tiradentes;Ceará;CE;Fortaleza;-3.71664;-38.5423;1961-09-15T00:00:00Z;2304400
Associação Jaguaré Esporte Clube;Espírito Santo;ES;Jaguaré;-18.907;-40.0759;2001-01-01T00:00:00Z;3203056
Associação Olímpica de Itabaiana;Paraíba;PB;Itabaiana;-7.33167;-35.3317;1938-01-01T00:00:00Z;2506905
Atlético Acreano;Mato Grosso;MT;Rio Branco;-15.2483;-58.1259;1952-04-17T00:00:00Z;5107206
Cuiabá Esporte Clube;Mato Grosso;MT;Cuiabá;-15.601;-56.0974;2001-01-01T00:00:00Z;5103403
Centro Sportivo Capelense;Alagoas;AL;Capela;-9.41504;-36.0826;1945-01-01T00:00:00Z;2701704
Centro de Ensino Unificado de Brasília Esporte Clube;Distrito Federal;DF;Brasília;-15.7795;-47.9297;1968-01-01T00:00:00Z;5300108
Futebol Clube Atlético Cearense;Ceará;CE;Fortaleza;-3.71664;-38.5423;1982-01-01T00:00:00Z;2304400
Mineiros Esporte Clube;Goiás;GO;Mineiros;-17.5654;-52.5537;1977-01-01T00:00:00Z;5213103
Misto Esporte Clube;Mato Grosso do Sul;MS;Três Lagoas;-20.7849;-51.7007;1992-01-01T00:00:00Z;5008305
Deportivo La Coruña Brasil Futebol Clube;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1994-11-15T00:00:00Z;3304557
Muniz Freire Futebol Clube;Espírito Santo;ES;Muniz Freire;-20.4652;-41.4156;1930-05-01T00:00:00Z;3203700
Murici Futebol Clube;Alagoas;AL;Murici;-9.30682;-35.9428;1974-09-07T00:00:00Z;2705507
Esporte Clube Flamengo Paraibano;Paraíba;PB;João Pessoa;-7.11509;-34.8641;2008-01-01T00:00:00Z;2507507
Nacional Fast Clube;Amazonas;AM;Manaus;-3.11866;-60.0212;1930-07-08T00:00:00Z;1302603
Atlético Clipper Clube;Amazonas;AM;Manaus;-3.11866;-60.0212;1952-06-01T00:00:00Z;1302603
Atlético Rio Negro Clube (Amazonas);Amazonas;AM;Manaus;-3.11866;-60.0212;1913-01-01T00:00:00Z;1302603
Auto Esporte Clube (Amazonas);Amazonas;AM;Manaus;-3.11866;-60.0212;;1302603
Grêmio Esportivo Bagé;Rio Grande do Sul;RS;Bagé;-31.3297;-54.0999;1920-01-01T00:00:00Z;4301602
Blumenau Esporte Clube;Santa Catarina;SC;Blumenau;-26.9155;-49.0709;1919-01-01T00:00:00Z;4202404
Botafogo Sport Club;Bahia;BA;Salvador;-12.9718;-38.5011;1914-01-01T00:00:00Z;2927408
Botafogo Futebol Clube;Paraíba;PB;João Pessoa;-7.11509;-34.8641;1931-01-01T00:00:00Z;2507507
Espírito Santo Sociedade Esportiva;Espírito Santo;ES;Colatina;-19.5493;-40.6269;1998-01-01T00:00:00Z;3201506
Cacerense Esporte Clube;Mato Grosso;MT;Cáceres;-16.0764;-57.6818;1996-01-01T00:00:00Z;5102504
Cachoeiro Futebol Clube;Espírito Santo;ES;Cachoeiro de Itapemirim;-20.8462;-41.1198;1916-01-01T00:00:00Z;3201209
Capital Clube de Futebol;São Paulo;SP;Guará;-20.4302;-47.8236;2005-01-01T00:00:00Z;3517703
Catuense Futebol S/A;Bahia;BA;Catu;-12.3513;-38.3791;1974-01-01T00:00:00Z;2907509
Caxias Esporte Clube;Maranhão;MA;Caxias;-4.86505;-43.3617;1940-09-06T00:00:00Z;2103000
Sport Club Rio Grande;Rio Grande do Sul;RS;Rio Grande;-32.0349;-52.1071;1900-01-01T00:00:00Z;4315602
São Paulo Athletic Club;São Paulo;SP;São Paulo;-23.5329;-46.6395;1888-01-01T00:00:00Z;3550308
Clube Sociedade Esportiva;Alagoas;AL;Palmeira dos Índios;-9.40568;-36.6328;1947-06-21T00:00:00Z;2706307
Oeste Futebol Clube;São Paulo;SP;Itápolis;-21.5942;-48.8149;1921-01-01T00:00:00Z;3522703
Esporte Clube Ferro Carril;Rio Grande do Sul;RS;Uruguaiana;-29.7614;-57.0853;1916-01-01T00:00:00Z;4322400
Esporte Clube Pinheiros (Paraná);Paraná;PR;Curitiba;-25.4195;-49.2646;1914-01-01T00:00:00Z;4106902
Esporte Clube Santo André;São Paulo;SP;Santo André;-23.6737;-46.5432;1967-01-01T00:00:00Z;3547809
Treze Futebol Clube;Paraíba;PB;Campina Grande;-7.22196;-35.8731;1925-01-01T00:00:00Z;2504009
Nacional Esporte Clube Ltda;Minas Gerais;MG;Esmeraldas;-19.764;-44.3065;2008-01-01T00:00:00Z;3124104
Social Futebol Clube;Minas Gerais;MG;Coronel Fabriciano;-19.5179;-42.6276;1944-01-01T00:00:00Z;3119401
Paulista Futebol Clube;São Paulo;SP;Jundiaí;-23.1852;-46.8974;1909-01-01T00:00:00Z;3525904
Ituano Futebol Clube;São Paulo;SP;Itu;-23.2544;-47.2927;1947-01-01T00:00:00Z;3523909
Itumbiara Esporte Clube;Goiás;GO;Itumbiara;-18.4093;-49.2158;1970-01-01T00:00:00Z;5211503
Sociedade Esportiva e Recreativa Caxias do Sul;Rio Grande do Sul;RS;Caxias do Sul;-29.1629;-51.1792;1935-01-01T00:00:00Z;4305108
JV Lideral Futebol Clube;Maranhão;MA;Imperatriz;-5.51847;-47.4777;2005-01-01T00:00:00Z;2105302
Araguaia Atlético Clube;Mato Grosso;MT;Alto Araguaia;-17.3153;-53.2181;1978-01-01T00:00:00Z;5100300
Cerâmica Atlético Clube;Rio Grande do Sul;RS;Gravataí;-29.9413;-50.9869;1950-01-01T00:00:00Z;4309209
América Futebol Clube;Minas Gerais;MG;Teófilo Otoni;-17.8595;-41.5087;1936-01-01T00:00:00Z;3168606
São Carlos Futebol Clube;São Paulo;SP;São Carlos;-22.0174;-47.886;2004-01-01T00:00:00Z;3548906
Marília Atlético Clube;São Paulo;SP;Marília;-22.2171;-49.9501;1942-01-01T00:00:00Z;3529005
Sport Club Brasil;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1912-01-01T00:00:00Z;3304557
Águia de Marabá Futebol Clube;Pará;PA;Marabá;-5.38075;-49.1327;1982-01-01T00:00:00Z;1504208
Nova Iguaçu Futebol Clube;Rio de Janeiro;RJ;Nova Iguaçu;-22.7556;-43.4603;1990-01-01T00:00:00Z;3303500
Olímpico Clube;Amazonas;AM;Manaus;-3.11866;-60.0212;1938-10-17T00:00:00Z;1302603
Olímpico Pirambu Futebol Clube;Sergipe;SE;Pirambu;-10.7215;-36.8544;1931-09-04T00:00:00Z;2805307
Operário Futebol Clube Ltda.;Piauí;PI;Várzea Grande;-6.54899;-42.248;2002-01-01T00:00:00Z;2211407
Orion Futebol Clube;Ceará;CE;Fortaleza;-3.71664;-38.5423;1929-01-01T00:00:00Z;2304400
Paissandu Atlético Clube;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1872-01-01T00:00:00Z;3304557
Palmas Futebol e Regatas;Paraná;PR;Palmas;-26.4839;-51.9888;1997-01-01T00:00:00Z;4117602
Pantanal Futebol Clube;Mato Grosso do Sul;MS;Ladário;-19.0089;-57.5973;1987-01-01T00:00:00Z;5005202
Paranoá Esporte Clube;Rio Grande do Sul;RS;Colorado;-28.5258;-52.9928;2000-01-01T00:00:00Z;4305603
