clube;estado;lat;lon;cidade;estadio;wins;draws;losses;total_games
CASCAVEL;parana;-24.9578;-53.4594;Cascavel;Estádio Olímpico Regional Arnaldo Busatto;77;67;66;210
FLORESTA;ceara;-3.7172;-38.5433;Fortaleza;Estádio Presidente Vargas;64;72;73;209
APARECIDENSE;goias;-16.8233;-49.2442;Aparecida de Goiânia;Estádio Annibal Batista de Toledo;85;53;71;209
CAXIAS;rio_grande_do_sul;-29.1678;-51.1794;Caxias do Sul;Estádio Centenário;82;62;62;206
BOTAFOGO;paraiba;-7.115;-34.8642;João Pessoa;Estádio José Américo de Almeida Filho;80;75;51;206
MARCÍLIO DIAS;santa_catarina;-26.9046;-48.6667;Itajaí;Estádio Dr. Hercílio Luz;73;72;59;204
ALTOS;piaui;-5.0261;-42.4597;Altos;Estádio Municipal Felipe Raulino;85;62;55;202
NOVA IGUAÇU;rio_de_janeiro;-22.7553;-43.4508;Nova Iguaçu;Estádio Jânio Moraes;78;63;60;201
REAL NOROESTE;espirito_santo;-18.9817;-40.7333;AGUIA DE MARABA Branca;Estádio José Olímpio da Rocha;76;55;66;197
AMAZONAS;amazonas;-3.119;-60.0217;Manaus;Arena da Amazônia;84;52;59;195
MANAUS;amazonas;-3.119;-60.0217;Manaus;Arena da Amazônia;80;63;50;193
ASA;alagoas;-9.7547;-36.6575;Arapiraca;Estádio Municipal Coaracy da Mata Fonseca;79;58;56;193
BRASILIENSE;distrito_federal;-15.82667;-48.06083;Taguatinga;Estádio Serejão;109;40;37;186
PORTUGUESA;rio_de_janeiro;-22.9068;-43.1729;Rio de Janeiro;Estádio Luso-Brasileiro;68;66;50;184
DEMOCRATA;minas_gerais;-18.8528;-41.9478;Governador Valadares;Estádio José Mammoud Abbas;57;60;63;180
RETRÔ;pernambuco;-8.0153;-34.9875;Camaragibe;Arena de Pernambuco;82;49;48;179
JOINVILLE;santa_catarina;-26.3044;-48.8464;Joinville;Arena Joinville;52;64;59;175
SANTA CRUZ;pernambuco;-8.05428;-34.8813;Recife;Estádio José do Rego Maciel;72;58;44;174
OESTE;sao_paulo;-23.5106;-46.8756;Barueri;Arena Barueri;51;51;69;171
ATHLETIC;minas_gerais;-21.1361;-44.2597;São João del-Rei;Estádio Joaquim Portugal;78;35;56;169
INTER DE LIMEIRA;sao_paulo;-22.5603;-47.4033;Limeira;Estádio Major José Levy Sobrinho;56;48;62;166
RIO BRANCO;espirito_santo;-20.3155;-40.3128;Vitória;Estádio Kleber Andrade;72;42;51;165
CIANORTE;parana;-23.6617;-52.6036;Cianorte;Estádio Municipal Olímpico Albino Turbay;62;45;58;165
SERGIPE;sergipe;-10.9167;-37.05;Aracaju;Arena Batistão;67;52;43;162
ATLÉTICO CEARENSE;ceara;-3.7319;-38.5267;Fortaleza;Estádio Presidente Vargas;50;46;66;162
ITABAIANA;sergipe;-10.6897;-37.4253;Itabaiana;Estádio Etelvino Mendonça;72;42;48;162
ANÁPOLIS;goias;-16.3286;-48.9533;Anápolis;Estádio Jonas Duarte;64;53;44;161
MARINGÁ;parana;-23.421;-51.9331;Maringá;Estádio Regional Willie Davids;74;50;35;159
TOCANTINÓPOLIS;tocantins;-6.3297;-47.4767;Tocantinópolis;Estádio João Ribeiro;64;42;50;156
SOUSA;paraiba;-6.76056;-38.2317;Sousa;Estádio Marizão;67;41;47;155
UNIÃO RONDONÓPOLIS;mato_grosso;-16.4683;-54.6356;Rondonópolis;Estádio Municipal Engenheiro Luthero Lopes;62;39;52;153
CEOV OPERÁRIO;mato_grosso;-15.6536;-56.1333;Várzea Grande;Arena Pantanal;59;45;46;150
PARANÁ;parana;-25.4296;-49.2719;Curitiba;Estádio Durival Britto e Silva;40;44;66;150
JACUIPENSE;bahia;-11.8053;-39.3786;Riachão do Jacuípe;Estádio Eliel Martins;54;49;47;150
HERCÍLIO LUZ;santa_catarina;-28.4762;-49.0044;Tubarão;Estádio Aníbal Torres Costa;61;50;37;148
RESENDE;rio_de_janeiro;-22.4683;-44.4517;Resende;Estádio do Trabalhador;35;36;76;147
POUSO ALEGRE;minas_gerais;-22.2303;-45.9336;Pouso Alegre;Estádio Manduzão;49;38;58;145
SÃO RAIMUNDO;roraima;2.8236;-60.6753;Boa Vista;Estádio Flamarion Vasconcelos;77;34;34;145
MOTO CLUB;maranhao;-2.53073;-44.3068;São Luís;Estádio Governador João Castelo;59;41;44;144
OPERÁRIO;mato_grosso_do_sul;-20.4486;-54.6291;Campo Grande;Estádio Universitário Pedro Pedrossian;59;39;46;144
SÃO LUIZ;rio_grande_do_sul;-28.3911;-53.9153;Ijuí;Estádio 19 de Outubro;51;43;49;143
BARRA;santa_catarina;-26.992;-48.632;Balneário Camboriú;Estádio Dr. Hercílio Luz;56;37;48;141
SANTO ANDRÉ;sao_paulo;-23.6653;-46.5325;Santo André;Estádio Municipal Bruno José Daniel;44;42;55;141
VITÓRIA;espirito_santo;-20.3155;-40.3128;Vitória;Estádio Salvador Costa;73;28;40;141
CONCÓRDIA;santa_catarina;-27.2378;-52.0255;Concórdia;Estádio Domingos Machado de Lima;47;41;52;140
AIMORÉ;rio_grande_do_sul;-29.7573;-51.1467;São Leopoldo;Estádio Cristo Rei;48;29;61;138
CAMPINENSE;paraiba;-7.2306;-35.8814;Campina Grande;Estádio Governador Ernani Sátyro;52;46;40;138
CAUCAIA;ceara;-3.7361;-38.6531;Caucaia;Estádio Raimundo de Oliveira;41;42;53;136
GAZIN PORTO VELHO;rondonia;-8.7619;-63.9039;Porto Velho;Estádio Aluízio Ferreira;61;35;39;135
TREZE;paraiba;-7.2306;-35.8814;Campina Grande;Estádio Amigão;52;41;41;134
CEILÂNDIA;distrito_federal;-15.8267;-48.1033;Ceilândia;Estádio Maria de Lourdes Abadia;62;36;36;134
BAHIA DE FEIRA;bahia;-12.2669;-38.9669;Feira de Santana;Arena Cajueiro;50;43;41;134
MARANHÃO;maranhao;-2.53073;-44.3068;São Luís;Estádio Governador João Castelo;58;45;28;131
ATLÉTICO;bahia;-12.1394;-38.4217;Alagoinhas;Estádio Antônio Carneiro;45;37;48;130
SÃO BENTO;sao_paulo;-23.5017;-47.4544;Sorocaba;Estádio Municipal Walter Ribeiro;38;48;44;130
JUAZEIRENSE;bahia;-9.4125;-40.5033;Juazeiro;Estádio Adauto Moraes;51;37;42;130
SÃO JOSÉ;sao_paulo;-23.2237;-45.9009;São José dos Campos;Estádio Martins Pereira;56;36;35;127
MARICÁ;rio_de_janeiro;-22.9225;-42.8186;Maricá;Estádio Municipal João Saldanha;49;43;34;126
CSE;alagoas;-9.4036;-36.6322;Palmeira dos Índios;Estádio Juca Sampaio;47;41;38;126
ÁGUIA DE MARABÁ;para;-5.3556;-49.1122;Marabá;Estádio Municipal Zinho de Oliveira;41;44;41;126
PORTUGUESA;sao_paulo;-23.5505;-46.6333;São Paulo;Estádio Dr. Oswaldo Teixeira Duarte;51;39;35;125
BANGU;rio_de_janeiro;-22.9068;-43.1729;Rio de Janeiro;Estádio Moça Bonita;32;39;53;124
SERRA;espirito_santo;-20.2417;-40.3083;Serra;Estádio Robertão;58;28;38;124
AUDAX RIO;rio_de_janeiro;-22.9247;-42.5075;Saquarema;Estádio Elcyr Resende de Mendonça;37;27;59;123
GLOBO;rio_grande_do_norte;-5.63583;-35.4236;Ceará-Mirim;Barretão;35;30;58;123
TUNA LUSO;para;-1.4558;-48.4902;Belém;Estádio Francisco Vasques;53;31;39;123
XV DE PIRACICABA;sao_paulo;-22.7253;-47.6476;Piracicaba;Estádio Barão da Serra Negra;45;41;36;122
ÁGUA SANTA;sao_paulo;-23.6858;-46.6219;Diadema;Estádio Distrital do Jardim Inamar;42;38;41;121
BOA ESPORTE;minas_gerais;-21.56;-45.4333;Varginha;Estádio Municipal Prefeito Dilzon Luiz de Melo;35;41;45;121
CA PATROCINENSE;minas_gerais;-18.9417;-46.9936;Patrocínio;Estádio Pedro Alves do Nascimento;30;31;60;121
FLUMINENSE;piaui;-5.08917;-42.80167;Teresina;Estádio Lindolfo Monteiro;45;35;41;121
DUQUE DE CAXIAS;rio_de_janeiro;-22.7833;-43.3167;Duque de Caxias;Estádio Marrentão;46;36;39;121
POTIGUAR;rio_grande_do_norte;-5.18833;-37.3478;Mossoró;Estádio Nogueirão;41;28;52;121
PÉROLAS NEGRAS;rio_de_janeiro;-22.6335;-43.9046;Piraí;;49;35;37;121
IGUATU;ceara;-6.3725;-39.3014;Iguatu;Estádio João Elmo Moreno Cavalcante;51;30;39;120
OLARIA;rio_de_janeiro;-22.9068;-43.1729;Rio de Janeiro;Estádio Mourão Filho;53;33;34;120
NOVO HAMBURGO;rio_grande_do_sul;-29.6844;-51.1325;Novo Hamburgo;Estádio do Vale;33;39;47;119
NOVA MUTUM;mato_grosso;-13.8294;-56.0814;Nova Mutum;Estádio Municipal Valdir Doilho Wons;47;36;36;119
GOIANÉSIA;goias;-15.3167;-49.1256;Goianésia;Estádio Valdeir José de Oliveira;33;39;47;119
AZURIZ FUTEBOL;parana;-26.225;-52.671;Pato Branco;Estádio Os Pioneiros;40;35;43;118
IPORÁ;goias;-16.4417;-51.1172;Iporá;Estádio Francisco José Ferreira;30;34;54;118
CALDENSE;minas_gerais;-21.7847;-46.5633;Poços de Caldas;Estádio Municipal Doutor Ronaldo Junqueira;34;30;54;118
TREM;amapa;0.0349;-51.0694;Macapá;Estádio Milton de Souza Corrêa;49;27;41;117
BOAVISTA;rio_de_janeiro;-22.9247;-42.5086;Saquarema;Estádio Elcyr Resende de Mendonça;29;36;52;117
HUMAITÁ;acre;-9.5833;-67.6333;Porto Acre;Estádio Arena da Floresta;40;23;54;117
MIXTO;mato_grosso;-15.5961;-56.0969;Cuiabá;Arena Pantanal;42;43;31;116
COSTA RICA;mato_grosso_do_sul;-18.5567;-53.1111;Costa Rica;Estádio Laertão;56;26;34;116
IMPERATRIZ;maranhao;-5.5264;-47.4917;Imperatriz;Estádio Frei Epifânio D'Abadia;39;29;48;116
JUVENTUS JARAGUÁ;santa_catarina;-26.4847;-49.075;Jaraguá do Sul;Estádio João Marcatto;32;43;40;115
SAMPAIO CORRÊA;rio_de_janeiro;-22.9244;-42.5075;Saquarema;Estádio Elcyr Resende de Mendonça;49;31;35;115
PARNAHYBA;piaui;-2.90556;-41.7775;Parnaíba;Estádio Municipal Mão Santa;37;41;36;114
CAPIVARIANO;sao_paulo;-23.0017;-47.5056;Capivari;Arena Capivari;49;31;34;114
LAGARTO;sergipe;-10.9167;-37.5167;Lagarto;Estádio Paulo Barreto de Menezes;52;34;28;114
NOROESTE;sao_paulo;-22.3145;-49.0588;Bauru;Estádio Dr. Alfredo de Castilho;48;35;30;113
RIO BRANCO DE VENDA NOVA;espirito_santo;-20.3225;-41.1353;Venda Nova do Imigrante;Estádio Olímpio Perim;49;36;28;113
GONÇALENSE;rio_de_janeiro;-22.8214;-43.0503;São Gonçalo;Estádio Atílio Marotti;45;35;33;113
ICASA;ceara;-7.2133;-39.3153;Juazeiro do Norte;Estádio Mauro Sampaio;48;36;29;113
PACAJUS;ceara;-4.1758;-38.4728;Pacajus;Estádio João Ronaldo;34;39;40;113
PORTO VITÓRIA;espirito_santo;-20.3155;-40.3128;Vitória;Estádio Kleber Andrade;61;26;25;112
MARÍLIA;sao_paulo;-22.2239;-49.9456;Marília;Estádio Municipal Bento de Abreu Sampaio Vidal;46;33;33;112
UBERLÂNDIA;minas_gerais;-18.9186;-48.2772;Uberlândia;Estádio Municipal Parque do Sabiá;34;38;40;112
MONTE AZUL;sao_paulo;-20.7539;-48.6486;Monte Azul Paulista;Estádio Municipal Otacília Patrício Arroyo;33;36;43;112
CENTRAL;pernambuco;-8.2828;-35.9742;Caruaru;Estádio Luiz José de Lacerda;37;44;31;112
GAMA;distrito_federal;-16.0153;-48.0653;Gama;Estádio Walmir Campelo Bezerra;53;25;33;111
RÍVER;piaui;-5.0892;-42.8016;Teresina;Estádio Governador Alberto Tavares Silva;45;32;34;111
AMERICA;rio_de_janeiro;-22.9068;-43.1729;Rio de Janeiro;Estádio Giulite Coutinho;39;43;28;110
