clube;estado;lat;lon;cidade;estadio;wins;draws;losses;total_games
PADUANO;rio_de_janeiro;-21.5375;-42.1833;Santo Antônio de Pádua;Estádio Waldo Carneiro Xavier;40;24;20;84
LINHARES;espirito_santo;-19.3911;-40.0722;Linhares;Estádio Joaquim Calmon;14;18;51;83
AQUIDAUANENSE;mato_grosso_do_sul;-20.4736;-55.7833;Aquidauana;Estádio Municipal Noroeste;28;17;38;83
CRUZEIRO;alagoas;-9.7547;-36.6575;Arapiraca;Estádio Municipal Coaracy da Mata Fonseca;38;12;33;83
PETROLINA;pernambuco;-9.3932;-40.5072;Petrolina;Estádio Paulo de Souza Coelho;24;29;30;83
CAMPO GRANDE;rio_de_janeiro;-22.9068;-43.1729;Rio de Janeiro;Estádio Ítalo del Cima;34;22;27;83
FLAMENGO;sao_paulo;-23.4538;-46.5332;Guarulhos;Estádio Antônio Soares de Oliveira;38;24;20;82
INTER DE BEBEDOURO;sao_paulo;-20.9514;-48.4794;Bebedouro;Estádio Sócrates Stamato;31;21;30;82
SÃO GONÇALO;rio_de_janeiro;-22.8222;-43.0533;São Gonçalo;Estádio Municipal Alziro de Almeida;27;25;28;80
FRANCANA;sao_paulo;-20.5383;-47.4008;Franca;Estádio Municipal Doutor José Lancha Filho;31;30;19;80
MANTHIQUEIRA;sao_paulo;-22.8133;-45.1917;Guaratinguetá;Estádio Municipal Professor Dario Rodrigues Leite;30;11;38;79
DOURADOS;mato_grosso_do_sul;-22.2222;-54.8033;Dourados;Estádio Douradão;41;19;18;78
ANAPOLINA;goias;-16.3286;-48.9533;Anápolis;Estádio Jonas Duarte;32;25;21;78
JUVENTUDE;maranhao;-4.0333;-44.95;São Mateus do Maranhão;Estádio Pinheirão;24;22;32;78
GOIATUBA;goias;-18.0158;-49.3553;Goiatuba;Estádio Divino Garcia Rosa;32;21;25;78
TOLEDO;parana;-24.7253;-53.7378;Toledo;Estádio 14 de Dezembro;18;17;43;78
PINHEIROS;espirito_santo;-18.4033;-40.2333;Pinheiros;Estádio João Soares de Moura Filho;26;10;42;78
ATLÉTICO;acre;-9.9749;-67.8243;Rio Branco;Estádio Arena da Floresta;25;17;36;78
DOM BOSCO;mato_grosso;-15.601;-56.0974;Cuiabá;Arena Pantanal;22;17;39;78
REAL BRASÍLIA;distrito_federal;-15.7939;-47.8828;Brasília;Estádio Defelê;29;18;30;77
BRAGANTINO;para;-1.0536;-46.7653;Bragança;Estádio Diogão;26;25;26;77
CARAPEBUS;rio_de_janeiro;-22.1853;-41.6336;Carapebus;Estádio Antônio Carneiro da Silva;32;11;34;77
COIMBRA;minas_gerais;-19.9319;-44.0539;Contagem;Estádio Municipal de Contagem;27;28;22;77
NACIONAL ATL. MURIAÉ;minas_gerais;-21.1389;-42.3667;Muriaé;Estádio Soares de Azevedo;23;29;24;76
BELFORD ROXO;rio_de_janeiro;-22.7614;-43.4039;Belford Roxo;Estádio Nélio Gomes;43;19;14;76
PELOTAS;rio_grande_do_sul;-31.7654;-52.3376;Pelotas;Estádio Boca do Lobo;22;25;29;76
7 DE ABRIL;rio_de_janeiro;-22.9068;-43.1729;Rio de Janeiro;Estádio Luso-Brasileiro;22;16;38;76
AYMORÉS;minas_gerais;-21.1217;-42.9375;Ubá;Estádio Affonso de Carvalho;25;25;25;75
HORIZONTE;ceara;-4.1036;-38.4986;Horizonte;Estádio Domingão;27;20;28;75
SERRA MACAENSE;rio_de_janeiro;-22.3756;-41.7833;Macaé;Estádio Cláudio Moacyr de Azevedo;26;23;26;75
SÃO FRANCISCO;acre;-9.9747;-67.8076;Rio Branco;Estádio Arena da Floresta;24;10;40;74
INTER DE LAGES;santa_catarina;-27.8134;-50.3255;Lages;Estádio Vidal Ramos Júnior;20;27;27;74
VERA CRUZ;pernambuco;-8.1225;-35.2953;Vitória de Santo Antão;Estádio Carneirão;24;19;31;74
GRÊMIO MAUAENSE;sao_paulo;-23.6672;-46.4614;Mauá;Estádio Municipal Pedro Benedetti;20;28;26;74
DESPORTIVO ALIANÇA;alagoas;-9.6658;-35.7353;Maceió;Estádio Rei Pelé;23;13;37;73
INTERPORTO;tocantins;-10.7083;-48.4175;Porto Nacional;Estádio General Sampaio;29;23;21;73
SÃO PAULO CRYSTAL;paraiba;-7.1369;-35.1056;Cruz do Espírito Santo;Estádio Carneirão;18;24;30;72
NACIONAL;paraiba;-7.0233;-37.2753;Patos;Estádio José Cavalcanti;26;18;28;72
ESTRELA DO NORTE;espirito_santo;-20.8475;-41.1119;Cachoeiro de Itapemirim;Estádio Mário Monteiro;23;16;33;72
ESTANCIANO;sergipe;-11.2667;-37.4333;Estância;Estádio Augusto Franco;30;12;30;72
DORENSE;sergipe;-10.4914;-37.1833;Nossa Senhora das Dores;Estádio Ariston Azevedo;23;18;31;72
ATLÉTICO;paraiba;-6.8936;-38.5614;Cajazeiras;Estádio Perpetão;28;17;27;72
ATLÉTICO GLORIENSE;sergipe;-10.2217;-37.4153;Nossa Senhora da Glória;Estádio Editon Oliveira;28;18;25;71
SÃO RAIMUNDO;amazonas;-3.119;-60.0217;Manaus;Estádio Ismael Benigno;25;21;25;71
BARBALHA;ceara;-7.3117;-39.3033;Barbalha;Estádio Lírio Callou;22;15;34;71
VITÓRIA DA CONQUISTA;bahia;-14.8614;-40.8392;Vitória da Conquista;Estádio Lomanto Júnior;24;21;26;71
UNIÃO BARBARENSE;sao_paulo;-22.7536;-47.4175;Santa Bárbara d'Oeste;Estádio Antônio Lins Ribeiro Guimarães;31;18;21;70
JOSEENSE;sao_paulo;-23.305;-45.9652;Jacareí;Estádio Municipal Du Cambusano;22;24;24;70
JABAQUARA;sao_paulo;-23.9608;-46.3333;Santos;Estádio Espanha;24;13;33;70
JI-PARANÁ;rondonia;-10.8803;-61.9447;Ji-Paraná;Estádio Municipal José de Abreu Bianco;24;20;25;69
ITAPIPOCA;ceara;-3.4917;-39.5758;Itapipoca;Estádio Perilo Teixeira;27;23;19;69
PALMAS;tocantins;-10.2128;-48.3606;Palmas;Estádio Nilton Santos;26;12;31;69
ÍBIS;pernambuco;-7.9436;-34.8731;Paulista;Estádio Ademir Cunha;21;20;28;69
CAPITAL;tocantins;-10.2128;-48.3603;Palmas;Estádio Nilton Santos;22;15;32;69
UNIÃO SÃO JOÃO;sao_paulo;-22.3586;-47.3803;Araras;Estádio Hermínio Ometto;24;20;25;69
CORDINO;maranhao;-5.5019;-45.2506;Barra do Corda;Estádio Municipal Leandro Cláudio da Silva;15;20;33;68
FORÇA E LUZ;rio_grande_do_norte;-5.79448;-35.211;Natal;Arena das Dunas;13;21;34;68
FOZ DO IGUAÇU;parana;-25.5477;-54.5882;Foz do Iguaçu;Estádio do ABC;25;20;23;68
PARAGOMINAS;para;-2.9944;-47.3497;Paragominas;Arena Verde;25;22;21;68
BARCELONA DE ILHÉUS;bahia;-14.795;-39.0433;Ilhéus;Estádio Mário Pessoa;20;21;27;68
INHUMAS;goias;-16.3636;-49.5058;Inhumas;Estádio Zico Brandão;28;15;25;68
SALGUEIRO;pernambuco;-8.0753;-39.1214;Salgueiro;Estádio Cornélio de Barros;27;21;20;68
RIOGRANDENSE;rio_grande_do_sul;-29.6842;-53.8069;Santa Maria;Estádio dos Eucaliptos;24;18;26;68
INDEPENDENTE TUCURUÍ;para;-3.7667;-49.6725;Tucuruí;Estádio Municipal Antônio Dias;20;20;28;68
ZUMBI;alagoas;-9.1467;-36.0333;União dos Palmares;Estádio Orlando Gomes de Barros;35;10;23;68
SÃO BORJA;rio_grande_do_sul;-28.6556;-56.0017;São Borja;Estádio Vicente Goulart;35;17;16;68
TIMON;piaui;-5.0764;-42.8333;Timon;Estádio Municipal Miguel Lima;20;22;26;68
COLORADO CAIEIRAS;sao_paulo;-23.3614;-46.7375;Caieiras;Estádio Municipal Carlos Ferracini;24;21;23;68
PARANAVAÍ;parana;-23.0775;-52.4636;Paranavaí;Estádio Municipal Doutor Waldemiro Wagner;36;15;17;68
NOVA CIDADE;rio_de_janeiro;-22.8075;-43.4111;Nilópolis;Estádio Joaquim Flores;16;22;30;68
AMÉRICA;sergipe;-10.2136;-36.8375;Propriá;Estádio Durval Feitosa;23;20;24;67
VITÓRIA DAS TABOCAS;pernambuco;-8.1225;-35.2953;Vitória de Santo Antão;Estádio Carneirão;28;15;24;67
GOYTACAZ;rio_de_janeiro;-21.7627;-41.3275;Campos dos Goytacazes;Estádio Ary de Oliveira e Souza;29;15;23;67
JARAGUÁ;goias;-15.7564;-49.3356;Jaraguá;Estádio Amintas de Freitas;15;11;41;67
JACIOBÁ;alagoas;-9.7481;-37.4458;Pão de Açúcar;Estádio Municipal Elisão;7;16;44;67
BATEL;parana;-25.393;-51.495;Guarapuava;Estádio Waldomiro Gelinski;19;19;29;67
GUARANY;sergipe;-9.9958;-37.2786;Porto da Folha;Estádio Caio Feitosa;33;19;14;66
PSTC;parana;-22.7833;-51.2333;Alvorada do Sul;Estádio Municipal Álvaro Alves;18;16;32;66
ARUKO;parana;-23.421;-51.933;Maringá;Estádio Willie Davids;34;16;16;66
OLÍMPICO;sergipe;-11.2833;-37.7833;Itabaianinha;Estádio Souzão;41;10;15;66
VARGINHA;minas_gerais;-21.56;-45.4325;Varginha;Estádio Municipal Prefeito Dilzon Luiz de Melo;23;21;22;66
ANGRA DOS REIS;rio_de_janeiro;-23.0067;-44.3183;Angra dos Reis;Estádio Municipal Jair Carneiro Toscano de Brito;16;11;39;66
BATATAIS;sao_paulo;-20.8917;-47.5833;Batatais;Estádio Doutor Oswaldo Scatena;14;17;35;66
CAMETÁ;para;-2.2475;-49.4953;Cametá;Estádio Parque do Bacurau;28;13;25;66
CEO;alagoas;-9.5786;-37.3561;Olho d'Água das Flores;Estádio Edson Matias;15;11;39;65
COMERCIAL;mato_grosso_do_sul;-20.4486;-54.6291;Campo Grande;Estádio Universitário Pedro Pedrossian;16;18;31;65
JATAIENSE;goias;-17.8814;-51.7142;Jataí;Estádio Municipal Nelson Antônio da Silva;21;13;31;65
ASEEV;goias;-16.9458;-50.4667;Paraúna;Estádio José Pereira de Souza;24;7;34;65
BARRA;sergipe;-10.9056;-37.0389;Barra dos Coqueiros;Estádio João Cruz;25;20;20;65
BARRA DA TIJUCA;rio_de_janeiro;-22.9068;-43.1729;Rio de Janeiro;Estádio Moça Bonita;32;21;12;65
AMÉRICA;sao_paulo;-20.8122;-49.3772;São José do Rio Preto;Estádio Benedito Teixeira;14;20;31;65
TUPI;minas_gerais;-21.7645;-43.3496;Juiz de Fora;Estádio Municipal Radialista Mário Helênio;20;17;28;65
GUARANI;santa_catarina;-27.646;-48.6704;Palhoça;Estádio Renato Silveira;21;20;24;65
SANTOS;amapa;0.0349;-51.0694;Macapá;Estádio Milton de Souza Corrêa;25;18;21;64
ANDRAUS;parana;-25.4583;-49.375;Campo Largo;Estádio Atílio Gionédis;26;15;23;64
PINHEIRO;maranhao;-2.52139;-45.0825;Pinheiro;Estádio Municipal Costa Rodrigues;20;20;24;64
JEQUIÉ;bahia;-13.8583;-40.0811;Jequié;Estádio Waldomiro Borges;25;16;23;64
ITABIRITO;minas_gerais;-20.2486;-43.8044;Itabirito;Estádio Coronel Afonso de Moura Castro;25;18;21;64
OLÍMPIA;sao_paulo;-20.7386;-48.9136;Olímpia;Estádio Maria Tereza Breda;10;17;36;63
FAST CLUBE;amazonas;-3.119;-60.0217;Manaus;Estádio Ismael Benigno;24;20;19;63
GAS;roraima;2.8236;-60.6753;Boa Vista;Estádio Flamarion Vasconcelos;36;12;15;63
FLAMENGO;piaui;-5.08917;-42.80167;Teresina;Estádio Lindolfo Monteiro;11;17;35;63
ITABUNA;bahia;-14.7892;-39.2797;Itabuna;Estádio Luiz Viana Filho;27;22;14;63
METROPOLITANO;santa_catarina;-26.9194;-49.0661;Blumenau;Estádio Monumental do SESI;19;17;26;62
MAMORÉ;minas_gerais;-18.5833;-46.5167;Patos de Minas;Estádio Bernardo Rubinger de Queiroz;18;28;16;62
YPIRANGA;amapa;0.0349;-51.0694;Macapá;Estádio Milton de Souza Corrêa;21;12;29;62
ECUS;sao_paulo;-23.5386;-46.3111;Suzano;Estádio Municipal Francisco Marques Figueira;21;12;29;62
ELITE CD;rio_grande_do_sul;-28.3015;-54.2636;Santo Ângelo;Estádio Zona Sul;21;12;29;62
GRAMADENSE;rio_grande_do_sul;-29.3758;-50.8766;Gramado;Estádio Vila Olímpica;34;9;19;62
ESPORTIVO;rio_grande_do_sul;-29.1673;-51.5133;Bento Gonçalves;Estádio Montanha dos Vinhedos;16;20;26;62
ATLÉTICO CATARINENSE;santa_catarina;-27.6133;-48.6258;São José;Estádio Orlando Scarpelli;15;16;31;62
UNI SOUZA;rio_de_janeiro;-22.9068;-43.1729;Rio de Janeiro;Estádio Moça Bonita;31;16;14;61
PATRIOTAS;parana;-25.4284;-49.2733;Curitiba;Estádio Atílio Gionédis;29;15;17;61
PACATUBA;ceara;-3.9833;-38.6211;Pacatuba;Estádio Municipal de Pacatuba;16;13;32;61
ROLÂNDIA;parana;-23.3086;-51.3756;Rolândia;Estádio Erich George;23;9;29;61
GUARANI DE JUAZEIRO;ceara;-7.2139;-39.3139;Juazeiro do Norte;Estádio Mauro Sampaio;20;16;25;61
AÇÃO;mato_grosso;-15.6014;-56.0979;Cuiabá;Arena Pantanal;15;13;33;61
ATLÉTICO CENTRAL;sergipe;-11.2658;-37.4394;Estância;Estádio Augusto Franco;24;9;28;61
ITUMBIARA;goias;-18.4186;-49.2186;Itumbiara;Estádio Municipal João Martins;13;17;31;61
CARAVAGGIO;santa_catarina;-28.6275;-49.5036;Nova Veneza;Estádio da Montanha;23;15;23;61
ARAUCÁRIA;parana;-25.5944;-49.4075;Araucária;Estádio Municipal Emílio Gunther;19;12;30;61
NÁUTICO;roraima;1.8275;-61.1375;Caracaraí;Estádio Flamarion Vasconcelos;16;12;32;60
FLUMINENSE DE FEIRA;bahia;-12.2667;-38.9667;Feira de Santana;Estádio Joia da Princesa;22;19;19;60
TANABI;sao_paulo;-20.6133;-49.6533;Tanabi;Estádio Alberto Victolo;27;12;21;60
REAL ARIQUEMES;rondonia;-9.9053;-63.0325;Ariquemes;Estádio Gentil Valério;24;12;24;60
MARANGUAPE;ceara;-3.8867;-38.6717;Maranguape;Estádio Francisco Cardoso de Moraes;24;19;17;60
CTE COLATINA;espirito_santo;-19.5386;-40.6275;Colatina;Estádio Justiniano de Melo e Silva;14;15;31;60
GEL;espirito_santo;-20.2417;-40.3375;Serra;Estádio Robertão;6;7;47;60
PICOS;piaui;-7.0769;-41.4697;Picos;Estádio Municipal Helvídio Nunes de Barros;19;17;24;60
CAMPOS;rio_de_janeiro;-21.7627;-41.3275;Campos dos Goytacazes;Estádio Ary de Oliveira e Souza;15;22;22;59
ALECRIM;rio_grande_do_norte;-5.7945;-35.211;Natal;Arena das Dunas;24;11;24;59
INDEPENDENTE;sergipe;-10.7417;-38.1056;Simão Dias;Estádio Albano Franco;16;19;24;59
SKA BRASIL;sao_paulo;-23.4458;-46.9186;Santana de Parnaíba;Estádio Municipal Prefeito Gabriel Marques da Silva;25;16;18;59
PRUDENTÓPOLIS;parana;-25.2125;-50.9764;Prudentópolis;Estádio Newton Agibert;19;19;21;59
SAPUCAIENSE;rio_grande_do_sul;-29.8275;-51.1517;Sapucaia do Sul;Estádio Arthur Mesquita Dias;24;6;29;59
BARRA MANSA;rio_de_janeiro;-22.5417;-44.1736;Barra Mansa;Estádio Leão do Sul;12;16;30;58
MORRINHOS;goias;-17.7317;-49.1025;Morrinhos;Estádio João Vilela;13;17;28;58
UNIÃO MOGI;sao_paulo;-23.5228;-46.1883;Mogi das Cruzes;Estádio Francisco Ribeiro Nogueira;13;16;29;58
LUZIÂNIA;goias;-16.2514;-47.9514;Luziânia;Estádio Municipal Zequinha Roriz;16;13;29;58
GUARULHOS;sao_paulo;-23.4539;-46.5333;Guarulhos;Estádio Antônio Soares de Oliveira;16;14;28;58
IAPE;maranhao;-2.5307;-44.3068;São Luís;Estádio Governador João Castelo;27;12;19;58
AMÉRICA DE PEDRINHAS;sergipe;-11.0111;-37.5333;Pedrinhas;Estádio Roberto Silva;17;12;29;58
MARUINENSE;sergipe;-10.7333;-37.1333;Maruim;Estádio Vavazão;21;7;29;57
APARECIDA;goias;-16.8233;-49.2442;Aparecida de Goiânia;Estádio Annibal Batista de Toledo;14;12;31;57
SINOP;mato_grosso;-11.8536;-55.5033;Sinop;Estádio Municipal Gigante do Norte;16;6;35;57
GUARANI;minas_gerais;-20.1453;-44.8903;Divinópolis;Estádio Waldemar Teixeira de Faria;27;11;19;57
RIO DE JANEIRO;rio_de_janeiro;-22.9068;-43.1729;Rio de Janeiro;Estádio Giulite Coutinho;23;12;22;57
SANTA CATARINA;santa_catarina;-27.2136;-49.6458;Rio do Sul;Estádio Alfredo João Krieck;30;22;5;57
SANTA HELENA;goias;-17.8208;-50.5975;Santa Helena de Goiás;Estádio Pedro Romualdo Cabral;19;12;26;57
BLUMENAU;santa_catarina;-26.9194;-49.0661;Blumenau;Estádio Ervin Blaese;26;14;17;57
FLUMINENSE DE JOINVILLE;santa_catarina;-26.3044;-48.8464;Joinville;Arena Joinville;17;11;29;57
UBERABA;minas_gerais;-19.7489;-47.9325;Uberaba;Estádio Municipal Engenheiro João Guido;22;16;19;57
BARAÚNAS;rio_grande_do_norte;-5.1875;-37.3442;Mossoró;Estádio Leonardo Nogueira;22;9;25;56
PARANOÁ;distrito_federal;-15.8111;-47.7333;Paranoá;Estádio JK;21;15;20;56
TIRADENTES;ceara;-3.7172;-38.5433;Fortaleza;Estádio Presidente Vargas;14;15;27;56
UNIÃO ATLÉTICO;tocantins;-7.1917;-48.2056;Araguaína;Estádio Mirandão;28;16;12;56
PENEDENSE;alagoas;-10.2919;-36.5908;Penedo;Estádio Alfredo Leahy;17;22;17;56
SÃO FRANCISCO;para;-2.4431;-54.7083;Santarém;Estádio Colosso do Tapajós;25;6;25;56
SÃO PAULO;rio_grande_do_sul;-32.035;-52.0986;Rio Grande;Estádio Aldo Dapuzzo;20;13;23;56
CAETÉ;para;-1.0536;-46.7653;Bragança;Estádio Diogão;20;9;27;56
MAGEENSE;rio_de_janeiro;-22.6536;-43.0433;Magé;Estádio Municipal de Magé;13;6;37;56
PIAUÍ;piaui;-5.08917;-42.80167;Teresina;Estádio Lindolfo Monteiro;18;12;25;55
PARATY;rio_de_janeiro;-23.2203;-44.7131;Paraty;Estádio Municipal de Paraty;24;11;20;55
IGUAÇU;parana;-26.2333;-51.0833;União da Vitória;Estádio Municipal Antiocho Pereira;21;16;18;55
CAÇADOR;santa_catarina;-26.7747;-51.0189;Caçador;Estádio Carlos Alberto da Costa Neves;17;16;22;55
OEIRENSE;piaui;-7.02139;-42.19167;Oeiras;Estádio Gerson Campos;23;16;16;55
TUNTUM;maranhao;-5.2533;-44.6597;Tuntum;Estádio Rafael Seabra;18;22;15;55
RIO SÃO PAULO;rio_de_janeiro;-22.9068;-43.1729;Rio de Janeiro;Estádio Eduardo Guinle;14;15;25;54
SÃO CARLOS;sao_paulo;-22.0175;-47.8861;São Carlos;Estádio Municipal Professor Luís Augusto de Oliveira;13;14;27;54
CAMBÉ;parana;-23.2797;-51.2819;Cambé;Estádio Municipal José Garbelini;8;12;34;54
CARIRI;ceara;-7.2297;-39.3225;Juazeiro do Norte;Estádio Mauro Sampaio;19;14;21;54
GUARANY DE BAGÉ;rio_grande_do_sul;-31.3308;-54.1072;Bagé;Estádio Estrela D'Alva;16;15;23;54
CAAC BRASIL;rio_de_janeiro;-22.9068;-43.1729;Rio de Janeiro;Estádio Joaquim Flores;16;6;32;54
BARCELONA;rio_de_janeiro;-22.9068;-43.1729;Rio de Janeiro;Estádio Giulite Coutinho;10;12;32;54
ACADEMIA;mato_grosso;-16.4677;-54.6351;Rondonópolis;Estádio Municipal Engenheiro Luthero Lopes;15;10;29;54
CORISABBÁ;piaui;-6.7747;-43.0236;Floriano;Estádio Tibério Nunes;13;18;23;54
CENTRO LIMOEIRENSE;pernambuco;-7.8753;-35.4536;Limoeiro;Estádio José Vareda;15;13;25;53
SANTA ROSA;para;-1.4558;-48.4902;Belém;Estádio Olímpico do Pará;19;11;23;53
NORTH ESPORTE CLUBE;minas_gerais;-16.735;-43.8603;Montes Claros;Estádio José Maria de Melo;24;17;12;53
PORTUGUESA LONDRINENSE;parana;-23.3045;-51.1696;Londrina;Estádio do Café;14;9;29;52
PORTO;pernambuco;-8.285;-35.9747;Caruaru;Estádio Luiz José de Lacerda;13;21;18;52
AVENIDA;rio_grande_do_sul;-29.7175;-52.4353;Santa Cruz do Sul;Estádio dos Eucaliptos;12;18;22;52
SÃO MATEUS;espirito_santo;-18.7153;-39.8589;São Mateus;Estádio Sernamby;9;10;33;52
SÃO CRISTÓVÃO;rio_de_janeiro;-22.9068;-43.1729;Rio de Janeiro;Estádio Figueira de Melo;24;12;16;52
CENTRO OESTE;goias;-16.7036;-49.0953;Senador Canedo;Estádio Plínio José de Souza;24;18;10;52
DECISÃO;pernambuco;-8.4797;-35.7275;Bonito;Estádio Municipal Arthur Tavares de Melo;20;13;19;52
SPORT SINOP;mato_grosso;-11.8536;-55.5033;Sinop;Estádio Municipal Gigante do Norte;17;12;22;51
CEILANDENSE;distrito_federal;-15.8267;-48.1033;Ceilândia;Estádio Maria de Lourdes Abadia;15;11;25;51
UNIÃO CACOALENSE;rondonia;-11.4367;-61.4475;Cacoal;Estádio Aglair Tonelli Nogueira;22;16;13;51
RIOPARDENSE;rio_grande_do_sul;-29.9825;-52.3811;Rio Pardo;Estádio Amaro Cassep;8;16;27;51
BÚZIOS;rio_de_janeiro;-22.7475;-41.8833;Armação dos Búzios;Estádio Municipal de Búzios;21;9;21;51
CANAÃ;para;-6.5033;-49.8767;Canaã dos Carajás;Estádio Municipal José Raimundo Roseno Araújo;21;11;18;50
LARANJA MECÂNICA;parana;-23.4139;-51.4264;Arapongas;Estádio Municipal José Chiappin;20;15;15;50
CANINDÉ;sergipe;-9.6556;-37.7833;Canindé de São Francisco;Estádio André Avelino;18;6;26;50
INDEPENDÊNCIA;acre;-9.9749;-67.8243;Rio Branco;Estádio Arena da Floresta;22;13;15;50
GURUPI;tocantins;-11.7292;-49.0583;Gurupi;Estádio Municipal Gilberto Resende;17;16;17;50
JACOBINA;bahia;-11.1825;-40.5086;Jacobina;Estádio José Rocha;14;12;24;50
TOCANTINS MIRACEMA;tocantins;-9.5636;-48.3936;Miracema do Tocantins;Estádio Castanheirão;14;8;28;50
POTYGUAR SERIDOENSE;rio_grande_do_norte;-6.2575;-36.5136;Currais Novos;Estádio Coronel José Bezerra;18;12;20;50
CONFIANÇA;paraiba;-7.0917;-35.2333;Sapé;Estádio Municipal Dr. Tadeu Cruz;24;8;18;50
BOQUINHENSE;sergipe;-11.2658;-37.4375;Estância;Estádio Augusto Franco;17;13;20;50
MONSOON;rio_grande_do_sul;-29.7577;-50.0184;Capão da Canoa;Estádio Francisco Novelletto;24;16;10;50
TAGUATINGA;distrito_federal;-15.8267;-48.0619;Taguatinga;Estádio Elmo Serejo Farias;19;13;17;49
UNIÃO BELTRÃO;parana;-26.0767;-53.0556;Francisco Beltrão;Estádio Anilado;13;8;28;49
NOVO HORIZONTE;rio_grande_do_sul;-29.8575;-51.1783;Esteio;Estádio Municipal José Cláudio dos Santos;12;11;26;49
PRÓSPERA;santa_catarina;-28.6794;-49.3711;Criciúma;Estádio Mário Balsini;14;9;26;49
SERC;mato_grosso_do_sul;-18.7833;-52.6236;Chapadão do Sul;Estádio Municipal da Serrinha;21;8;20;49
APUCARANA SPORTS;parana;-23.5528;-51.4608;Apucarana;Estádio Olímpico Regional;17;13;19;49
GAÚCHO;rio_grande_do_sul;-28.2628;-52.4076;Passo Fundo;Arena BSBios;29;12;8;49
TRINDADE;goias;-16.6486;-49.4889;Trindade;Estádio Abrão Manoel da Costa;22;10;16;48
GENUS;rondonia;-8.7619;-63.9039;Porto Velho;Estádio Aluízio Ferreira;9;12;27;48
GRAPIÚNA;bahia;-14.7892;-39.2797;Itabuna;Estádio Luiz Viana Filho;14;13;21;48
PENAROL;amazonas;-3.1431;-58.4442;Itacoatiara;Estádio Floro de Mendonça;17;12;19;48
INDEPENDENTE;amapa;0.0575;-51.1736;Santana;Estádio Milton de Souza Corrêa;24;13;11;48
OPERÁRIO;amazonas;-3.2964;-60.6214;Manacapuru;Estádio Gilberto Mestrinho;14;14;20;48
ATLÉTICO RORAIMA;roraima;2.8235;-60.6758;Boa Vista;Estádio Flamarion Vasconcelos;13;10;25;48
SOBRADINHO;distrito_federal;-15.6533;-47.7975;Sobradinho;Estádio Augustinho Lima;16;9;23;48
IRATY;parana;-25.475;-50.6583;Irati;Estádio Coronel Emílio Gomes;17;9;22;48
ATLÉTICO MOGI;sao_paulo;-23.5228;-46.1883;Mogi das Cruzes;Estádio Municipal Francisco Ribeiro Nogueira;4;5;39;48
BARÉ;roraima;2.8235;-60.6758;Boa Vista;Estádio Flamarion Vasconcelos;15;9;23;47
GUANABARA CITY;goias;-16.6869;-49.2648;Goiânia;Estádio Olímpico Pedro Ludovico;21;7;19;47
COXIM;mato_grosso_do_sul;-18.5067;-54.7603;Coxim;Estádio André Borges;13;8;26;47
AMADENSE;sergipe;-11.2636;-37.4389;Estância;Estádio Augusto Franco;14;8;25;47
SAMAMBAIA;distrito_federal;-15.8786;-48.0506;Samambaia;Estádio Rorizão;20;8;19;47
RED BULL BRASIL;sao_paulo;-22.9533;-46.5422;Bragança Paulista;Estádio Nabi Abi Chedid;10;13;24;47
AUTO ESPORTE;paraiba;-7.115;-34.8642;João Pessoa;Estádio José Américo de Almeida Filho;17;13;17;47
PASSO FUNDO;rio_grande_do_sul;-28.2628;-52.4076;Passo Fundo;Estádio Vermelhão da Serra;27;7;13;47
BELA VISTA;tocantins;-6.4525;-47.6586;Cachoeirinha;Estádio Municipal de Cachoeirinha;18;13;16;47
ARRAIAL DO CABO;rio_de_janeiro;-22.9694;-42.0247;Arraial do Cabo;Estádio Hermenegildo Barcelos;21;20;6;47
QUEIMADENSE;paraiba;-7.3639;-35.7256;Queimadas;Estádio Governador Ernani Sátyro;14;11;22;47
ARAÇATUBA;sao_paulo;-21.2086;-50.4328;Araçatuba;Estádio Adhemar de Barros;22;8;17;47
SANTA CRUZ;rio_grande_do_sul;-29.7175;-52.4333;Santa Cruz do Sul;Estádio dos Plátanos;25;11;11;47
BOCA JÚNIOR;sergipe;-10.5358;-37.0953;Carmópolis;Estádio Fernando França;13;9;24;46
VALERIODOCE;minas_gerais;-19.6133;-43.2275;Itabira;Estádio Israel Pinheiro;16;18;12;46
UNIÃO LUZIENSE;minas_gerais;-19.7725;-43.8547;Santa Luzia;Estádio Municipal Victor Andrade de Brito;13;13;20;46
AMÉRICA T.O;minas_gerais;-17.8583;-41.5056;Teófilo Otoni;Estádio Nassri Mattar;24;10;12;46
PARINTINS;amazonas;-2.6283;-56.7397;Parintins;Estádio Francisco Garcia;20;14;12;46
RIO NEGRO;roraima;2.8236;-60.6753;Boa Vista;Estádio Flamarion Vasconcelos;9;7;30;46
ARAPONGAS;parana;-23.4153;-51.4333;Arapongas;Estádio José Chiappin;18;10;18;46
ITUPIRANGA;para;-5.1458;-49.3333;Itupiranga;Estádio Municipal Jaime Sena Pimentel;13;12;21;46
MIGUELENSE;alagoas;-9.7833;-36.1056;São Miguel dos Campos;Estádio Manoel Ferreira;9;4;33;46
SANTANA;amapa;-0.0558;-51.1794;Santana;Estádio Municipal de Santana;8;8;30;46
VERÊ;parana;-25.9186;-52.8583;Verê;Estádio Vila do Mar;15;13;18;46
DIMENSÃO SAÚDE;alagoas;-9.4167;-36.05;Capela;Estádio Manoel Moreira;17;4;25;46
