estado;divisao;ano;data;mandante;visitante;placar
para;3;2023;2023-06-10;Belenense FC;Vênus-PA;1-0
para;3;2023;2023-06-10;Pedreira-PA;Paraense SC;1-1
para;3;2023;2023-06-13;Pinheirense;Tesla;1-0
para;3;2023;2023-06-17;Paraense SC;Belenense FC;2-0
para;3;2023;2023-06-17;Vênus-PA;Pinheirense;1-0
para;3;2023;2023-06-17;Tesla;Pedreira-PA;3-0
para;3;2023;2023-06-20;Belenense FC;Pedreira-PA;2-2
para;3;2023;2023-06-21;Pinheirense;Paraense SC;1-2
para;3;2023;2023-06-21;Vênus-PA;Tesla;2-2
para;3;2023;2023-06-24;Belenense FC;Tesla;1-2
para;3;2023;2023-06-24;Paraense SC;Vênus-PA;0-0
para;3;2023;2023-06-24;Pedreira-PA;Pinheirense;3-4
para;3;2023;2023-06-27;Pinheirense;Belenense FC;1-0
para;3;2023;2023-06-27;Tesla;Paraense SC;1-2
para;3;2023;2023-07-06;Paraense SC;Pinheirense;"0-0(4-5 Pen.)"
para;2;2025;2025-06-07;Amazônia Independente;ESMAC;1-1
para;2;2025;2025-06-07;Urumajó;Pinheirense;2-0
para;2;2025;2025-06-07;São Raimundo-PA;Izabelense;3-2
para;2;2025;2025-06-08;Canaã FC;Itupiranga;1-2
para;2;2025;2025-06-11;ESMAC;União Paraense;0-2
para;2;2025;2025-06-11;Pinheirense;Paragominas;1-1
para;2;2025;2025-06-11;Izabelense;Marajó;1-0
para;2;2025;2025-06-14;Itupiranga;Carajás;1-2
para;2;2025;2025-06-15;União Paraense;Amazônia Independente;0-0
para;2;2025;2025-06-15;Marajó;São Raimundo-PA;3-1
para;2;2025;2025-06-15;Paragominas;Urumajó;0-0
para;2;2025;2025-06-18;Carajás;Canaã FC;1-2
para;2;2025;2025-06-19;Pinheirense;Urumajó;2-2
para;2;2025;2025-06-19;ESMAC;Amazônia Independente;1-2
para;2;2025;2025-06-19;Izabelense;São Raimundo-PA;1-4
para;2;2025;2025-06-21;Itupiranga;Canaã FC;1-1
para;2;2025;2025-06-22;Paragominas;Pinheirense;3-1
para;2;2025;2025-06-23;União Paraense;ESMAC;1-1
para;2;2025;2025-06-23;Marajó;Izabelense;1-1
para;2;2025;2025-06-24;Carajás;Itupiranga;2-4
para;2;2025;2025-06-29;Canaã FC;Carajás;3-0
para;2;2025;2025-06-29;Amazônia Independente;União Paraense;3-2
para;2;2025;2025-06-29;Urumajó;Paragominas;2-1
para;2;2025;2025-06-29;São Raimundo-PA;Marajó;3-2
para;2;2025;2025-07-05;União Paraense;Urumajó;0-0
para;2;2025;2025-07-05;Itupiranga;São Raimundo-PA;0-1
para;2;2025;2025-07-05;Paragominas;Amazônia Independente;1-1
para;2;2025;2025-07-05;Marajó;Canaã FC;0-2
para;2;2025;2025-07-12;São Raimundo-PA;Itupiranga;3-2
para;2;2025;2025-07-12;Amazônia Independente;Paragominas;"0-0(5-4 Pen.)"
para;2;2025;2025-07-12;Canaã FC;Marajó;3-0
para;2;2025;2025-07-12;Urumajó;União Paraense;1-0
para;2;2025;2025-07-19;Canaã FC;São Raimundo-PA;1-2
para;2;2025;2025-07-20;Amazônia Independente;Urumajó;4-3
para;2;2025;2025-07-26;São Raimundo-PA;Canaã FC;0-0
para;2;2025;2025-07-26;Urumajó;Amazônia Independente;0-1
para;2;2025;2025-08-02;São Raimundo-PA;Amazônia Independente;2-1
para;2;2024;2024-09-07;São Raimundo-PA;Vila Rica;4-0
para;2;2024;2024-09-07;Carajás;Itupiranga;1-1
para;2;2024;2024-09-07;Paragominas;Pinheirense;1-1
para;2;2024;2024-09-08;Capitão Poço;Santos-PA;1-0
para;2;2024;2024-09-14;Santos-PA;Paragominas;0-2
para;2;2024;2024-09-14;Pinheirense;Capitão Poço;1-0
para;2;2024;2024-09-15;Vila Rica;ESMAC;1-2
para;2;2024;2024-09-15;Itupiranga;Independente Tucuruí;0-1
para;2;2024;2024-09-19;Pinheirense;Santos-PA;1-1
para;2;2024;2024-09-21;ESMAC;São Raimundo-PA;1-1
para;2;2024;2024-09-21;Paragominas;Capitão Poço;2-0
para;2;2024;2024-09-22;Izabelense;União Paraense;1-1
para;2;2024;2024-09-22;Independente Tucuruí;Carajás;0-2
para;2;2024;2024-09-28;Santos-PA;Pinheirense;0-1
para;2;2024;2024-09-28;Vila Rica;São Raimundo-PA;0-2
para;2;2024;2024-09-28;União Paraense;Izabelense;0-0
para;2;2024;2024-09-29;Capitão Poço;Paragominas;2-1
para;2;2024;2024-09-29;Itupiranga;Carajás;2-2
para;2;2024;2024-10-04;Capitão Poço;Pinheirense;3-1
para;2;2024;2024-10-05;ESMAC;Vila Rica;1-1
para;2;2024;2024-10-05;Paragominas;Santos-PA;4-0
para;2;2024;2024-10-05;Independente Tucuruí;Itupiranga;1-2
para;2;2024;2024-10-10;São Raimundo-PA;ESMAC;3-0
para;2;2024;2024-10-12;Carajás;Independente Tucuruí;2-3
para;2;2024;2024-10-15;Santos-PA;Capitão Poço;0-0
para;2;2024;2024-10-15;Pinheirense;Paragominas;1-1
para;2;2024;2024-10-20;Carajás;São Raimundo-PA;1-1
para;2;2024;2024-10-21;ESMAC;Independente Tucuruí;1-0
para;2;2024;2024-10-24;União Paraense;Fonte Nova;0-2
para;2;2024;2024-10-24;Izabelense;Amazônia Independente;1-0
para;2;2024;2024-10-25;Independente Tucuruí;ESMAC;3-0
para;2;2024;2024-10-26;São Raimundo-PA;Carajás;"0-0(1-4 Pen.)"
para;2;2024;2024-10-28;Amazônia Independente;União Paraense;1-1
para;2;2024;2024-10-28;Fonte Nova;Izabelense;1-1
para;2;2024;2024-10-31;Amazônia Independente;Fonte Nova;1-1
para;2;2024;2024-11-03;Carajás;Independente Tucuruí;1-1
para;2;2024;2024-11-05;Fonte Nova;Amazônia Independente;0-2
para;2;2024;2024-11-09;União Paraense;Amazônia Independente;0-1
para;2;2024;2024-11-09;Independente Tucuruí;Carajás;1-0
para;2;2024;2024-11-09;Izabelense;Fonte Nova;5-0
para;2;2024;2024-11-13;Fonte Nova;União Paraense;1-1
para;2;2024;2024-11-13;Amazônia Independente;Izabelense;0-1
para;2;2024;2024-11-16;Capitão Poço;Izabelense;1-0
para;2;2024;2024-11-17;Amazônia Independente;Paragominas;0-1
para;2;2024;2024-11-20;Izabelense;Capitão Poço;0-1
para;2;2024;2024-11-20;Paragominas;Amazônia Independente;4-0
para;2;2024;2024-11-24;Capitão Poço;Paragominas;0-0
para;2;2024;2024-12-01;Paragominas;Capitão Poço;0-3
para;2;2024;2024-12-04;Capitão Poço;Independente Tucuruí;1-2
para;2;2023;2023-08-16;Tiradentes-PA;Paraense SC;3-3
para;2;2023;2023-08-16;Sporting Maracanã;Sport Belém;2-3
para;2;2023;2023-08-16;ESMAC;Izabelense;3-3
para;2;2023;2023-08-16;Carajás;Canaã FC;0-0
para;2;2023;2023-08-16;Paragominas;Capitão Poço;2-3
para;2;2023;2023-08-17;Amazônia Independente;Vila Rica;1-1
para;2;2023;2023-08-17;Pinheirense;São Raimundo-PA;1-0
para;2;2023;2023-08-17;Atlético Paraense;Parauapebas;1-1
para;2;2023;2023-08-19;Santa Rosa;Capitão Poço;1-1
para;2;2023;2023-08-19;Tiradentes-PA;Paragominas;1-3
para;2;2023;2023-08-19;Santos-PA;Sport Belém;1-0
para;2;2023;2023-08-19;ESMAC;Sporting Maracanã;0-0
para;2;2023;2023-08-20;União Paraense;Vila Rica;0-1
para;2;2023;2023-08-20;Pinheirense;Amazônia Independente;1-1
para;2;2023;2023-08-20;Carajás;Atlético Paraense;1-1
para;2;2023;2023-08-20;Gavião Kyikatejê;Parauapebas;1-1
para;2;2023;2023-08-23;Paraense SC;Santa Rosa;0-5
para;2;2023;2023-08-23;Izabelense;Santos-PA;2-0
para;2;2023;2023-08-23;Sport Belém;ESMAC;1-2
para;2;2023;2023-08-23;Capitão Poço;Tiradentes-PA;3-0
para;2;2023;2023-08-24;Vila Rica;Pinheirense;0-4
para;2;2023;2023-08-24;Canaã FC;Gavião Kyikatejê;1-0
para;2;2023;2023-08-24;Parauapebas;Carajás;3-1
para;2;2023;2023-08-26;Paraense SC;Paragominas;1-0
para;2;2023;2023-08-26;Santa Rosa;Tiradentes-PA;4-1
