estado;divisao;ano;data;mandante;visitante;placar
acre;2;2025;2025-08-12;São Francisco FC;Náuas;1-0
acre;2;2025;2025-08-14;Santa Cruz-AC;Atlético-AC;1-1
acre;2;2025;2025-08-16;Plácido de Castro;Andirá-AC;1-3
acre;2;2025;2025-08-19;Santa Cruz-AC;São Francisco FC;4-0
acre;2;2025;2025-08-21;Plácido de Castro;Náuas;1-0
acre;2;2025;2025-08-23;Andirá-AC;Atlético-AC;1-3
acre;2;2025;2025-08-26;Plácido de Castro;Santa Cruz-AC;0-8
acre;2;2025;2025-08-28;Náuas;Andirá-AC;1-4
acre;2;2025;2025-08-30;Atlético-AC;São Francisco FC;0-3
acre;2;2025;2025-09-02;Andirá-AC;Santa Cruz-AC;1-1
acre;2;2025;2025-09-04;São Francisco FC;Plácido de Castro;3-0
acre;2;2025;2025-09-06;Náuas;Atlético-AC;1-4
acre;2;2025;2025-09-09;São Francisco FC;Andirá-AC;4-0
acre;2;2025;2025-09-11;Atlético-AC;Plácido de Castro;7-0
acre;2;2025;2025-09-13;Santa Cruz-AC;Náuas;8-0
acre;2;2025;2025-09-18;Andirá-AC;São Francisco FC;1-2
acre;2;2025;2025-09-20;Atlético-AC;Santa Cruz-AC;0-1
acre;2;2025;2025-09-25;São Francisco FC;Andirá-AC;2-0
acre;2;2025;2025-09-27;Santa Cruz-AC;Atlético-AC;1-1
acre;2;2025;2025-10-04;Santa Cruz-AC;São Francisco FC;1-0
acre;2;2025;2025-10-11;São Francisco FC;Santa Cruz-AC;"1-0(2-4 Pen.)"
acre;1;2025;2025-01-25;Rio Branco-AC;São Francisco FC;2-0
acre;1;2025;2025-01-25;Galvez EC;Plácido de Castro;3-2
acre;1;2025;2025-01-27;SC Humaitá;ADESG;1-1
acre;1;2025;2025-01-27;Independência-AC;Vasco da Gama-AC;0-3
acre;1;2025;2025-02-01;ADESG;Plácido de Castro;6-2
acre;1;2025;2025-02-01;Independência-AC;Rio Branco-AC;3-0
acre;1;2025;2025-02-02;Vasco da Gama-AC;São Francisco FC;1-0
acre;1;2025;2025-02-02;Galvez EC;SC Humaitá;2-2
acre;1;2025;2025-02-08;Vasco da Gama-AC;Galvez EC;1-0
acre;1;2025;2025-02-08;Rio Branco-AC;ADESG;0-1
acre;1;2025;2025-02-09;Independência-AC;São Francisco FC;5-0
acre;1;2025;2025-02-09;SC Humaitá;Plácido de Castro;1-1
acre;1;2025;2025-02-15;Vasco da Gama-AC;SC Humaitá;2-1
acre;1;2025;2025-02-15;Independência-AC;ADESG;1-1
acre;1;2025;2025-02-16;São Francisco FC;Plácido de Castro;3-2
acre;1;2025;2025-02-16;Rio Branco-AC;Galvez EC;1-6
acre;1;2025;2025-02-22;SC Humaitá;Rio Branco-AC;3-2
acre;1;2025;2025-02-23;ADESG;São Francisco FC;1-0
acre;1;2025;2025-02-23;Plácido de Castro;Vasco da Gama-AC;1-1
acre;1;2025;2025-02-25;Galvez EC;Independência-AC;0-0
acre;1;2025;2025-03-08;ADESG;Vasco da Gama-AC;0-2
acre;1;2025;2025-03-09;Plácido de Castro;Rio Branco-AC;0-5
