estado;divisao;ano;data;mandante;visitante;placar
goias;3;2025;2025-09-06;Bom Jesus EC;ABD FC;1-0
goias;3;2025;2025-09-06;América-GO;Itumbiara;1-0
goias;3;2025;2025-09-06;Rioverdense;Mineiros;0-4
goias;3;2025;2025-09-07;Santa Helena;Aparecida EC;1-1
goias;3;2025;2025-09-07;Pires do Rio;ASEEV;2-2
goias;3;2025;2025-09-09;Guanabara City;Crixás;0-1
goias;3;2025;2025-09-13;Crixás;Bom Jesus EC;0-0
goias;3;2025;2025-09-13;ABD FC;Rioverdense;6-0
goias;3;2025;2025-09-13;Aparecida EC;América-GO;0-1
goias;3;2025;2025-09-14;Itumbiara;Guanabara City;0-2
goias;3;2025;2025-09-14;Mineiros;Pires do Rio;1-0
goias;3;2025;2025-09-14;ASEEV;Santa Helena;2-3
goias;3;2025;2025-09-20;Rioverdense;ASEEV;1-0
goias;3;2025;2025-09-20;Aparecida EC;Crixás;0-0
goias;3;2025;2025-09-20;ABD FC;América-GO;3-0
goias;3;2025;2025-09-21;Santa Helena;Bom Jesus EC;1-3
goias;3;2025;2025-09-21;Pires do Rio;Guanabara City;0-4
goias;3;2025;2025-09-21;Mineiros;Itumbiara;3-0
goias;3;2025;2025-09-27;Bom Jesus EC;Rioverdense;3-0
goias;3;2025;2025-09-27;Guanabara City;Santa Helena;1-0
goias;3;2025;2025-09-27;América-GO;Pires do Rio;3-0
goias;3;2025;2025-09-28;Itumbiara;Aparecida EC;1-4
goias;3;2025;2025-09-28;ASEEV;Mineiros;0-5
goias;3;2025;2025-09-29;Crixás;ABD FC;1-1
goias;3;2025;2025-10-03;Guanabara City;Bom Jesus EC;1-3
goias;3;2025;2025-10-04;Aparecida EC;ABD FC;0-1
goias;3;2025;2025-10-04;Rioverdense;América-GO;1-5
goias;3;2025;2025-10-05;Santa Helena;Pires do Rio;0-0
goias;3;2025;2025-10-05;ASEEV;Itumbiara;3-1
goias;3;2025;2025-10-05;Mineiros;Crixás;0-1
goias;3;2025;2025-10-10;ABD FC;Guanabara City;0-0
goias;3;2025;2025-10-11;Santa Helena;Mineiros;1-3
goias;3;2025;2025-10-11;Bom Jesus EC;Aparecida EC;2-1
goias;3;2025;2025-10-12;Itumbiara;Crixás;1-3
goias;3;2025;2025-10-12;América-GO;ASEEV;2-1
goias;3;2025;2025-10-12;Pires do Rio;Rioverdense;2-0
goias;3;2025;2025-10-17;Guanabara City;Rioverdense;8-2
goias;3;2025;2025-10-18;Crixás;ASEEV;4-0
goias;3;2025;2025-10-18;Bom Jesus EC;América-GO;1-1
goias;3;2025;2025-10-18;Aparecida EC;Pires do Rio;0-0
goias;3;2025;2025-10-19;Itumbiara;Santa Helena;2-4
goias;3;2025;2025-10-19;Mineiros;ABD FC;2-1
goias;3;2025;2025-10-24;ABD FC;Itumbiara;7-0
goias;3;2025;2025-10-25;Rioverdense;Crixás;0-2
goias;3;2025;2025-10-26;ASEEV;Aparecida EC;1-0
goias;3;2025;2025-10-26;América-GO;Santa Helena;1-1
goias;3;2025;2025-10-26;Mineiros;Guanabara City;2-1
goias;3;2025;2025-10-26;Pires do Rio;Bom Jesus EC;1-4
goias;3;2025;2025-10-31;Guanabara City;América-GO;1-3
goias;3;2025;2025-11-01;Santa Helena;Rioverdense;5-1
goias;3;2025;2025-11-01;Aparecida EC;Mineiros;1-2
goias;3;2025;2025-11-02;Itumbiara;Bom Jesus EC;0-8
goias;3;2025;2025-11-02;ASEEV;ABD FC;0-7
goias;3;2025;2025-11-08;Santa Helena;ABD FC;0-2
goias;3;2025;2025-11-08;Bom Jesus EC;Mineiros;1-0
goias;3;2025;2025-11-08;América-GO;Crixás;0-0
goias;3;2025;2025-11-08;Guanabara City;ASEEV;2-1
goias;3;2025;2025-11-09;Pires do Rio;Itumbiara;10-2
goias;3;2025;2025-11-10;Rioverdense;Aparecida EC;1-3
goias;3;2025;2025-11-15;Mineiros;América-GO;1-0
goias;3;2025;2025-11-15;Itumbiara;Rioverdense;2-1
goias;3;2025;2025-11-15;ASEEV;Bom Jesus EC;0-7
goias;3;2025;2025-11-15;Crixás;Santa Helena;2-1
