clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4
PORTUGUESA/sao_paulo;-23.5329;-46.6395;0.0013765291961623373;0;0;0
BARRA/santa_catarina;-26.9922;-48.6353;0.0013619129445367167;0;0;3
DOURADOS/mato_grosso_do_sul;-22.4136;-54.2335;0.001354846375836622;0;0;3
CAPITAL CF/distrito_federal;-15.8222;-47.9781;0.0013295723182223877;0;0;0
CIANORTE/parana;-23.6599;-52.6054;0.001329229170806421;0;0;3
CAMBORIÚ/santa_catarina;-27.0241;-48.6503;0.0013161865223235102;0;0;3
SAMPAIO CORRÊA/rio_de_janeiro;-22.9129;-43.2003;0.0013143390227890758;0;0;0
AIMORÉ/rio_grande_do_sul;-29.7545;-51.1498;0.0013051362820177034;0;0;3
DUQUE DE CAXIAS/rio_de_janeiro;-22.7858;-43.3049;0.0013007419611642695;0;0;0
XV DE PIRACICABA/sao_paulo;-22.7338;-47.6476;0.0012989003982193307;0;0;0
SANTO ANDRÉ/sao_paulo;-23.6737;-46.5432;0.0012978808526311447;0;0;0
PARNAHYBA/piaui;-2.90585;-41.7754;0.0012812306997234716;1;1;1
NOVA MUTUM/mato_grosso;-13.8344;-56.0728;0.0012747324045686585;0;2;2
GRAMADENSE/rio_grande_do_sul;-29.3791;-50.8764;0.0012717448414594685;0;0;3
GRÊMIO SÃO-CARLENSE/sao_paulo;-22.0174;-47.886;0.001271012370725212;0;0;0
NOVO HAMBURGO/rio_grande_do_sul;-29.6875;-51.1328;0.0012657841659043784;0;0;3
UBERLÂNDIA/minas_gerais;-18.9141;-48.2749;0.0012638737525846244;0;0;0
BETIM FUTEBOL/minas_gerais;-19.9668;-44.2008;0.0012610496890170673;0;0;0
MIXTO/mato_grosso;-15.601;-56.0974;0.0012560204845007657;0;0;2
XV DE JAÚ/sao_paulo;-22.2936;-48.5592;0.0012556038681592703;0;0;0
HERCÍLIO LUZ/santa_catarina;-28.4713;-49.0144;0.001249288128458657;0;0;3
NOVA VENÉCIA/espirito_santo;-18.715;-40.4053;0.0012433894017197004;0;0;0
ÁGUA SANTA/sao_paulo;-23.6813;-46.6205;0.00123764375451944;0;0;0
CAPITAL/tocantins;-10.1844;-48.3336;0.0012364581226745586;1;2;2
CENTRAL/pernambuco;-8.28455;-35.9699;0.0012360067895959782;1;1;1
