clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4;serie_d_k2;serie_d_k3;serie_d_k4
OPERÁRIO/amazonas;-3.29066;-60.6216;0.0006095941286768;0;2;0;1;2;2
ITZ SPORT/maranhao;-5.5264;-47.4819;0.000609285564548;0;2;0;0;0;3
SÃO FRANCISCO/acre;-9.974;-67.8076;0.0006054231637337;1;2;0;1;2;1
BARCELONA/rondonia;-8.7619;-63.9039;0.0006047731353861;1;2;0;1;2;1
SPORT SINOP/mato_grosso;-11.8604;-55.5091;0.0005893832743546;1;2;0;1;1;1
ARAGUACEMA/tocantins;-9.1131;-49.5636;0.000585374805019;0;2;0;0;1;3
SORRISO/mato_grosso;-12.5425;-55.7211;0.0005786133409998;1;2;0;1;1;1
GUARAÍ/tocantins;-8.83543;-48.5114;0.0005648521166215;0;2;0;0;1;3
AÇÃO/mato_grosso;-15.8656;-56.0767;0.0005612890019595;1;2;0;1;1;1
SANTOS/para;-1.8842;-48.7686;0.0005599704918651;0;2;0;0;0;0
SINOP/mato_grosso;-11.8604;-55.5091;0.0005589621191552;1;2;0;1;1;1
POCONÉ/mato_grosso;-15.4608;-55.7497;0.0005558182662646;1;2;0;1;1;1
ACADEMIA/mato_grosso;-16.4673;-54.6372;0.0005504125727826;1;2;0;1;1;1
FONTE NOVA/para;-1.05109;-46.6147;0.0005386469088853;0;2;0;0;0;0
ITUPIRANGA/para;-5.13272;-49.3358;0.0005381164949871;0;2;0;0;0;3
RIO NEGRO/amazonas;-3.11866;-60.0212;0.0005322917168462;0;2;0;1;2;2
CARAJÁS/para;-6.06781;-49.9037;0.0005316153733147;0;2;0;0;0;3
TAPAJÓS/para;-2.43849;-54.6996;0.0005285648579077;0;2;0;0;0;0
NÁUTICO/roraima;1.82766;-61.1304;0.0005276826730928;0;2;0;1;2;2
GAVIÃO KYIKATEJÊ/para;-5.0424;-48.6047;0.0005133109751977;0;2;0;0;0;3
PRIMAVERA/mato_grosso;-15.5591;-54.2982;0.000512041037735;1;2;0;1;1;1
SÃO PAULO/amapa;0.034934;-51.0694;0.0005050206033385;0;2;0;0;0;0
CÁCERES/mato_grosso;-16.0764;-57.6818;0.0005029178446965;1;2;0;1;1;1
PRINCESA DO SOLIMÕES/amazonas;-3.29066;-60.6216;0.000499065951819;0;2;0;1;2;2
PORTUGUESA/amapa;-0.0383;-51.0632;0.0004958329561809;0;2;0;0;0;0
GENUS/rondonia;-8.7619;-63.9039;0.0004938278896127;1;2;0;1;2;1
VILHENENSE/rondonia;-12.7502;-60.1488;0.0004932292843353;1;2;0;1;1;1
PORTO VELHO/rondonia;-8.76077;-63.8999;0.0004916043174352;1;2;0;1;2;1
CRISTAL/amapa;0.034934;-51.0694;0.0004894840201049;0;2;0;0;0;0
BARÉ/roraima;2.82384;-60.6753;0.0004750147223826;0;2;0;1;2;2
SPARTA/tocantins;-7.1925;-48.2078;0.0004717572637843;0;2;0;0;0;3
ATLÉTICO RORAIMA/roraima;2.82384;-60.6753;0.0004624231846993;0;2;0;1;2;2
SÃO JOSÉ/amapa;0.034934;-51.0694;0.0004597864079834;0;2;0;0;0;0
