clube;estado;cidade;lat;lon;ibge;wins;draws;losses;cluster_logistico
VITÓRIA;bahia;Salvador;-12.9718;-38.5011;2927408.0;154;130;142;11
VILA NOVA;goias;Goiânia;-16.6864;-49.2643;5208707.0;153;150;119;6
SERRA;espirito-santo;Serra;-20.121;-40.3074;3205002.0;150;82;120;2
BARRA;santa-catarina;Balneário Camboriú;-26.9922;-48.6353;4202008.0;148;104;154;7
AMÉRICA;minas_gerais;Belo Horizonte;-19.9102;-43.9266;3106200.0;148;125;141;2
COSTA RICA;mato-grosso-do-sul;Costa Rica;-18.5432;-53.1287;5003256.0;148;72;102;5
OESTE;sao-paulo;Itápolis;-21.5942;-48.8149;3522703.0;142;156;212;3
REMO;para;Belém;-1.4554;-48.4898;1501402.0;141;86;100;12
AIMORÉ;rio-grande-do-sul;São Leopoldo;-29.7545;-51.1498;4318705.0;140;92;198;7
JOINVILLE;santa-catarina;Joinville;-26.3045;-48.8487;4209102.0;140;220;186;7
VASCO DA GAMA;rio_de_janeiro;Rio de Janeiro;-22.9129;-43.2003;3304557.0;139;112;170;0
OLARIA;rio-de-janeiro;Rio de Janeiro;-22.842143012;-43.26699613;3304557.0;136;90;90;0
SAMPAIO CORRÊA;maranhao;São Luís;-2.53874;-44.2825;2111300.0;135;104;122;10
CSA;alagoas;Maceió;-9.6658;-35.735;2704302.0;133;107;111;11
PAYSANDU;para;Belém;-1.4554;-48.4898;1501402.0;132;92;110;12
NÁUTICO;pernambuco;Recife;-8.04666;-34.8771;2611606.0;130;103;114;8
CEOV OPERÁRIO;mato-grosso;Várzea Grande;-15.65;-56.1325;5108402.0;128;100;80;5
XV DE PIRACICABA;sao-paulo;Caraguatatuba;-23.6125;-45.4125;3510500.0;126;118;104;1
CONFIANÇA;sergipe;Aracaju;-10.9091;-37.0677;2800308.0;125;72;107;11
NOVA MUTUM;mato-grosso;Nova Mutum;-13.8344;-56.0728;5106224.0;124;116;112;5
BRASILIENSE;distrito_federal;Brasília;-15.8333;-48.0569;5300108.0;122;47;46;6
LONDRINA;parana;Londrina;-23.304;-51.1691;4113700.0;119;119;135;3
DOURADOS;mato-grosso-do-sul;Glória de Dourados;-22.4136;-54.2335;5004007.0;118;58;62;3
OPERÁRIO;parana;Ponta Grossa;-25.0916;-50.1668;4119905.0;113;95;121;7
POTIGUAR;rio-grande-do-norte;Mossoró;-5.18374;-37.3474;2408003.0;112;74;166;9
MIXTO;mato-grosso;Cuiabá;-15.601;-56.0974;5103403.0;110;114;100;5
PÉROLAS NEGRAS;rio-de-janeiro;Piraí;-22.6289;-43.8972;3304003.0;110;86;100;0
SANTA CRUZ DE NATAL;rio-grande-do-norte;Santa Cruz;-6.22475;-36.0193;2411205.0;110;66;162;8
SÃO BENTO;sao-paulo;Sorocaba;-23.4969;-47.4451;3552205.0;108;156;150;1
APARECIDENSE;goias;Aparecida de Goiânia;-16.8198;-49.2469;5201405.0;107;63;95;6
RESENDE;rio-de-janeiro;Resende;-22.4705;-44.4509;3304201.0;106;112;220;0
LUVERDENSE;mato-grosso;Lucas do Rio Verde;-13.0588;-55.9042;5105259.0;106;78;122;5
BOAVISTA;rio-de-janeiro;Saquarema;-22.9292;-42.5099;3305505.0;106;126;176;0
URT;minas-gerais;Patos de Minas;-18.5853;-46.5181;3148004.0;106;74;110;3
AMAZONAS;amazonas;Manaus;-3.11866;-60.0212;1302603.0;105;64;78;13
AUDAX RIO;rio-de-janeiro;São João de Meriti;-22.8058;-43.3729;3305109.0;104;78;186;0
CALDENSE;minas-gerais;Poços de Caldas;-21.78;-46.5692;3151800.0;104;80;178;1
BANGU;rio-de-janeiro;Rio de Janeiro;-22.9129;-43.2003;3304557.0;102;136;188;0
UBERLÂNDIA;minas-gerais;Uberlândia;-18.9141;-48.2749;3170206.0;102;110;142;3
CASCAVEL;parana;Cascavel;-24.9573;-53.459;4104808.0;100;89;80;3
FERROVIÁRIO;ceara;Catarina;-6.12291;-39.8736;2303600.0;99;70;81;9
HERCÍLIO LUZ;santa-catarina;Tubarão;-28.4713;-49.0144;4218707.0;98;80;65;7
MADUREIRA;rio-de-janeiro;Rio de Janeiro;-22.9129;-43.2003;3304557.0;98;90;156;0
MARINGÁ;parana;Maringá;-23.4205;-51.9333;4115200.0;95;60;41;3
NOVO HAMBURGO;rio-grande-do-sul;Novo Hamburgo;-29.6875;-51.1328;4313409.0;94;126;150;7
ALTOS;piaui;Altos;-5.03888;-42.4612;2200400.0;92;69;68;10
MARÍLIA;sao-paulo;Marília;-22.2171;-49.9501;3529005.0;92;68;72;3
GLOBO;rio-grande-do-norte;Ceará-Mirim;-5.64323;-35.4247;2402600.0;90;84;174;8
RETRÔ;pernambuco;Camaragibe;-8.02351;-34.9782;2603454.0;89;57;54;8
CABOFRIENSE;rio-de-janeiro;Cabo Frio;-22.8894;-42.0286;3300704.0;86;76;130;0
MANAUS;amazonas;Manaus;-3.11866;-60.0212;1302603.0;86;70;61;13
BOTAFOGO;paraiba;João Pessoa;-7.11509;-34.8641;2507507.0;86;84;52;8
MONTE AZUL;sao-paulo;Monte Azul Paulista;-20.9065;-48.6387;3531506.0;82;92;122;3
ASA;alagoas;Maceió;-9.66599;-35.735;2704302.0;79;58;60;11
SANTA CRUZ;pernambuco;Recife;-8.04666;-34.8771;2611606.0;79;69;48;8
SÃO RAIMUNDO;roraima;Boa Vista;2.82384;-60.6753;1400100.0;79;37;36;13
IPATINGA;minas-gerais;Ipatinga;-19.4703;-42.5476;3131307.0;78;66;106;2
VILLA NOVA;minas-gerais;Nova Lima;-19.9758;-43.8509;3144805.0;76;58;128;2
AQUIDAUANENSE;mato-grosso-do-sul;Aquidauana;-20.4666;-55.7868;5001102.0;76;50;128;3
ÁGUIA NEGRA;mato-grosso-do-sul;Rio Brilhante;-21.8033;-54.5427;5007208.0;76;76;102;3
ITABAIANA;sergipe;Itabaiana;-10.6853;-37.4253;2802908.0;76;47;54;11
SÃO CAETANO;sao-paulo;São Caetano do Sul;-23.6229;-46.5548;3548807.0;76;72;154;1
SOUSA;paraiba;Sousa;-6.75148;-38.2311;2516201.0;75;46;59;9
FLORESTA;ceara;Fortaleza;-3.71664;-38.5423;2304400.0;75;89;91;9
ANÁPOLIS;goias;Anápolis;-16.3281;-48.953;5201108.0;73;61;52;6
NOVA VENÉCIA;espirito-santo;Nova Venécia;-18.715;-40.4053;3203908.0;72;49;37;2
MARICÁ;rio-de-janeiro;Maricá;-22.9354;-42.8246;3302700.0;71;66;51;0
CEILÂNDIA;distrito_federal;Brasília;-15.8208;-48.1122;5300108.0;71;41;42;6
ÁGUA SANTA;sao-paulo;Diadema;-23.6813;-46.6205;3513801.0;70;64;72;1
PORTUGUESA SANTISTA;sao-paulo;São Paulo;-23.5329;-46.6395;3550308.0;70;100;96;1
AMÉRICA MINEIRO;minas-gerais;Belo Horizonte;-19.9102;-43.9266;3106200.0;69;41;30;2
SAMPAIO CORRÊA;rio-de-janeiro;Rio de Janeiro;-22.9129;-43.2003;3304557.0;68;42;58;0
PELOTAS;rio-grande-do-sul;Pelotas;-31.7653;-52.3375;4314407.0;68;80;98;7
SERGIPE;sergipe;Aracaju;-10.9091;-37.0677;2800308.0;67;54;44;11
ITABIRITO;minas-gerais;Itaú de Minas;-20.7375;-46.7525;3133758.0;66;48;70;3
VASCO;rio-de-janeiro;Rio de Janeiro;-22.9129;-43.2003;3304557.0;65;40;46;0
TOCANTINÓPOLIS;tocantins;Tocantinópolis;-6.32447;-47.4224;1721208.0;64;42;51;4
UNIÃO RONDONÓPOLIS;mato-grosso;Rondonópolis;-16.4673;-54.6372;5107602.0;64;40;39;5
SÃO JOSÉ;sao-paulo;São José dos Campos;-23.1896;-45.8841;3549904.0;64;47;40;1
BAHIA DE FEIRA;bahia;Feira de Santana;-12.2664;-38.9663;2910800.0;63;49;46;11
BETIM FUTEBOL;minas-gerais;Betim;-19.9668;-44.2008;3106705.0;62;43;31;2
CAPIVARIANO;sao-paulo;Capivari;-22.9951;-47.5071;3510401.0;62;37;40;1
RIO BRANCO DE VENDA NOVA;espirito-santo;Nova Venécia;-18.715;-40.4053;3203908.0;61;40;39;2
MOTO CLUB;maranhao;São Luís;-2.5307;-44.3068;2111300.0;61;43;50;10
CONCÓRDIA;santa-catarina;Concórdia;-27.2335;-52.026;4204301.0;61;54;70;7
DESPORTIVA FERROVIÁRIA;espirito-santo;Cariacica;-20.3375;-40.3847;3201308.0;60;42;48;2
CAMBORIÚ;santa-catarina;Camboriú;-27.0241;-48.6503;4203204.0;60;43;41;7
GRÊMIO PRUDENTE;sao-paulo;Presidente Prudente;-22.1207;-51.3925;3541406.0;59;29;32;3
MARANHÃO;maranhao;Bacabal;-4.22447;-44.7832;2101202.0;58;45;28;10
CAMPINENSE;paraiba;Campina Grande;-7.22196;-35.8731;2504009.0;57;56;49;8
BRASIL;rio_grande_do_sul;Farroupilha;-29.2227;-51.3419;4307906.0;57;62;99;7
IGUATU;ceara;Iguatu;-6.36281;-39.2892;2305506.0;56;32;45;9
TREZE;paraiba;Campina Grande;-7.22196;-35.8731;2504009.0;56;46;47;8
GAMA;distrito_federal;Brasília;-16.0183;-48.0667;5300108.0;56;27;35;6
AMERICANO;rio-de-janeiro;Campos dos Goytacazes;-21.7622;-41.3181;3301009.0;55;46;46;2
PARANÁ;parana;Campo Mourão;-24.0463;-52.378;4104303.0;55;56;90;3
NOROESTE;sao-paulo;Bauru;-22.3246;-49.0871;3506003.0;55;49;40;3
JACUIPENSE;bahia;Riachão do Jacuípe;-11.8067;-39.3818;2926301.0;55;52;49;11
DUQUE DE CAXIAS;rio-de-janeiro;Duque de Caxias;-22.7858;-43.3049;3301702.0;54;44;53;0
SANTA CRUZ;rio-grande-do-sul;Santa Cruz do Sul;-29.722;-52.4343;4316808.0;54;30;36;7
ESPORTIVO;rio-grande-do-sul;Montenegro;-29.6824;-51.4679;4312401.0;54;70;94;7
JUAZEIRENSE;bahia;Juazeiro;-9.41622;-40.5033;2918407.0;53;39;47;11
TUNA LUSO;para;Belém;-1.4554;-48.4898;1501402.0;53;31;39;12
LAGARTO;sergipe;Lagarto;-10.9136;-37.6689;2803500.0;53;35;28;11
CIANORTE;parana;Cianorte;-23.6599;-52.6054;4105508.0;52;46;54;3
AMERICA;rio-de-janeiro;Rio de Janeiro;-22.9129;-43.2003;3304557.0;50;61;39;0
MANAUARA;amazonas;Manaus;-3.11866;-60.0212;1302603.0;50;31;15;13
ICASA;ceara;Juazeiro do Norte;-7.19621;-39.3076;2307304.0;49;39;30;9
RIO BRANCO;acre;Rio Branco;-9.974;-67.8076;5107206.0;49;27;34;5
VELO CLUBE;sao-paulo;Rio Claro;-22.4114;-47.5614;3543907.0;49;41;47;1
TREM;amapa;Macapá;0.034934;-51.0694;1600303.0;49;27;42;12
PRIMAVERA;sao-paulo;Indaiatuba;-23.0816;-47.2101;3520509.0;48;53;35;1
ATLÉTICO;bahia;Alagoinhas;-12.1335;-38.4208;2900702.0;48;37;49;11
CA VOTUPORANGUENSE;sao-paulo;Guaíra;-20.3196;-48.312;3517406.0;47;42;41;3
CSE;alagoas;Maceió;-9.66599;-35.735;2704302.0;47;41;39;11
SERRANO;rio-de-janeiro;Petrópolis;-22.52;-43.1926;3303906.0;46;39;47;0
OPERÁRIO FERROVIÁRIO;parana;Ponta Grossa;-25.0916;-50.1668;4119905.0;46;23;21;7
FLUMINENSE;piaui;Teresina;-5.09194;-42.8034;2211001.0;46;36;42;10
LINENSE;sao-paulo;Lins;-21.6718;-49.7526;3527108.0;46;35;49;3
GONÇALENSE;rio-de-janeiro;Petrópolis;-22.5047;-43.1814;3303906.0;46;26;25;0
XV DE JAÚ;sao-paulo;Piracicaba;-22.7338;-47.6476;3538709.0;46;25;27;1
RIVER;piaui;Teresina;-5.09194;-42.8034;2211001.0;46;34;34;10
TAQUARITINGA;sao-paulo;Taquaritinga;-21.4049;-48.5103;3553708.0;44;22;23;3
BELFORD ROXO;rio-de-janeiro;Belford Roxo;-22.764;-43.3992;3300456.0;44;20;16;0
CAPIXABA;espirito-santo;Nova Venécia;-18.715;-40.4053;3203908.0;44;33;45;2
GRÊMIO SÃO-CARLENSE;sao-paulo;São Carlos;-22.0174;-47.886;3548906.0;43;34;23;1
UNIÃO SUZANO;sao-paulo;Mogi das Cruzes;-23.5208;-46.1854;3530607.0;43;24;36;1
RIO BRANCO;sao-paulo;Americana;-22.7374;-47.3331;3501608.0;43;38;29;1
GE BRASIL;rio-grande-do-sul;Farroupilha;-29.2227;-51.3419;4307906.0;43;63;52;7
PADUANO;rio-de-janeiro;Rio de Janeiro;-22.9129;-43.2003;3304557.0;43;27;23;0
SINOP;mato-grosso;Sinop;-11.8604;-55.5091;5107909.0;42;18;92;5
CAUCAIA;ceara;Caucaia;-3.72797;-38.6619;2303709.0;42;44;56;9
MARACANÃ;ceara;Maracanaú;-3.86699;-38.6259;2307650.0;42;31;37;9
GALVEZ;acre;Rio Branco;-9.974;-67.8076;5107206.0;41;24;32;5
NACIONAL;sao-paulo;Limeira;-22.566;-47.397;3526902.0;41;32;42;1
CATANDUVA;sao-paulo;Catanduva;-21.1314;-48.977;3511102.0;41;29;24;3
OLÍMPICO;sergipe;Itabaianinha;-11.2693;-37.7875;2803005.0;41;10;15;11
CORURIPE;alagoas;Coruripe;-10.1276;-36.1717;2702306.0;40;32;33;11
DESPORTIVO BRASIL;sao-paulo;Porto Feliz;-23.2093;-47.5251;3540606.0;40;32;38;1
HUMAITÁ;acre;Porto Acre;-9.58138;-67.5478;1200807.0;40;23;54;5
CENTRAL;pernambuco;Caruaru;-8.28455;-35.9699;2604106.0;40;50;34;8
IMPERATRIZ;maranhao;Imperatriz;-5.51847;-47.4777;2105302.0;39;30;49;4
GOIÂNIA;goias;Goiânia;-16.6864;-49.2643;5208707.0;39;27;53;6
4 DE JULHO;piaui;Piripiri;-4.27157;-41.7716;2208403.0;39;40;36;10
RIO CLARO;sao-paulo;Bastos;-21.921;-50.7357;3505807.0;38;52;47;3
PAULISTA;sao-paulo;Jundiaí;-23.1852;-46.8974;3525904.0;38;24;33;1
FLAMENGO;sao-paulo;Guarulhos;-23.4538;-46.5333;3518800.0;38;24;20;1
CRUZEIRO;alagoas;Arapiraca;-9.75164;-36.6604;2700300.0;38;12;33;11
PRÓSPERA;santa-catarina;Criciúma;-28.6723;-49.3729;4204608.0;38;24;86;7
OPERÁRIO;mato-grosso;Várzea Grande;-15.65;-56.1325;5108402.0;38;24;66;5
AVENIDA;rio-grande-do-sul;Santa Cruz do Sul;-29.722;-52.4343;4316808.0;38;62;74;7
JUVENTUS;sao-paulo;São Paulo;-23.5329;-46.6395;3550308.0;38;48;49;1
TAUBATÉ;sao-paulo;Taubaté;-23.0104;-45.5593;3554102.0;38;43;54;1
VILAVELHENSE;espirito-santo;Vila Velha;-20.3417;-40.2875;3205200.0;38;25;67;2
UNIVASSOURAS ARTSUL;rio-de-janeiro;Nova Iguaçu;-22.7556;-43.4603;3303500.0;37;43;41;0
CAMPO GRANDE;rio-de-janeiro;Rio de Janeiro;-22.9129;-43.2003;3304557.0;37;24;33;0
SÃO BORJA;rio-grande-do-sul;São Borja;-28.6578;-56.0036;4318002.0;37;19;20;7
CAPITAL CF;distrito_federal;Brasília;-15.8222;-47.9781;5300108.0;37;22;14;6
GOIANÉSIA;goias;Goianésia;-15.3118;-49.1162;5208608.0;37;43;55;6
PACAJUS;ceara;Pacajus;-4.17107;-38.465;2309607.0;37;39;41;9
PARNAHYBA;piaui;Parnaíba;-2.90585;-41.7754;2207702.0;37;42;36;10
CARLOS RENAUX;santa-catarina;Brusque;-27.0977;-48.9107;4202909.0;36;32;32;7
PARANAVAÍ;parana;Paranavaí;-23.0816;-52.4617;4118402.0;36;15;17;3
COMERCIAL;sao-paulo;Ribeirão Preto;-21.1699;-47.8099;3543402.0;36;45;43;3
AÇÃO;mato-grosso;Santo Antônio de Leverger;-15.8656;-56.0767;5107802.0;36;42;78;5
JUVENTUS JARAGUÁ;santa-catarina;Jaraguá do Sul;-26.4851;-49.0713;4208906.0;36;41;49;7
GOIATUBA;goias;Goiatuba;-18.0105;-49.3658;5209101.0;36;26;30;6
SÃO GONÇALO;rio-de-janeiro;São Gonçalo;-22.8268;-43.0634;3304904.0;35;30;36;0
MAUÁ;sao-paulo;Mauá;-23.6678;-46.4614;3529401.0;35;30;23;1
ZUMBI;alagoas;União dos Palmares;-9.15921;-36.0223;2709301.0;35;10;23;11
CASTANHAL;para;Castanhal;-1.29797;-47.9167;1502400.0;35;32;30;12
SANTA CATARINA;santa-catarina;Rio do Sul;-27.2156;-49.643;4214805.0;35;28;8;7
GRAMADENSE;rio-grande-do-sul;Santa Maria;-29.6868;-53.8149;4316907.0;34;9;20;7
MURICI;alagoas;Murici;-9.30682;-35.9428;2705507.0;34;32;44;11
NAÇÃO;santa-catarina;Joinville;-26.3045;-48.8487;4209102.0;34;42;59;7
BANDEIRANTE;sao-paulo;Birigui;-21.291;-50.3432;3506508.0;34;28;36;3
NACIONAL;amazonas;Manaus;-3.11866;-60.0212;1302603.0;34;28;23;13
BOA ESPORTE;minas-gerais;Varginha;-21.5556;-45.4364;3170701.0;34;34;52;1
IPORÁ;goias;Iporá;-16.4398;-51.118;5210208.0;33;34;59;6
ITABUNA;bahia;Itabuna;-14.7876;-39.2781;2914802.0;33;28;17;11
VOCEM;sao-paulo;Assis;-22.6622;-50.4181;3504008.0;33;34;18;3
CRAC;goias;Catalão;-18.1658;-47.9461;5205108.0;33;43;38;6
GAÚCHO;rio-grande-do-sul;Passo Fundo;-28.2576;-52.4091;4314100.0;33;15;13;7
GUARANY;sergipe;Porto da Folha;-9.91626;-37.2842;2805604.0;33;19;14;11
UNI SOUZA;rio-de-janeiro;Rio de Janeiro;-22.8669;-43.3458;3304557.0;33;16;14;0
BARRA DA TIJUCA;rio-de-janeiro;Teresópolis;-22.4165;-42.9752;3305802.0;32;23;12;0
DOM BOSCO;mato-grosso;Cuiabá;-15.601;-56.0974;5103403.0;32;24;62;5
MACAÉ;rio-de-janeiro;Macaé;-22.3768;-41.7848;3302403.0;32;21;75;0
RIO GRANDE;rio-grande-do-sul;Rio Grande;-32.0349;-52.1071;4315602.0;32;19;41;7
ANAPOLINA;goias;Anápolis;-16.3281;-48.953;5201108.0;32;25;21;6
BONSUCESSO;rio-de-janeiro;Rio de Janeiro;-22.9129;-43.2003;3304557.0;32;29;29;0
GAS;roraima;Boa Vista;2.8233;-60.675;1400100.0;32;10;10;13
CARAPEBUS;rio-de-janeiro;Carapebus;-22.1821;-41.663;3300936.0;32;12;36;0
GOYTACAZ;rio-de-janeiro;Campos dos Goytacazes;-21.7622;-41.3181;3301009.0;31;16;28;2
UNIÃO BARBARENSE;sao-paulo;Mogi das Cruzes;-23.5208;-46.1854;3530607.0;31;18;22;1
FALCON;sergipe;Aracaju;-10.9091;-37.0677;2800308.0;31;27;31;11
FRANCANA;sao-paulo;Franca;-20.5352;-47.4039;3516200.0;31;31;20;3
SERRA MACAENSE;rio-de-janeiro;Macaé;-22.3768;-41.7848;3302403.0;31;27;29;0
SERTÃOZINHO;sao-paulo;Sertãozinho;-21.1316;-47.9875;3551702.0;31;40;48;3
PENAPOLENSE;sao-paulo;Penápolis;-21.4148;-50.0769;3537305.0;31;36;40;3
INTER DE BEBEDOURO;sao-paulo;Caraguatatuba;-23.6125;-45.4125;3510500.0;31;22;30;1
PASSO FUNDO;rio-grande-do-sul;Passo Fundo;-28.2576;-52.4091;4314100.0;30;10;20;7
ESTANCIANO;sergipe;Estância;-11.2659;-37.4484;2802106.0;30;12;30;11
FRIBURGUENSE;rio-de-janeiro;Nova Friburgo;-22.2932;-42.5377;3303401.0;30;28;60;0
BARRETOS;sao-paulo;Barretos;-20.5531;-48.5698;3505500.0;30;33;35;3
NAVIRAIENSE;mato-grosso-do-sul;Naviraí;-23.0618;-54.1995;5005707.0;30;19;15;3
TUPYNAMBÁS;minas-gerais;Juiz de Fora;-21.7595;-43.3398;3136702.0;30;37;49;0
MANTHIQUEIRA;sao-paulo;Guaratinguetá;-22.8075;-45.1938;3518404.0;30;11;38;1
GUARANI;minas-gerais;Divinópolis;-20.1446;-44.8912;3122306.0;30;15;25;2
NACIONAL;paraiba;Cabedelo;-6.98731;-34.8284;2503209.0;29;19;28;8
ESTRELA DO NORTE;espirito-santo;Cachoeiro de Itapemirim;-20.8462;-41.1198;3201209.0;29;21;56;2
INTERPORTO;tocantins;Porto Nacional;-10.7027;-48.408;1718204.0;29;23;21;4
ATLÉTICO;ceara;Fortaleza;-3.71664;-38.5423;2304400.0;29;27;38;9
REAL BRASÍLIA;distrito_federal;Brasília;-15.7795;-47.9297;5300108.0;29;19;32;6
GAZIN PORTO VELHO;rondonia;Porto Velho;-8.76077;-63.8999;1100205.0;29;16;21;5
SERC;mato-grosso-do-sul;Chapadão do Sul;-18.7836;-52.6178;5002951.0;29;12;34;5
PATRIOTAS;parana;Curitiba;-25.4195;-49.2646;4106902.0;29;15;17;7
SALGUEIRO;pernambuco;Salgueiro;-8.07373;-39.1247;2612208.0;29;23;22;9
NACIONAL ATL. MURIAÉ;minas-gerais;Muriaé;-21.13;-42.3693;3143906.0;29;43;32;2
ITAPIRENSE;sao-paulo;Itapira;-22.4357;-46.8224;3522604.0;29;33;34;1
AZURIZ FUTEBOL;parana;Pato Branco;-26.2292;-52.6706;4118501.0;28;25;31;7
VITÓRIA DAS TABOCAS;pernambuco;Vitória de Santo Antão;-8.12819;-35.2976;2616407.0;28;15;24;8
INHUMAS;goias;Inhumas;-16.3611;-49.5001;5210000.0;28;15;25;6
FREI PAULISTANO;sergipe;Frei Paulo;-10.5513;-37.5279;2802304.0;28;19;47;11
HORIZONTE;ceara;Fortaleza;-3.71664;-38.5423;2304400.0;28;21;30;9
ATLÉTICO GLORIENSE;sergipe;Lagarto;-10.9136;-37.6689;2803500.0;28;18;25;11
