clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4
MARCÍLIO DIAS/santa_catarina;-26.9046;-48.6667;0.0014288525194073377;0;0;2
MARICÁ/rio_de_janeiro;-22.9225;-42.8186;0.001410582256169004;0;0;0
PORTUGUESA/sao_paulo;-23.5505;-46.6333;0.001396767268548674;0;0;0
BOA ESPORTE/minas_gerais;-21.56;-45.4333;0.0013961899925835118;0;0;0
SÃO LUIZ/rio_grande_do_sul;-28.3911;-53.9153;0.0013838447623624225;0;0;2
IGUATU/ceara;-6.3725;-39.3014;0.001369976161405188;1;2;3
ATLÉTICO CEARENSE/ceara;-3.7319;-38.5267;0.0013693582573060287;1;2;3
DUQUE DE CAXIAS/rio_de_janeiro;-22.7833;-43.3167;0.0013549384394712489;0;0;0
JOINVILLE/santa_catarina;-26.3044;-48.8464;0.001346540297290697;0;0;2
XV DE PIRACICABA/sao_paulo;-22.7253;-47.6476;0.001341239631791219;0;0;2
SAMPAIO CORRÊA/rio_de_janeiro;-22.9244;-42.5075;0.0013295795395470709;0;0;0
GRÊMIO SÃO-CARLENSE/sao_paulo;-22.0175;-47.8861;0.0013230795194905881;0;0;0
PARNAHYBA/piaui;-2.90556;-41.7775;0.0013202073592505567;1;2;3
SANTO ANDRÉ/sao_paulo;-23.6653;-46.5325;0.001313272305357116;0;0;0
GRAMADENSE/rio_grande_do_sul;-29.3758;-50.8766;0.0013083028608625808;0;0;2
XV DE JAÚ/sao_paulo;-22.2975;-48.5586;0.0013052531578659956;0;0;2
BELFORD ROXO/rio_de_janeiro;-22.7614;-43.4039;0.0013042565762054932;0;0;0
AFOGADOS DA INGAZEIRA/pernambuco;-7.7547;-37.6367;0.001304099973790179;1;2;3
GONÇALENSE/rio_de_janeiro;-22.8214;-43.0503;0.0012823021548021638;0;0;0
ÁGUIA NEGRA/mato_grosso_do_sul;-21.8036;-54.5453;0.0012667296027674103;0;0;2
AMERICA/rio_de_janeiro;-22.9068;-43.1729;0.001262919612860252;0;0;0
NOVA VENÉCIA/espirito_santo;-18.7056;-40.3933;0.0012602652041974031;0;2;0
ÁGUA SANTA/sao_paulo;-23.6858;-46.6219;0.001258470632482169;0;0;0
SÃO BENTO/sao_paulo;-23.5017;-47.4544;0.0012559168656671202;0;0;2
CENTRAL/pernambuco;-8.2828;-35.9742;0.0012545511246903436;1;2;3
SÃO JOSÉ/sao_paulo;-23.2237;-45.9009;0.0012527133573068715;0;0;0
PRINCESA/amazonas;-3.2964;-60.6214;0.0012518422553375987;1;1;1
PADUANO/rio_de_janeiro;-21.5375;-42.1833;0.0012516650353526723;0;0;0
BETIM FUTEBOL/minas_gerais;-19.9733;-44.2014;0.0012459774560444397;0;0;0
CASTANHAL/para;-1.2947;-47.9175;0.0012412357788353038;1;1;1
BARRA/santa_catarina;-26.992;-48.632;0.0012383150816983616;0;0;2
UBERLÂNDIA/minas_gerais;-18.9186;-48.2772;0.001235236923007017;0;0;0
TAQUARITINGA/sao_paulo;-21.4333;-48.5083;0.0012322142693950507;0;0;2
AMERICANO/rio_de_janeiro;-21.7627;-41.3275;0.0012296218253443638;0;0;0
RIO BRANCO DE VENDA NOVA/espirito_santo;-20.3225;-41.1353;0.0012267609746797056;0;0;0
UNIÃO ATLÉTICO/tocantins;-7.1917;-48.2056;0.0012239935814822686;1;1;1
GLOBO/rio_grande_do_norte;-5.63583;-35.4236;0.0012205937872421223;1;2;3
AUDAX RIO/rio_de_janeiro;-22.9247;-42.5075;0.0012161411158674313;0;0;0
PÉROLAS NEGRAS/rio_de_janeiro;-22.6335;-43.9046;0.0012130558891280288;0;0;0
AQUIDAUANENSE/mato_grosso_do_sul;-20.4736;-55.7833;0.0012050649698297305;0;1;2
AZURIZ FUTEBOL/parana;-26.225;-52.671;0.001194778692843614;0;0;2
SERRA/espirito_santo;-20.2417;-40.3083;0.001188102948783942;0;2;0
CAMBORIÚ/santa_catarina;-27.0175;-48.6536;0.0011841078430440057;0;0;2
IMPERATRIZ/maranhao;-5.5264;-47.4917;0.0011827997216399156;1;1;1
SERRANO/rio_de_janeiro;-22.505;-43.1789;0.0011775410491104748;0;0;0
REAL BRASÍLIA/distrito_federal;-15.7939;-47.8828;0.0011774790767370646;0;1;0
URT/minas_gerais;-18.5833;-46.5167;0.0011748794113417287;0;0;0
ANAPOLINA/goias;-16.3286;-48.9533;0.0011642493003304183;0;1;0
CAPITAL/tocantins;-10.2128;-48.3603;0.001156393875671109;1;1;1
INTERPORTO/tocantins;-10.7083;-48.4175;0.0011523911197882828;1;1;1
MIXTO/mato_grosso;-15.5961;-56.0969;0.0011509968804315903;0;1;1
ALECRIM/rio_grande_do_norte;-5.7945;-35.211;0.0011491618031238516;1;2;3
NOVO HAMBURGO/rio_grande_do_sul;-29.6844;-51.1325;0.0011488602375362249;0;0;2
HUMAITÁ/acre;-9.5833;-67.6333;0.00114604179764838;0;1;1
ICASA/ceara;-7.2133;-39.3153;0.001145414584263422;1;2;3
RESENDE/rio_de_janeiro;-22.4683;-44.4517;0.0011434766698688631;0;0;0
RIO BRANCO/acre;-9.9747;-67.8076;0.0011395001289763;0;1;1
NOVA MUTUM/mato_grosso;-13.8294;-56.0814;0.0011360658447151877;0;1;1
NACIONAL/amazonas;-3.119;-60.0217;0.001133724064411047;1;1;1
CABOFRIENSE/rio_de_janeiro;-22.8814;-42.025;0.001133682729669214;0;0;0
BOAVISTA/rio_de_janeiro;-22.9247;-42.5086;0.001126547255073516;0;0;0
CATANDUVA/sao_paulo;-21.1358;-48.9753;0.001123397153707581;0;0;2
HERCÍLIO LUZ/santa_catarina;-28.4762;-49.0044;0.0011219146408047566;0;0;2
FALCON/sergipe;-10.9083;-37.0333;0.0011184381108060978;1;2;3
MARACANÃ/ceara;-3.8775;-38.6236;0.0011178451732801404;1;2;3
BARRA/sergipe;-10.9056;-37.0389;0.001116339759825366;1;2;3
GRÊMIO ANÁPOLIS/goias;-16.3286;-48.9533;0.001110027087471393;0;1;0
CALDENSE/minas_gerais;-21.7847;-46.5633;0.0011098288104881388;0;0;0
PORTO VITÓRIA/espirito_santo;-20.3155;-40.3128;0.0011075385484984293;0;2;0
UNIVASSOURAS ARTSUL/rio_de_janeiro;-22.755;-43.453;0.001105055857799168;0;0;0
VOCEM/sao_paulo;-22.6617;-50.4136;0.0011002758823693672;0;0;2
