clube;estado;cidade;lat;lon;ibge;wins;draws;losses;pagerank_score;cluster_k2;cluster_k3;cluster_k4;cluster_k5;cluster_k6;cluster_k7;cluster_k8;sub_cluster_m0_k2;sub_cluster_m0_k3;sub_cluster_m0_k4;sub_cluster_m1_k2;sub_cluster_m1_k3;sub_cluster_m1_k4;sub_cluster_m2_k2;sub_cluster_m2_k3;sub_cluster_m2_k4
SERGIPE;SE;Aracaju;-10.9091;-37.0677;2800308.0;67;54;44;0.0020298703172287;0;2;2;2;2;2;2;;;;;;;1.0;0.0;3.0
DEMOCRATA;MG;Governador Valadares;-18.8545;-41.9555;3127701.0;168;166;210;0.0020007958963793;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
REAL NOROESTE;ES;Águia Branca;-18.9846;-40.7437;3200136.0;214;166;210;0.0019669113935761;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
ANÁPOLIS;GO;Anápolis;-16.3281;-48.953;5201108.0;73;61;52;0.0019594842318658;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
ITABAIANA;SE;Itabaiana;-10.6853;-37.4253;2802908.0;76;47;54;0.0019140787194123;0;2;2;2;2;2;2;;;;;;;1.0;0.0;3.0
COSTA RICA;MS;Costa Rica;-18.5432;-53.1287;5003256.0;148;72;102;0.0018442501678167;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
PARANÁ;PR;Campo Mourão;-24.0463;-52.378;4104303.0;55;56;90;0.0018045740518119;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
ASA;AL;Maceió;-9.66599;-35.735;2704302.0;79;58;60;0.0017969101744877;0;2;2;2;2;2;2;;;;;;;1.0;0.0;3.0
JUAZEIRENSE;BA;Juazeiro;-9.41622;-40.5033;2918407.0;53;39;47;0.0017530296077097;0;2;2;2;2;2;2;;;;;;;1.0;0.0;1.0
JACUIPENSE;BA;Riachão do Jacuípe;-11.8067;-39.3818;2926301.0;55;52;49;0.0017492290167404;0;2;2;2;2;2;2;;;;;;;1.0;0.0;1.0
CAMPINENSE;PB;Campina Grande;-7.22196;-35.8731;2504009.0;57;56;49;0.0017394354264526;0;2;2;2;2;2;2;;;;;;;0.0;2.0;2.0
TUNA LUSO;PA;Belém;-1.4554;-48.4898;1501402.0;53;31;39;0.001708209130906;0;0;3;3;3;1;0;1.0;0.0;3.0;;;;;;
