clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4;serie_d_k2;serie_d_k3;serie_d_k4;clube;uf;pos
ARAGUACEMA/tocantins;-9.1131;-49.5636;0.000585374805019;0;2;0;0;1;3;Araguacema;TO;12
GUARAÍ/tocantins;-8.83543;-48.5114;0.0005648521166215;0;2;0;0;1;3;Guaraí;TO;13
ITUPIRANGA/para;-5.13272;-49.3358;0.0005381164949871;0;2;0;0;0;3;Itupiranga;PA;14
ÁGUIA NEGRA/mato_grosso_do_sul;-21.8033;-54.5427;0.0012035738902464;1;1;1;0;0;2;Águia Negra;MS;1
AQUIDAUANENSE/mato_grosso_do_sul;-20.4666;-55.7868;0.0011398968418612;1;2;1;0;0;2;Aquidauanense;MS;2
UNIÃO RONDONÓPOLIS/mato_grosso;-16.4673;-54.6372;0.0011083262689321;1;2;1;0;0;2;União Rondonópolis;MT;3
CATANDUVA/sao_paulo;-21.1314;-48.977;0.0010752615650394;1;1;1;0;0;0;Catanduva;SP;4
VOCEM/sao_paulo;-22.6622;-50.4181;0.0010554780747801;1;1;1;0;0;0;Vocem;SP;5
MARÍLIA/sao_paulo;-22.2171;-49.9501;0.0010186604095281;1;1;1;0;0;0;Marília;SP;6
COMERCIAL/mato_grosso_do_sul;-20.7849;-51.7007;0.0010001240557685;1;1;1;0;0;2;Comercial;MS;7
CA VOTUPORANGUENSE/sao_paulo;-20.4222;-49.9725;0.0009773707840596;1;1;1;0;0;0;Ca Votuporanguense;SP;8
PENAPOLENSE/sao_paulo;-21.4148;-50.0769;0.0009483728816039;1;1;1;0;0;0;Penapolense;SP;9
BANDEIRANTE/sao_paulo;-21.291;-50.3432;0.0008470232415159;1;1;1;0;0;0;Bandeirante;SP;10
LINENSE/sao_paulo;-21.6718;-49.7526;0.0008398796771375;1;1;1;0;0;0;Linense;SP;11
NAVIRAIENSE/mato_grosso_do_sul;-23.0618;-54.1995;0.0008165250595882;1;1;1;0;0;2;Naviraiense;MS;12
MINEIROS/goias;-17.5654;-52.5537;0.0008003507794221;1;2;1;0;0;2;Mineiros;GO;13
SERC/mato_grosso_do_sul;-18.7836;-52.6178;0.0007711085393701;1;2;1;0;0;2;Serc;MS;14
PARANAVAÍ/parana;-23.0816;-52.4617;0.0007332924897322;1;1;1;0;0;2;Paranavaí;PR;15
IVINHEMA/mato_grosso_do_sul;-22.3046;-53.8184;0.0007169147102572;1;1;1;0;0;2;Ivinhema;MS;16
JATAIENSE/goias;-17.8784;-51.7204;0.0006915552414456;1;2;1;0;0;2;Jataiense;GO;17
RIO PRETO/sao_paulo;-20.8113;-49.3758;0.0006815473101479;1;1;1;0;0;0;Rio Preto;SP;18
CRUZEIRO/rio_grande_do_sul;-29.95;-51.0833;0.0010468709011752;1;1;1;1;1;1;Cruzeiro;RS;1
SÃO BORJA/rio_grande_do_sul;-28.6578;-56.0036;0.0010437134026557;1;1;1;1;1;1;São Borja;RS;2
MONSOON/rio_grande_do_sul;-29.75;-50.0167;0.0009731533762723;1;1;1;1;1;1;Monsoon;RS;3
GUARANI V. AIRES/rio_grande_do_sul;-29.6103;-52.1906;0.0009412850232531;1;1;1;1;1;1;Guarani V. Aires;RS;4
AZURIZ FUTEBOL/parana;-26.2292;-52.6706;0.0009164423606346;1;1;1;1;1;1;Azuriz Futebol;PR;5
REAL SPORT CLUB/rio_grande_do_sul;-29.7642;-50.0282;0.0008605885770988;1;1;1;1;1;1;Real Sport Club;RS;6
GE BRASIL/rio_grande_do_sul;-29.2227;-51.3419;0.0008572478577497;1;1;1;1;1;1;Ge Brasil;RS;7
RIO GRANDE/rio_grande_do_sul;-32.0349;-52.1071;0.0008571741940565;1;1;1;1;1;1;Rio Grande;RS;8
GAÚCHO/rio_grande_do_sul;-28.2576;-52.4091;0.0008209277357628;1;1;1;1;1;1;Gaúcho;RS;9
CONCÓRDIA/santa_catarina;-27.2335;-52.026;0.0007975224853392;1;1;1;1;1;1;Concórdia;SC;10
SÃO PAULO/rio_grande_do_sul;-32.0349;-52.1071;0.0007525991140481;1;1;1;1;1;1;São Paulo;RS;11
SANTA CRUZ/rio_grande_do_sul;-29.722;-52.4343;0.0007492989182715;1;1;1;1;1;1;Santa Cruz;RS;12
ELITE CD/rio_grande_do_sul;-32.0349;-52.1071;0.0007155788224477;1;1;1;1;1;1;Elite Cd;RS;13
RIOGRANDENSE/rio_grande_do_sul;-29.6868;-53.8149;0.0007082140159686;1;1;1;1;1;1;Riograndense;RS;14
INTER DE LAGES/santa_catarina;-27.815;-50.3259;0.000681334214225;1;1;1;1;1;3;Inter De Lages;SC;15
PELOTAS/rio_grande_do_sul;-31.7653;-52.3375;0.0006718159442372;1;1;1;1;1;1;Pelotas;RS;16
FUTEBOL COM VIDA/rio_grande_do_sul;-30.0822;-51.0189;0.0006535656035742;1;1;1;1;1;1;Futebol Com Vida;RS;17
ATLÉTICO TUBARÃO/santa_catarina;-28.4713;-49.0144;0.0006474981448483;1;1;1;1;1;3;Atlético Tubarão;SC;18
ÁGUA SANTA/sao_paulo;-23.6813;-46.6205;0.0012376437545194;1;1;1;0;2;0;Água Santa;SP;1
SÃO BENTO/sao_paulo;-23.4969;-47.4451;0.0012222928167484;1;1;1;0;2;0;São Bento;SP;2
OPERÁRIO FERROVIÁRIO/parana;-25.0916;-50.1668;0.0011781851752285;1;1;1;1;2;3;Operário Ferroviário;PR;3
NOROESTE/sao_paulo;-22.3246;-49.0871;0.0010327872919738;1;1;1;0;2;0;Noroeste;SP;4
CAPIVARIANO/sao_paulo;-22.9951;-47.5071;0.0009687061326111;1;1;1;0;2;0;Capivariano;SP;5
PRIMAVERA/sao_paulo;-23.0816;-47.2101;0.0009098255933404;1;1;1;0;2;0;Primavera;SP;6
DESPORTIVO BRASIL/sao_paulo;-23.2093;-47.5251;0.00090171822114;1;1;1;0;2;0;Desportivo Brasil;SP;7
SKA BRASIL/sao_paulo;-23.4447;-46.9189;0.000829884457006;1;1;1;0;2;0;Ska Brasil;SP;8
FOZ DO IGUAÇU/parana;-26.2273;-51.0873;0.0008154566967799;1;1;1;1;2;3;Foz Do Iguaçu;PR;9
NAÇÃO/santa_catarina;-26.3045;-48.8487;0.0008019221668388;1;1;1;1;2;3;Nação;SC;10
CARLOS RENAUX/santa_catarina;-27.0977;-48.9107;0.0007723894670025;1;1;1;1;2;3;Carlos Renaux;SC;11
NACIONAL/parana;-25.4195;-49.2646;0.0007683371330468;1;1;1;1;2;3;Nacional;PR;12
SANTA CATARINA/santa_catarina;-27.2156;-49.643;0.000752410467419;1;1;1;1;2;3;Santa Catarina;SC;13
ANDRAUS/parana;-25.4578;-49.5297;0.0007521009447496;1;1;1;1;2;3;Andraus;PR;14
JUVENTUS JARAGUÁ/santa_catarina;-26.4851;-49.0713;0.0007317663365158;1;1;1;1;2;3;Juventus Jaraguá;SC;15
OSASCO AUDAX/sao_paulo;-23.5324;-46.7916;0.0007255886786679;1;1;1;0;2;0;Osasco Audax;SP;16
RIO BRANCO/parana;-25.5161;-48.5225;0.0007247621199163;1;1;1;1;2;3;Rio Branco;PR;17
SÃO JOSEENSE/parana;-25.5347;-49.2064;0.0007209907163998;1;1;1;1;2;3;São Joseense;PR;18
GLOBO/rio_grande_do_norte;-5.64323;-35.4247;0.0011864265535585;0;0;2;1;0;2;Globo;RN;1
