clube_id;clube;estado;lat;lon;cidade;pagerank_score;cluster_k2;cluster_k3;cluster_k4;cluster_k5;sub_cluster_m0_k2;sub_cluster_m0_k3;sub_cluster_m0_k4;sub_cluster_m1_k2;sub_cluster_m1_k3;sub_cluster_m1_k4;sub_cluster_m2_k2;sub_cluster_m2_k3;sub_cluster_m2_k4
SÃO RAIMUNDO/roraima;São Raimundo;roraima;2.82384;-60.6753;Boa Vista;0.0020700873317;0;0;1;1;0.0;1.0;1.0;;;;;;
SERGIPE/sergipe;Sergipe;sergipe;-10.9091;-37.0677;Aracaju;0.0020264922369049;0;2;2;2;;;;;;;1.0;0.0;3.0
REAL NOROESTE/espirito_santo;Real Noroeste;espirito_santo;-18.9846;-40.7437;Águia Branca;0.0019614613898254;1;1;0;0;;;;0.0;2.0;2.0;;;
ANÁPOLIS/goias;Anápolis;goias;-16.3281;-48.953;Anápolis;0.0019536576766654;1;1;0;0;;;;0.0;0.0;0.0;;;
DEMOCRATA/minas_gerais;Democrata;minas_gerais;-18.8545;-41.9555;Governador Valadares;0.001930087978871;1;1;0;0;;;;0.0;2.0;2.0;;;
ITABAIANA/sergipe;Itabaiana;sergipe;-10.6853;-37.4253;Itabaiana;0.0019098788170711;0;2;2;2;;;;;;;1.0;0.0;3.0
COSTA RICA/mato_grosso_do_sul;Costa Rica;mato_grosso_do_sul;-18.5432;-53.1287;Costa Rica;0.0018405619094225;1;1;0;0;;;;0.0;0.0;0.0;;;
PARANÁ/parana;Paraná;parana;-24.0463;-52.378;Campo Mourão;0.0018043252596468;1;1;0;0;;;;0.0;0.0;1.0;;;
ASA/alagoas;Asa;alagoas;-9.75487;-36.6615;Arapiraca;0.0017938306194787;0;2;2;2;;;;;;;1.0;0.0;3.0
JUAZEIRENSE/bahia;Juazeirense;bahia;-9.41622;-40.5033;Juazeiro;0.0017508242834471;0;2;2;2;;;;;;;1.0;0.0;1.0
JACUIPENSE/bahia;Jacuipense;bahia;-11.8067;-39.3818;Riachão do Jacuípe;0.0017477150264343;0;2;2;2;;;;;;;1.0;0.0;1.0
CAMPINENSE/paraiba;Campinense;paraiba;-7.22196;-35.8731;Campina Grande;0.0017348897926868;0;2;2;2;;;;;;;0.0;2.0;2.0
TUNA LUSO/para;Tuna Luso;para;-1.4554;-48.4898;Belém;0.0016942886399057;0;0;3;3;1.0;0.0;3.0;;;;;;
RIO BRANCO/espirito_santo;Rio Branco;espirito_santo;-20.3155;-40.3128;Vitória;0.0016942324063227;1;1;0;0;;;;0.0;2.0;2.0;;;
TREZE/paraiba;Treze;paraiba;-7.22196;-35.8731;Campina Grande;0.0016749139717173;0;2;2;2;;;;;;;0.0;2.0;2.0
BAHIA DE FEIRA/bahia;Bahia De Feira;bahia;-12.2664;-38.9663;Feira de Santana;0.0016700393822807;0;2;2;2;;;;;;;1.0;0.0;1.0
GAMA/distrito_federal;Gama;distrito_federal;-16.0183;-48.0667;Brasília;0.0016691336618936;1;1;0;0;;;;0.0;0.0;0.0;;;
OESTE/sao_paulo;Oeste;sao_paulo;-21.5942;-48.8149;Itápolis;0.0016367434403168;1;1;0;0;;;;0.0;0.0;1.0;;;
LAGARTO/sergipe;Lagarto;sergipe;-10.9136;-37.6689;Lagarto;0.0016289734243975;0;2;2;2;;;;;;;1.0;0.0;3.0
MARCÍLIO DIAS/santa_catarina;Marcílio Dias;santa_catarina;-26.9101;-48.6705;Itajaí;0.0016286689294381;1;1;0;4;;;;1.0;1.0;3.0;;;
MOTO CLUB/maranhao;Moto Club;maranhao;-2.5307;-44.3068;São Luís;0.0016186587936605;0;0;3;3;1.0;0.0;0.0;;;;;;
MARANHÃO/maranhao;Maranhão;maranhao;-4.22447;-44.7832;Bacabal;0.001584361285811;0;0;3;3;1.0;0.0;0.0;;;;;;
INTER DE LIMEIRA/sao_paulo;Inter De Limeira;sao_paulo;-22.566;-47.397;Limeira;0.0015700585493262;1;1;0;0;;;;0.0;0.0;1.0;;;
SÃO LUIZ/rio_grande_do_sul;São Luiz;rio_grande_do_sul;-28.388;-53.92;Ijuí;0.0015476096700332;1;1;0;4;;;;1.0;1.0;3.0;;;
