clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4;serie_d_k2;serie_d_k3;serie_d_k4
BONSUCESSO/rio_de_janeiro;-22.9068;-43.1729;0.00102296438;0;2;0;0;0;0
IPATINGA/minas_gerais;-19.4672;-42.5375;0.0010161477074132;0;2;0;0;0;3
COIMBRA/minas_gerais;-19.9319;-44.0539;0.0010126401730993;0;2;0;0;2;3
ITAPIRENSE/sao_paulo;-22.4358;-46.8217;0.0009895216814525;0;2;0;1;2;2
NACIONAL/sao_paulo;-23.5505;-46.6333;0.0009870971866796;0;2;0;0;2;2
GOYTACAZ/rio_de_janeiro;-21.7627;-41.3275;0.000985752202135;0;2;0;0;0;3
INDEPENDENTE DE LIMEIRA/sao_paulo;-22.5603;-47.4033;0.0009844953744641;0;2;0;1;2;2
AYMORÉS/minas_gerais;-21.1217;-42.9375;0.0009779096157222;0;2;0;0;0;0
INHUMAS/goias;-16.3636;-49.5058;0.0009755402213487;0;1;0;1;1;1
GOIÂNIA/goias;-16.6869;-49.2647;0.0009714243844911;0;1;0;1;1;1
UNI SOUZA/rio_de_janeiro;-22.9068;-43.1729;0.0009589222244586;0;2;0;0;0;0
DESPORTIVA FERROVIÁRIA/espirito_santo;-20.3261;-40.4217;0.0009526007506496;0;2;0;0;0;3
RIO CLARO/sao_paulo;-22.4125;-47.5633;0.0009505194080166;0;2;0;1;2;2
JUVENTUS/sao_paulo;-23.5505;-46.6333;0.0009502893385244;0;2;0;0;2;2
TRINDADE/goias;-16.6486;-49.4889;0.0009452074691394;0;1;0;1;1;1
TUPYNAMBÁS/minas_gerais;-21.7645;-43.3496;0.0009386250094387;0;2;0;0;0;0
GOIATUBA/goias;-18.0158;-49.3553;0.0009211679058881;0;1;0;1;1;1
CAMPO GRANDE/rio_de_janeiro;-22.9068;-43.1729;0.0009165751661303;0;2;0;0;0;0
TAUBATÉ/sao_paulo;-23.0272;-45.555;0.0009135912100951;0;2;0;0;2;2
VILLA NOVA/minas_gerais;-19.9858;-43.8486;0.0009093126706386;0;2;0;0;0;3
