clube_id;clube;lat;lon;score;cluster
4 DE JULHO/piaui;4 De Julho;-4.27157;-41.7716;0.0013887986517974536;1
RIO BRANCO/sao_paulo;Rio Branco;-22.7374;-47.3331;0.0013811173632273213;0
MARICÁ/rio_de_janeiro;Maricá;-22.9354;-42.8246;0.0013803926900870878;0
PORTUGUESA/sao_paulo;Portuguesa;-23.5329;-46.6395;0.0013765291961623373;0
BARRA/santa_catarina;Barra;-26.9922;-48.6353;0.0013619129445367167;0
DOURADOS/mato_grosso_do_sul;Dourados;-22.4136;-54.2335;0.001354846375836622;0
CAPITAL CF/distrito_federal;Capital Cf;-15.8222;-47.9781;0.0013295723182223877;0
CIANORTE/parana;Cianorte;-23.6599;-52.6054;0.001329229170806421;0
CAMBORIÚ/santa_catarina;Camboriú;-27.0241;-48.6503;0.0013161865223235102;0
SAMPAIO CORRÊA/rio_de_janeiro;Sampaio Corrêa;-22.9129;-43.2003;0.0013143390227890758;0
AIMORÉ/rio_grande_do_sul;Aimoré;-29.7545;-51.1498;0.0013051362820177034;0
DUQUE DE CAXIAS/rio_de_janeiro;Duque De Caxias;-22.7858;-43.3049;0.0013007419611642695;0
XV DE PIRACICABA/sao_paulo;Xv De Piracicaba;-22.7338;-47.6476;0.0012989003982193307;0
SANTO ANDRÉ/sao_paulo;Santo André;-23.6737;-46.5432;0.0012978808526311447;0
PARNAHYBA/piaui;Parnahyba;-2.90585;-41.7754;0.0012812306997234716;1
NOVA MUTUM/mato_grosso;Nova Mutum;-13.8344;-56.0728;0.0012747324045686585;2
GRAMADENSE/rio_grande_do_sul;Gramadense;-29.3791;-50.8764;0.0012717448414594685;0
GRÊMIO SÃO-CARLENSE/sao_paulo;Grêmio São-Carlense;-22.0174;-47.886;0.001271012370725212;0
NOVO HAMBURGO/rio_grande_do_sul;Novo Hamburgo;-29.6875;-51.1328;0.0012657841659043784;0
UBERLÂNDIA/minas_gerais;Uberlândia;-18.9141;-48.2749;0.0012638737525846244;0
BETIM FUTEBOL/minas_gerais;Betim Futebol;-19.9668;-44.2008;0.0012610496890170673;0
MIXTO/mato_grosso;Mixto;-15.601;-56.0974;0.0012560204845007657;0
XV DE JAÚ/sao_paulo;Xv De Jaú;-22.2936;-48.5592;0.0012556038681592703;0
HERCÍLIO LUZ/santa_catarina;Hercílio Luz;-28.4713;-49.0144;0.001249288128458657;0
NOVA VENÉCIA/espirito_santo;Nova Venécia;-18.715;-40.4053;0.0012433894017197004;0
ÁGUA SANTA/sao_paulo;Água Santa;-23.6813;-46.6205;0.00123764375451944;0
CAPITAL/tocantins;Capital;-10.1844;-48.3336;0.0012364581226745586;2
CENTRAL/pernambuco;Central;-8.28455;-35.9699;0.0012360067895959782;1
BELFORD ROXO/rio_de_janeiro;Belford Roxo;-22.764;-43.3992;0.001234443033758022;0
AMERICA/rio_de_janeiro;America;-22.9129;-43.2003;0.0012339433005037995;0
SÃO BENTO/sao_paulo;São Bento;-23.4969;-47.4451;0.0012222928167484233;0
CASTANHAL/para;Castanhal;-1.29797;-47.9167;0.0012179083782513994;2
AUDAX RIO/rio_de_janeiro;Audax Rio;-22.8058;-43.3729;0.001207079607563254;0
SÃO JOSÉ/sao_paulo;São José;-23.1896;-45.8841;0.0012068331932114042;0
URT/minas_gerais;Urt;-18.5853;-46.5181;0.0012059125455232262;0
ÁGUIA NEGRA/mato_grosso_do_sul;Águia Negra;-21.8033;-54.5427;0.001203573890246462;0
AMERICANO/rio_de_janeiro;Americano;-21.7622;-41.3181;0.001203151182860387;0
REAL BRASÍLIA/distrito_federal;Real Brasília;-15.7795;-47.9297;0.001193761816128168;0
MARACANÃ/ceara;Maracanã;-3.86699;-38.6259;0.001188512226328177;1
PADUANO/rio_de_janeiro;Paduano;-22.9129;-43.2003;0.0011875341851859942;0
INTERPORTO/tocantins;Interporto;-10.7027;-48.408;0.001187133505557274;2
GLOBO/rio_grande_do_norte;Globo;-5.64323;-35.4247;0.0011864265535585974;1
TAQUARITINGA/sao_paulo;Taquaritinga;-21.4049;-48.5103;0.0011825386135852496;0
OPERÁRIO FERROVIÁRIO/parana;Operário Ferroviário;-25.0916;-50.1668;0.0011781851752285762;0
CEOV OPERÁRIO/mato_grosso;Ceov Operário;-15.65;-56.1325;0.001175919302277712;0
LUVERDENSE/mato_grosso;Luverdense;-13.0588;-55.9042;0.0011669855614398154;2
PÉROLAS NEGRAS/rio_de_janeiro;Pérolas Negras;-22.6289;-43.8972;0.001160229459033463;0
SERRA/espirito_santo;Serra;-20.121;-40.3074;0.0011582964906635266;0
ICASA/ceara;Icasa;-7.19621;-39.3076;0.0011566784089083165;1
IMPERATRIZ/maranhao;Imperatriz;-5.51847;-47.4777;0.0011437373483458271;2
AQUIDAUANENSE/mato_grosso_do_sul;Aquidauanense;-20.4666;-55.7868;0.0011398968418612127;0
RESENDE/rio_de_janeiro;Resende;-22.4705;-44.4509;0.0011348478552273191;0
SERRANO/rio_de_janeiro;Serrano;-22.52;-43.1926;0.0011294521456251907;0
BOAVISTA/rio_de_janeiro;Boavista;-22.9292;-42.5099;0.0011279235108187036;0
CAUCAIA/ceara;Caucaia;-3.72797;-38.6619;0.0011255574570259493;1
CALDENSE/minas_gerais;Caldense;-21.78;-46.5692;0.0011200827443830993;0
CABOFRIENSE/rio_de_janeiro;Cabofriense;-22.8894;-42.0286;0.0011166969098404525;0
BELA VISTA/tocantins;Bela Vista;-6.1219;-47.9211;0.0011135512713906133;2
NACIONAL/amazonas;Nacional;-3.11866;-60.0212;0.0011113281456736424;2
HUMAITÁ/acre;Humaitá;-9.58138;-67.5478;0.0011090313214040884;2
UNIÃO RONDONÓPOLIS/mato_grosso;União Rondonópolis;-16.4673;-54.6372;0.001108326268932186;0
ANAPOLINA/goias;Anapolina;-16.3281;-48.953;0.0011055824687796866;0
RIO BRANCO/acre;Rio Branco;-9.974;-67.8076;0.0010995165664787867;2
ALECRIM/rio_grande_do_norte;Alecrim;-5.79357;-35.1986;0.0010862888454212455;1
PORTO VITÓRIA/espirito_santo;Porto Vitória;-20.3155;-40.3128;0.0010789185150854915;0
CATANDUVA/sao_paulo;Catanduva;-21.1314;-48.977;0.0010752615650394264;0
UNIVASSOURAS ARTSUL/rio_de_janeiro;Univassouras Artsul;-22.7556;-43.4603;0.0010742619779999965;0
GRÊMIO ANÁPOLIS/goias;Grêmio Anápolis;-16.3281;-48.953;0.0010669240563573156;0
FALCON/sergipe;Falcon;-10.9091;-37.0677;0.001065639154403423;1
BANGU/rio_de_janeiro;Bangu;-22.9129;-43.2003;0.0010647581145276138;0
GOIANÉSIA/goias;Goianésia;-15.3118;-49.1162;0.001057165816822888;0
VOCEM/sao_paulo;Vocem;-22.6622;-50.4181;0.001055478074780131;0
BARRA/sergipe;Barra;-10.91;-37.0317;0.0010540345573266134;1
CRUZEIRO/rio_grande_do_sul;Cruzeiro;-29.95;-51.0833;0.0010468709011752888;0
SÃO BORJA/rio_grande_do_sul;São Borja;-28.6578;-56.0036;0.0010437134026557407;0
CRAC/goias;Crac;-18.1658;-47.9461;0.0010426706144050627;0
PETROLINA/pernambuco;Petrolina;-9.38866;-40.5027;0.001042085154036952;1
IPORÁ/goias;Iporá;-16.4398;-51.118;0.0010351161782560646;0
NOROESTE/sao_paulo;Noroeste;-22.3246;-49.0871;0.0010327872919738642;0
IPATINGA/minas_gerais;Ipatinga;-19.4703;-42.5476;0.0010310148400319396;0
FRANCANA/sao_paulo;Francana;-20.5352;-47.4039;0.001028607766609234;0
CSE/alagoas;Cse;-9.40568;-36.6328;0.0010278359298280322;1
RIO BRANCO DE VENDA NOVA/espirito_santo;Rio Branco De Venda Nova;-20.327;-41.1355;0.0010211089371922348;0
PACAJUS/ceara;Pacajus;-4.17107;-38.465;0.0010207045541293083;1
POTIGUAR/rio_grande_do_norte;Potiguar;-5.18374;-37.3474;0.0010200795533113905;1
MARÍLIA/sao_paulo;Marília;-22.2171;-49.9501;0.0010186604095281486;0
CAMETÁ/para;Cametá;-2.24295;-49.4979;0.001013908563571134;2
MONTE AZUL/sao_paulo;Monte Azul;-20.9065;-48.6387;0.0010060872289804654;0
VELO CLUBE/sao_paulo;Velo Clube;-22.4114;-47.5614;0.0010007360468211519;0
COMERCIAL/mato_grosso_do_sul;Comercial;-20.7849;-51.7007;0.001000124055768575;0
OLÍMPICO/sergipe;Olímpico;-11.2693;-37.7875;0.0009943008252477695;1
MAMORÉ/minas_gerais;Mamoré;-18.5699;-46.5013;0.0009942170127268564;0
FLAMENGO/sao_paulo;Flamengo;-23.4538;-46.5333;0.000993429796585061;0
PAULISTA/sao_paulo;Paulista;-23.1852;-46.8974;0.0009916856993811242;0
CENTRO OESTE/goias;Centro Oeste;-15.9333;-50.14;0.0009881951118381603;0
