clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4;serie_d_k2;serie_d_k3;serie_d_k4
BELFORD ROXO/rio_de_janeiro;-22.764;-43.3992;0.001234443033758;0;0;0;1;1;1
AMERICA/rio_de_janeiro;-22.9129;-43.2003;0.0012339433005037;0;0;0;1;1;1
SÃO BENTO/sao_paulo;-23.4969;-47.4451;0.0012222928167484;0;0;0;1;1;1
AUDAX RIO/rio_de_janeiro;-22.8058;-43.3729;0.0012070796075632;0;0;0;1;1;1
SÃO JOSÉ/sao_paulo;-23.1896;-45.8841;0.0012068331932114;0;0;0;1;1;1
URT/minas_gerais;-18.5853;-46.5181;0.0012059125455232;0;0;0;1;1;2
ÁGUIA NEGRA/mato_grosso_do_sul;-21.8033;-54.5427;0.0012035738902464;0;0;3;0;2;3
AMERICANO/rio_de_janeiro;-21.7622;-41.3181;0.0012031511828603;0;0;0;1;1;1
REAL BRASÍLIA/distrito_federal;-15.7795;-47.9297;0.0011937618161281;0;0;0;1;2;2
PADUANO/rio_de_janeiro;-22.9129;-43.2003;0.0011875341851859;0;0;0;1;1;1
TAQUARITINGA/sao_paulo;-21.4049;-48.5103;0.0011825386135852;0;0;0;1;2;2
OPERÁRIO FERROVIÁRIO/parana;-25.0916;-50.1668;0.0011781851752285;0;0;3;0;0;0
CEOV OPERÁRIO/mato_grosso;-15.65;-56.1325;0.0011759193022777;0;0;2;0;2;3
PÉROLAS NEGRAS/rio_de_janeiro;-22.6289;-43.8972;0.0011602294590334;0;0;0;1;1;1
SERRA/espirito_santo;-20.121;-40.3074;0.0011582964906635;0;0;0;1;1;1
AQUIDAUANENSE/mato_grosso_do_sul;-20.4666;-55.7868;0.0011398968418612;0;0;3;0;2;3
RESENDE/rio_de_janeiro;-22.4705;-44.4509;0.0011348478552273;0;0;0;1;1;1
SERRANO/rio_de_janeiro;-22.52;-43.1926;0.0011294521456251;0;0;0;1;1;1
BOAVISTA/rio_de_janeiro;-22.9292;-42.5099;0.0011279235108187;0;0;0;1;1;1
CALDENSE/minas_gerais;-21.78;-46.5692;0.001120082744383;0;0;0;1;1;1
CABOFRIENSE/rio_de_janeiro;-22.8894;-42.0286;0.0011166969098404;0;0;0;1;1;1
