clube;uf;pagerank_score
Alecrim;RN;0.0011504425803760365
Novo Hamburgo;RS;0.00114987361500816
Humaitá;AC;0.0011475648915781332
Icasa;CE;0.0011464741668017627
Resende;RJ;0.0011445239542461716
Rio Branco;AC;0.0011391575558353652
Nova Mutum;MT;0.0011369985424231617
Nacional;AM;0.0011366121655720636
Cabofriense;RJ;0.0011348023731454508
Boavista;RJ;0.0011272860756729843
Catanduva;SP;0.0011246407459963512
Hercílio Luz;SC;0.001122562477145958
Falcon;SE;0.0011195665665387408
Maracanã;CE;0.0011188919265609448
Barra;SE;0.0011175922767659517
Grêmio Anápolis;GO;0.001111054644867029
Caldense;MG;0.001110755557832957
Porto Vitória;ES;0.0011086523118395196
Univassouras Artsul;RJ;0.001106230349166458
Vocem;SP;0.001101508953333373
Goianésia;GO;0.001096049944051766
Cruzeiro;RS;0.0010882232971535972
Aimoré;RS;0.0010864994352364954
Ca Patrocinense;MG;0.0010840541029451462
São Borja;RS;0.0010826225868784602
Caucaia;CE;0.0010783067835094264
Francana;SP;0.0010751196305051084
Noroeste;SP;0.0010710718542369627
Ca Votuporanguense;SP;0.0010707796119236782
Crac;GO;0.0010689956562675328
Luverdense;MT;0.001067060462046415
Bangu;RJ;0.0010656044149873218
Petrolina;PE;0.0010604444769590619
Comercial;MS;0.001059479678044447
Marília;SP;0.0010592126652951752
Olímpico;SE;0.0010542290843118722
Potiguar;RN;0.001053160991880647
Iporá;GO;0.0010475695939728804
Centro Oeste;GO;0.0010443163355622316
Cametá;PA;0.0010436816520081136
Macapá;AP;0.0010401990981536164
Monte Azul;SP;0.001039351070886361
Velo Clube;SP;0.001037063620209729
Flamengo;SP;0.0010330478134808396
Paulista;SP;0.0010315919951118641
Bonsucesso;RJ;0.0010229643800000383
Ipatinga;MG;0.0010161477074132747
Coimbra;MG;0.0010126401730993497
Capivariano;SP;0.001006760785598943
União Barbarense;SP;0.0009983931833366085
Pacajus;CE;0.0009954086491670501
Concórdia;SC;0.0009943973904866137
Monsoon;RS;0.0009923801360651962
Paragominas;PA;0.0009918568592308062
Penapolense;SP;0.0009897019231151036
Itapirense;SP;0.0009895216814525703
Nacional;SP;0.0009870971866796773
Goytacaz;RJ;0.000985752202135059
Independente De Limeira;SP;0.0009844953744641257
Santos;AP;0.0009814762947039782
Palmas;TO;0.0009798161111820385
São Raimundo;PA;0.0009790072279647966
Aymorés;MG;0.0009779096157222587
Inhumas;GO;0.0009755402213487648
Canaã;PA;0.0009743084001537672
Goiânia;GO;0.0009714243844911333
Cse;AL;0.0009707890117821327
Uni Souza;RJ;0.0009589222244586118
Galvez;AC;0.0009548833508813386
Santa Cruz De Natal;RN;0.0009543048639869907
Desportiva Ferroviária;ES;0.0009526007506496559
Rio Claro;SP;0.000950519408016696
Juventus;SP;0.0009502893385244293
Itabuna;BA;0.0009468784447718687
Trindade;GO;0.0009452074691394561
Bragantino;PA;0.0009439684277548641
Primavera;SP;0.0009435272755101511
