clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4
4 DE JULHO/piaui;-4.2736;-41.7333;0.0014306692926858641;1;0;3
MARCÍLIO DIAS/santa_catarina;-26.9046;-48.6667;0.0014295940067667004;0;2;2
MARICÁ/rio_de_janeiro;-22.9225;-42.8186;0.0014119975299205815;0;2;0
PORTUGUESA/sao_paulo;-23.5505;-46.6333;0.0013978052807153724;0;2;0
BOA ESPORTE/minas_gerais;-21.56;-45.4333;0.001397258376251666;0;2;0
SÃO LUIZ/rio_grande_do_sul;-28.3911;-53.9153;0.0013848137123627108;0;2;2
ATLÉTICO CEARENSE/ceara;-3.7319;-38.5267;0.0013720294265322523;1;0;3
IGUATU/ceara;-6.3725;-39.3014;0.001371202303937944;1;0;3
DUQUE DE CAXIAS/rio_de_janeiro;-22.7833;-43.3167;0.0013564060199844808;0;2;0
JOINVILLE/santa_catarina;-26.3044;-48.8464;0.0013474493058699816;0;2;2
XV DE PIRACICABA/sao_paulo;-22.7253;-47.6476;0.0013423591160197344;0;2;2
SAMPAIO CORRÊA/rio_de_janeiro;-22.9244;-42.5075;0.0013309052226963413;0;2;0
GRÊMIO SÃO-CARLENSE/sao_paulo;-22.0175;-47.8861;0.0013245612659184274;0;2;0
PARNAHYBA/piaui;-2.90556;-41.7775;0.001321762998861309;1;0;3
SANTO ANDRÉ/sao_paulo;-23.6653;-46.5325;0.0013140517568225201;0;2;0
GRAMADENSE/rio_grande_do_sul;-29.3758;-50.8766;0.0013097831473115767;0;2;2
XV DE JAÚ/sao_paulo;-22.2975;-48.5586;0.0013067070868171503;0;2;2
BELFORD ROXO/rio_de_janeiro;-22.7614;-43.4039;0.0013057290367494497;0;2;0
AFOGADOS DA INGAZEIRA/pernambuco;-7.7547;-37.6367;0.0013052204099629665;1;0;3
GONÇALENSE/rio_de_janeiro;-22.8214;-43.0503;0.0012836503130231837;0;2;0
ÁGUIA NEGRA/mato_grosso_do_sul;-21.8036;-54.5453;0.0012679857170807972;0;2;2
AMERICA/rio_de_janeiro;-22.9068;-43.1729;0.0012642379026755958;0;2;0
NOVA VENÉCIA/espirito_santo;-18.7056;-40.3933;0.0012613819179304753;0;0;0
ÁGUA SANTA/sao_paulo;-23.6858;-46.6219;0.0012592376652644708;0;2;0
SÃO BENTO/sao_paulo;-23.5017;-47.4544;0.0012568540410956423;0;2;2
CENTRAL/pernambuco;-8.2828;-35.9742;0.0012556732133141026;1;0;3
PRINCESA/amazonas;-3.2964;-60.6214;0.0012541813405454628;1;1;1
SÃO JOSÉ/sao_paulo;-23.2237;-45.9009;0.0012539653998586192;0;2;0
PADUANO/rio_de_janeiro;-21.5375;-42.1833;0.0012530552139188016;0;2;0
BETIM FUTEBOL/minas_gerais;-19.9733;-44.2014;0.0012471893526934973;0;2;0
BARRA/santa_catarina;-26.992;-48.632;0.0012391869967435707;0;2;2
UBERLÂNDIA/minas_gerais;-18.9186;-48.2772;0.0012362890440110546;0;2;0
TAQUARITINGA/sao_paulo;-21.4333;-48.5083;0.0012335944739772788;0;2;2
AMERICANO/rio_de_janeiro;-21.7627;-41.3275;0.0012308928109760395;0;2;0
RIO BRANCO DE VENDA NOVA/espirito_santo;-20.3225;-41.1353;0.0012279261620599257;0;2;0
UNIÃO ATLÉTICO/tocantins;-7.1917;-48.2056;0.00122532832381047;1;1;1
GLOBO/rio_grande_do_norte;-5.63583;-35.4236;0.0012216018138918752;1;0;3
AUDAX RIO/rio_de_janeiro;-22.9247;-42.5075;0.001217341355905628;0;2;0
CASTANHAL/para;-1.2947;-47.9175;0.0012172301330280152;1;1;1
PÉROLAS NEGRAS/rio_de_janeiro;-22.6335;-43.9046;0.0012143658535621704;0;2;0
AQUIDAUANENSE/mato_grosso_do_sul;-20.4736;-55.7833;0.0012063757477187632;0;1;2
AZURIZ FUTEBOL/parana;-26.225;-52.671;0.0011954432900445403;0;2;2
SERRA/espirito_santo;-20.2417;-40.3083;0.001189310291639235;0;0;0
CAMBORIÚ/santa_catarina;-27.0175;-48.6536;0.001185084681492319;0;2;2
IMPERATRIZ/maranhao;-5.5264;-47.4917;0.0011833680710114432;1;1;1
SERRANO/rio_de_janeiro;-22.505;-43.1789;0.0011788286871533325;0;2;0
REAL BRASÍLIA/distrito_federal;-15.7939;-47.8828;0.001178748969791706;0;1;0
URT/minas_gerais;-18.5833;-46.5167;0.0011759299599732964;0;2;0
ANAPOLINA/goias;-16.3286;-48.9533;0.001165488224914508;0;1;0
CAPITAL/tocantins;-10.2128;-48.3603;0.001157799820409485;1;1;1
INTERPORTO/tocantins;-10.7083;-48.4175;0.0011536983790456836;1;1;1
MIXTO/mato_grosso;-15.5961;-56.0969;0.0011520318293092634;0;1;1
ALECRIM/rio_grande_do_norte;-5.7945;-35.211;0.0011504425803760365;1;0;3
NOVO HAMBURGO/rio_grande_do_sul;-29.6844;-51.1325;0.00114987361500816;0;2;2
HUMAITÁ/acre;-9.5833;-67.6333;0.0011475648915781332;0;1;1
ICASA/ceara;-7.2133;-39.3153;0.0011464741668017627;1;0;3
RESENDE/rio_de_janeiro;-22.4683;-44.4517;0.0011445239542461716;0;2;0
RIO BRANCO/acre;-9.9747;-67.8076;0.0011391575558353652;0;1;1
