clube_id;clube;estado;lat;lon;cidade;pagerank_score;cluster_k2;cluster_k3;cluster_k4;cluster_k5
RIO BRANCO/espirito_santo;Rio Branco;espirito_santo;-20.3155;-40.3128;Vitória;0.0016942324063227944;1;1;0;0
TREZE/paraiba;Treze;paraiba;-7.22196;-35.8731;Campina Grande;0.0016749139717173508;0;2;2;2
BAHIA DE FEIRA/bahia;Bahia De Feira;bahia;-12.2664;-38.9663;Feira de Santana;0.0016700393822807922;0;2;2;2
GAMA/distrito_federal;Gama;distrito_federal;-16.0183;-48.0667;Brasília;0.0016691336618936193;1;1;0;0
OESTE/sao_paulo;Oeste;sao_paulo;-21.5942;-48.8149;Itápolis;0.0016367434403168977;1;1;0;0
LAGARTO/sergipe;Lagarto;sergipe;-10.9136;-37.6689;Lagarto;0.0016289734243975767;0;2;2;2
MARCÍLIO DIAS/santa_catarina;Marcílio Dias;santa_catarina;-26.9101;-48.6705;Itajaí;0.0016286689294381755;1;1;0;4
MOTO CLUB/maranhao;Moto Club;maranhao;-2.5307;-44.3068;São Luís;0.0016186587936605431;0;0;3;3
MARANHÃO/maranhao;Maranhão;maranhao;-4.22447;-44.7832;Bacabal;0.0015843612858110567;0;0;3;3
INTER DE LIMEIRA/sao_paulo;Inter De Limeira;sao_paulo;-22.566;-47.397;Limeira;0.001570058549326238;1;1;0;0
SÃO LUIZ/rio_grande_do_sul;São Luiz;rio_grande_do_sul;-28.388;-53.92;Ijuí;0.0015476096700332647;1;1;0;4
JOINVILLE/santa_catarina;Joinville;santa_catarina;-26.3045;-48.8487;Joinville;0.0015421945248419657;1;1;0;4
VITÓRIA/espirito_santo;Vitória;espirito_santo;-20.3155;-40.3128;Vitória;0.001513753019297646;1;1;0;0
TREM/amapa;Trem;amapa;0.034934;-51.0694;Macapá;0.0014964253776110724;0;0;3;3
POUSO ALEGRE/minas_gerais;Pouso Alegre;minas_gerais;-22.2266;-45.9389;Pouso Alegre;0.0014897197660467304;1;1;0;0
OLARIA/rio_de_janeiro;Olaria;rio_de_janeiro;-22.842143012;-43.26699613;Rio de Janeiro;0.0014535006704495441;1;1;0;0
RÍVER/piaui;Ríver;piaui;-5.09194;-42.8034;Teresina;0.0014412037200732203;0;0;3;3
FLUMINENSE/piaui;Fluminense;piaui;-5.09194;-42.8034;Teresina;0.001439643947125192;0;0;3;3
MANAUARA/amazonas;Manauara;amazonas;-3.11866;-60.0212;Manaus;0.0014163437175831728;0;0;1;1
ATLÉTICO/bahia;Atlético;bahia;-12.1335;-38.4208;Alagoinhas;0.001411454918669459;0;2;2;2
GRÊMIO PRUDENTE/sao_paulo;Grêmio Prudente;sao_paulo;-22.1207;-51.3925;Presidente Prudente;0.0014022931889899996;1;1;0;0
