clube;uf;pagerank_score
Catanduva;SP;0.0010784144023067
Univassouras Artsul;RJ;0.0010775199267509
União Rondonópolis;MT;0.0010726017185683
Grêmio Anápolis;GO;0.0010695210628224
Falcon;SE;0.0010683781552617
Bangu;RJ;0.0010667908887513
Vocem;SP;0.0010587080611896
Barra;SE;0.0010573629897203
Goianésia;GO;0.0010544316632332
Ipatinga;MG;0.0010509819436571
Cruzeiro;RS;0.0010502552882214
São Borja;RS;0.0010470955451529
Petrolina;PE;0.0010445633516399
Crac;GO;0.0010439568985117
Iporá;GO;0.0010378113285831
Noroeste;SP;0.0010324290221075
América Mineiro;MG;0.0010317727240462
Francana;SP;0.0010317075135989
Cse;AL;0.0010304472753992
Rio Branco De Venda Nova;ES;0.001023962538873
Pacajus;CE;0.0010230110024269
Potiguar;RN;0.0010222754690551
Marília;SP;0.0010210898523138
Cametá;PA;0.00101518798841
Monte Azul;SP;0.0010091657460711
Comercial;MS;0.0010031451141035
Mamoré;MG;0.0010017627432484
Aymorés;MG;0.0010006035803268
Velo Clube;SP;0.0009989864351268
Olímpico;SE;0.0009974501539239
Flamengo;SP;0.0009965319983902
Paulista;SP;0.0009946936010846
Boa Esporte;MG;0.0009922681097325
Centro Oeste;GO;0.0009912218933058
Macapá;AP;0.0009832272854425
Paragominas;PA;0.000981719219268
Ca Votuporanguense;SP;0.0009796599547789
Palmas;TO;0.0009773061321395
Monsoon;RS;0.0009762946073854
Bragantino;PA;0.0009750938327008
Bonsucesso;RJ;0.0009735992559449
Capivariano;SP;0.0009702452079976
União Barbarense;SP;0.000961885732485
Villa Nova;MG;0.0009596848899611
Aguia De Maraba;PA;0.0009547740494924
Nacional;SP;0.000952902091416
Penapolense;SP;0.0009512128114633
Itapirense;SP;0.0009480908435746
Independente De Limeira;SP;0.0009461850501996
Ji-Paraná;RO;0.0009454922206245
Guarani V. Aires;RS;0.0009443210143459
Real Ariquemes;RO;0.0009408734241119
Murici;AL;0.0009405685901269
Tupynambás;MG;0.0009396640959649
Goytacaz;RJ;0.000938336160643
Desportiva Ferroviária;ES;0.0009379777936994
São Raimundo;PA;0.0009339012736443
Goiânia;GO;0.0009328059000941
Santos;AP;0.0009304977718588
Canaã;PA;0.000929512700415
Mauá;SP;0.0009293563828048
Inhumas;GO;0.0009290673953263
Santa Cruz De Natal;RN;0.0009262746857082
Galvez;AC;0.0009194635306202
Azuriz Futebol;PR;0.0009180726565342
Juventus;SP;0.0009163109694907
Rio Claro;SP;0.0009159463096304
Águia;PA;0.0009152469848661
Gazin Porto Velho;RO;0.0009140174166939
Itabuna;BA;0.0009121457719475
Goiatuba;GO;0.0009116129713722
Primavera;SP;0.0009110650196795
Uni Souza;RJ;0.0009087792582259
Gonçalense;RJ;0.0009059183801276
Afogados Da Ingazeira;PE;0.0009043688754645
Desportivo Brasil;SP;0.0009040779112083
North Esporte Clube;MG;0.0009040490837031
Nacional Atl. Muriaé;MG;0.0009011519996905
Trindade;GO;0.0008963998784595
Cruzeiro;AL;0.0008932919995802
Guarany;SE;0.0008908527449567
Independente;AP;0.0008887168487979
Taubaté;SP;0.0008822169149805
Gurupi;TO;0.0008817724572262
Varginha;MG;0.0008799084474115
Princesa;AM;0.0008796761370526
União Atlético;TO;0.0008782519206037
Vasco;RJ;0.0008754781746909
Friburguense;RJ;0.0008740970737364
São Raimundo;AM;0.0008735278117282
Itabirito;MG;0.0008718543691424
Campo Grande;RJ;0.0008718445217791
Salgueiro;PE;0.0008687070314762
União Suzano;SP;0.0008675955524547
Uberaba;MG;0.000867433635614
Inter De Bebedouro;SP;0.000865413026452
São Gonçalo;RJ;0.000864469012937
Real Sport Club;RS;0.0008633692205243
Portuguesa Santista;SP;0.0008614669088692
Rio Grande;RS;0.0008599464599986
Ge Brasil;RS;0.0008596096686454
Atlético Gloriense;SE;0.0008588667470689
América;SE;0.0008581852859204
São Francisco;PA;0.0008571854968286
Guanabara City;GO;0.0008546581143926
Paranoá;DF;0.0008544517768636
Zumbi;AL;0.0008542745006429
Amazônia Independente;PA;0.0008521190958968
Bandeirante;SP;0.0008493723965146
Nacional;PB;0.0008482692679281
Linense;SP;0.0008412389781267
Jequié;BA;0.0008333553792217
Barcelona De Ilhéus;BA;0.0008330979517816
Ska Brasil;SP;0.0008324551561011
Horizonte;CE;0.0008311333807058
Barra Da Tijuca;RJ;0.0008306491680204
Barretos;SP;0.0008304641604003
São Caetano;SP;0.0008300480534674
Timon;MA;0.0008274618935496
Atlético;CE;0.0008267013469712
Caeté;PA;0.0008259542094869
Rio De Janeiro;RJ;0.000824036936932
Gaúcho;RS;0.0008235755840445
Capitão Poço;PA;0.0008224609762774
Iape;MA;0.0008212447217927
Ypiranga;AP;0.0008209494931441
Naviraiense;MS;0.0008188212035836
Foz Do Iguaçu;PR;0.0008179357858819
Comercial;SP;0.0008099182408568
Coimbra;MG;0.0008075199391294
Fluminense De Feira;BA;0.000806758697459
Carapebus;RJ;0.0008058155874604
Juventude;MA;0.0008053704980336
Nação;SC;0.000804296115031
Vitória Das Tabocas;PE;0.0008039410596503
Mineiros;GO;0.0008029061214773
Guarani;MG;0.0008024109646118
Coruripe;AL;0.0008015171445602
Madureira;RJ;0.0008009944054991
Concórdia;SC;0.000799556561104
União Cacoalense;RO;0.0007964694583383
Itapipoca;CE;0.0007954528553013
Santa Rosa;PA;0.0007953386839618
Laguna;RN;0.0007906168802449
Dorense;SE;0.0007888673854254
Crato;CE;0.0007858286542516
Maranguape;CE;0.0007855340837399
Gas;RR;0.0007854162959338
Vitória Da Conquista;BA;0.0007772939968871
Santa Helena;GO;0.0007760989880043
Colorado Caieiras;SP;0.0007748530424922
Carlos Renaux;SC;0.0007747271374375
Serc;MS;0.0007732532243376
Atlético;PB;0.0007730382032024
Picos;PI;0.000772810189042
Vera Cruz;PE;0.0007721704586761
Nacional;PR;0.0007706505434476
América;GO;0.0007703026083394
Serra Macaense;RJ;0.0007672783906404
Fast Clube;AM;0.0007669001047242
Grêmio Mauaense;SP;0.000766424835188
União De Rondonópolis;MT;0.0007649640818912
São Paulo Crystal;PB;0.0007609857889807
São Paulo;RS;0.0007550338454897
Santa Catarina;SC;0.0007545608331533
Andraus;PR;0.0007541787512421
Bela Vista;GO;0.0007529828031462
Sertãozinho;SP;0.0007528751656203
Frei Paulistano;SE;0.0007526417832975
Santa Cruz;RS;0.0007517149541979
União São João;SP;0.0007514337948953
Tupi;MG;0.0007511947639409
Atlético Cearense;CE;0.0007468498626808
Parauapebas;PA;0.0007464583781117
América T.O;MG;0.0007448408072896
Zinza;RJ;0.0007439239786469
Parintins;AM;0.0007438812728431
Macaé;RJ;0.0007438245386746
Valeriodoce;MG;0.0007408601616301
Joseense;SP;0.0007378676442509
Paranavaí;PR;0.0007355799371845
Juventus Jaraguá;SC;0.0007338021552455
São Cristóvão;RJ;0.0007324436342015
Osasco Audax;SP;0.0007273656256415
Rio Branco;PR;0.0007264126188835
São Joseense;PR;0.0007226444412614
Serra Branca;PB;0.0007201370291792
Ivinhema;MS;0.0007188980534264
Patriotas;PR;0.0007185589300148
Elite Cd;RS;0.0007178925922447
Jabaquara;SP;0.0007168161116648
Taguatinga;DF;0.0007163895508913
Batalhão;TO;0.0007113431964959
Porto Velho Esporte Clube;RO;0.0007109857350243
Riograndense;RS;0.0007105069076944
Abecat Ouvidorense;GO;0.0007091101347725
Campos;RJ;0.0007082069546949
Aseev;GO;0.0007069729300543
Tuntum;MA;0.0007019558762204
Luziânia;GO;0.0007003281191869
Estrela Do Norte;ES;0.0007002885534095
Ca Patrocinense;MG;0.00069730210258
Araguaína;TO;0.0006970157299896
Izabelense;PA;0.0006951491654978
Tocantins Miracema;TO;0.0006941332739686
Samambaia;DF;0.0006939512847878
Jataiense;GO;0.0006933080478917
Pinheirense;PA;0.0006907670462825
Oratório;AP;0.0006904295111872
Matonense;SP;0.0006900404249786
Íbis;PE;0.0006898055344646
Porto;PE;0.0006885743942102
Atlético;AC;0.0006864707630608
Rio Preto;SP;0.0006833817310022
Inter De Lages;SC;0.0006833322288177
Tanabi;SP;0.000682328539409
Búzios;RJ;0.0006763033337701
Dom Bosco;MT;0.0006755234126348
Colo Colo;BA;0.0006752916714533
Pelotas;RS;0.0006752057057679
Independente Tucuruí;PA;0.0006735290928418
Estanciano;SE;0.0006678059101962
Pinheiro;MA;0.0006632437602576
Barbalha;CE;0.0006612840120886
Confiança;PB;0.0006610733527383
Cordino;MA;0.0006608631668636
Iguaçu;PR;0.000659257802388
Abd;GO;0.000659146614712
Arraial Do Cabo;RJ;0.0006563965289158
Futebol Com Vida;RS;0.0006556793256148
Independência;AC;0.0006537765138666
Nova Cidade;RJ;0.0006515066168914
Vilavelhense;ES;0.0006500190260773
Atlético Tubarão;SC;0.0006494567783291
Baraúnas;RN;0.0006480460452694
Ceilandense;SE;0.0006468937849944
Caravaggio;SC;0.0006442875346306
América;SP;0.000642451827705
Laranja Mecânica;PR;0.000642299125389
Atlético Paraense;PA;0.0006416082364099
Império Serrano;RJ;0.0006414915558089
Corumbaense;MS;0.0006401706220119
Cariri;CE;0.0006400203179933
Paraty;RJ;0.0006394679044753
Penarol;AM;0.0006393438377027
7 De Abril;RJ;0.0006390295761774
Niteroiense;RJ;0.0006375783994635
Rio Verde;GO;0.0006371088641518
Azuriz;PR;0.0006348675627159
Manthiqueira;SP;0.0006329349327377
Coxim;MS;0.0006317816055741
Maguary;PE;0.000629276287433
Tupy;GO;0.0006287729677108
Esmac;PA;0.0006281604775764
Araxá;MG;0.0006272904049443
Pstc;PR;0.000624572180691
Oeirense;PI;0.0006236671362232
Araçatuba;SP;0.0006235725276698
